OpenGWAS.Trait	Tool.Mapping..1	Identifier	Score	Tool.Mapping..2	Identifier.1	Score.1	Tool.Mapping..3	Identifier.2	Score.2	mapper1	mapper2
Alpha-hydroxyisovalerate	3-hydroxyisovalerate measurement	http://www.ebi.ac.uk/efo/EFO_0010984	0.701274083	3-hydroxyisobutyrate measurement	http://www.ebi.ac.uk/efo/EFO_0010984	0.701274083	2-hydroxyisobutyrate measurement	http://www.ebi.ac.uk/efo/EFO_0010984	0.701274083	Ryan Langdon	Maria Sobczyk-Barad
Anti-cytomegalovirus IgG levels	Anti-cytomegalovirus IgG measurement	http://www.ebi.ac.uk/efo/EFO_0009347	0.706326578	cytomegalovirus infection	http://www.ebi.ac.uk/efo/EFO_0009347	0.706326578	Cytomegalovirus Retinitis	http://www.ebi.ac.uk/efo/EFO_0009347	0.706326578	Benjamin Woolf	Giulio Centorame
Apo E2	apolipoprotein E isoform E2 measurement	http://www.ebi.ac.uk/efo/EFO_0008028	0.443341283	GAPO syndrome	http://www.ebi.ac.uk/efo/EFO_0008028	0.443341283	CLAPO syndrome	http://www.ebi.ac.uk/efo/EFO_0008028	0.443341283	Ryan Langdon	Maria Sobczyk-Barad
Apoptotic protease-activating factor 1	factor VII activating protease measurement	http://www.ebi.ac.uk/efo/EFO_0009368	0.629606588	proteinase-activated receptor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0009368	0.629606588	Mastocytosis	http://www.ebi.ac.uk/efo/EFO_0009368	0.629606588	Samuel Neaves	Rebecca Carnegie
AREG	area	http://www.ebi.ac.uk/efo/EFO_0001696	0.453503677	invertebrate limb	http://www.ebi.ac.uk/efo/EFO_0001696	0.453503677	segregating inbred strain	http://www.ebi.ac.uk/efo/EFO_0001696	0.453503677	Benjamin Woolf	Giulio Centorame
Arm fat percentage (left)	body fat percentage	http://www.ebi.ac.uk/efo/EFO_0007800	0.748905837	monocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007800	0.748905837	lymphocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007800	0.748905837	Benjamin Woolf	Giulio Centorame
Arm fat-free mass (left)	fat body mass	http://www.ebi.ac.uk/efo/EFO_0005409	0.504800819	afebrile	http://www.ebi.ac.uk/efo/EFO_0005409	0.504800819	lean mass-adjusted fat body mass	http://www.ebi.ac.uk/efo/EFO_0005409	0.504800819	Benjamin Woolf	Giulio Centorame
ARMEL	MEL cell line	http://www.ebi.ac.uk/efo/EFO_0003971	0.556429482	alveolar rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0003971	0.556429482	SK-MEL-5	http://www.ebi.ac.uk/efo/EFO_0003971	0.556429482	Ryan Langdon	Maria Sobczyk-Barad
Arterial embolism and thrombosis of lower extremity artery	Arterial thrombosis	http://purl.obolibrary.org/obo/HP_0004420	0.703904285	arterial embolism	http://purl.obolibrary.org/obo/HP_0004420	0.703904285	coronary thrombosis	http://purl.obolibrary.org/obo/HP_0004420	0.703904285	Benjamin Woolf	Giulio Centorame
ATS15	Arterial tortuosity syndrome	http://www.orpha.net/ORDO/Orphanet_3342	0.479154603	X-linked intellectual disability, Cabezas type	http://www.orpha.net/ORDO/Orphanet_3342	0.479154603	Rothmund-Thomson syndrome type 1	http://www.orpha.net/ORDO/Orphanet_3342	0.479154603	Benjamin Woolf	Giulio Centorame
Augurin	schwannoma	http://www.ebi.ac.uk/efo/EFO_0000693	0.224136814	Proteinuria	http://www.ebi.ac.uk/efo/EFO_0000693	0.224136814	glomus jugulare neoplasm	http://www.ebi.ac.uk/efo/EFO_0000693	0.224136814	Ryan Langdon	Maria Sobczyk-Barad
Average monthly beer plus cider intake	Leber plus disease	http://www.orpha.net/ORDO/Orphanet_99718	0.369283813	energy intake	http://www.orpha.net/ORDO/Orphanet_99718	0.369283813	mating type h plus	http://www.orpha.net/ORDO/Orphanet_99718	0.369283813	Benjamin Woolf	Giulio Centorame
Average monthly champagne plus white wine intake	white wine liking measurement	http://www.ebi.ac.uk/efo/EFO_0006948	0.387450898	dental caries	http://www.ebi.ac.uk/efo/EFO_0006948	0.387450898	White platelet syndrome	http://www.ebi.ac.uk/efo/EFO_0006948	0.387450898	Benjamin Woolf	Giulio Centorame
Axin-1 levels	antinuclear antibody measurement	http://www.ebi.ac.uk/efo/EFO_0005949	0.518125927	resistin measurement	http://www.ebi.ac.uk/efo/EFO_0005949	0.518125927	urate measurement	http://www.ebi.ac.uk/efo/EFO_0005949	0.518125927	Zak Thornton	Marina Vabistsevits
B cell %lymphocyte	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.708756314	precursor B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.708756314	lymphocyte count	http://www.ebi.ac.uk/efo/EFO_0000095	0.708756314	Benjamin Woolf	Giulio Centorame
B-cell receptor-associated protein 29	Tumor necrosis factor receptor 1 associated periodic syndrome	http://www.orpha.net/ORDO/Orphanet_32960	0.502748203	alpha-2-macroglobulin receptor-associated protein measurement	http://www.orpha.net/ORDO/Orphanet_32960	0.502748203	virus associated tumor	http://www.orpha.net/ORDO/Orphanet_32960	0.502748203	Ryan Langdon	Maria Sobczyk-Barad
Back pain for 3+ months	Back pain	http://purl.obolibrary.org/obo/HP_0003418	0.675224011	Low back pain	http://purl.obolibrary.org/obo/HP_0003418	0.675224011	pain	http://purl.obolibrary.org/obo/HP_0003418	0.675224011	Benjamin Woolf	Giulio Centorame
Bactericidal permeability-increasing protein	capillary leak syndrome	http://www.ebi.ac.uk/efo/EFO_1001284	0.402921553	Systemic capillary leak syndrome	http://www.ebi.ac.uk/efo/EFO_1001284	0.402921553	decreased susceptibility to bacterial infection	http://www.ebi.ac.uk/efo/EFO_1001284	0.402921553	Ryan Langdon	Maria Sobczyk-Barad
BAFF-R on transitional B cell	Transitional Cell Carcinoma	http://www.ebi.ac.uk/efo/EFO_1000601	0.661440588	transitional cell neoplasm	http://www.ebi.ac.uk/efo/EFO_1000601	0.661440588	transitional cell papilloma	http://www.ebi.ac.uk/efo/EFO_1000601	0.661440588	Zak Thornton	Marina Vabistsevits
Bap intake	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.473010035	fat intake measurement	http://www.ebi.ac.uk/efo/EFO_0003939	0.473010035	protein intake measurement	http://www.ebi.ac.uk/efo/EFO_0003939	0.473010035	Ryan Langdon	Maria Sobczyk-Barad
Basic leucine zipper transcriptional factor ATF-like 3	transcriptome	http://www.ebi.ac.uk/efo/EFO_0004421	0.402457493	in vitro transcription	http://www.ebi.ac.uk/efo/EFO_0004421	0.402457493	transcription profiling	http://www.ebi.ac.uk/efo/EFO_0004421	0.402457493	Ryan Langdon	Maria Sobczyk-Barad
Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	lipoma	http://www.ebi.ac.uk/efo/EFO_0000759	0.696719875	benign lipomatous neoplasm	http://www.ebi.ac.uk/efo/EFO_0000759	0.696719875	panniculitis	http://www.ebi.ac.uk/efo/EFO_0000759	0.696719875	Benjamin Woolf	Giulio Centorame
Benign neoplasm: Skin of ear and external auricular canal	cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	0.633557142	benign neoplasm of ear	http://www.ebi.ac.uk/efo/EFO_0000389	0.633557142	benign neoplasm of skin	http://www.ebi.ac.uk/efo/EFO_0000389	0.633557142	Zak Thornton	Marina Vabistsevits
Beta-1,4-galactosyltransferase 2	Ehlers-Danlos syndrome, progeroid type	http://www.orpha.net/ORDO/Orphanet_75496	0.768186671	B4GALT1-CDG	http://www.orpha.net/ORDO/Orphanet_75496	0.768186671	ALG2-CDG	http://www.orpha.net/ORDO/Orphanet_75496	0.768186671	Samuel Neaves	Rebecca Carnegie
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Emphysema/chronic bronchitis	emphysema	http://www.ebi.ac.uk/efo/EFO_0000464	0.5545454	chronic bronchitis	http://www.ebi.ac.uk/efo/EFO_0000464	0.5545454	bronchitis	http://www.ebi.ac.uk/efo/EFO_0000464	0.5545454	Benjamin Woolf	Giulio Centorame
Body mass index	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	0.994931253	longitudinal BMI measurement	http://www.ebi.ac.uk/efo/EFO_0004340	0.994931253	obese body mass index status	http://www.ebi.ac.uk/efo/EFO_0004340	0.994931253	Samuel Neaves	Rebecca Carnegie
Breast cancer (Oncoarray)	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	0.990792821	male breast carcinoma	http://purl.obolibrary.org/obo/MONDO_0007254	0.990792821	breast cancer stage	http://purl.obolibrary.org/obo/MONDO_0007254	0.990792821	Samuel Neaves	Rebecca Carnegie
C-C motif chemokine 20	C-C motif chemokine 20 measurement	http://www.ebi.ac.uk/efo/EFO_0010910	0.680196351	CCL13 measurement	http://www.ebi.ac.uk/efo/EFO_0010910	0.680196351	CCL17 measurement	http://www.ebi.ac.uk/efo/EFO_0010910	0.680196351	Ryan Langdon	Maria Sobczyk-Barad
C-C motif chemokine ligand 2	CCL4 measurement	http://www.ebi.ac.uk/efo/EFO_0004751	0.562813369	CCL13 measurement	http://www.ebi.ac.uk/efo/EFO_0004751	0.562813369	CCL17 measurement	http://www.ebi.ac.uk/efo/EFO_0004751	0.562813369	everyone	NA
C-reactive protein levels	C-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	0.717887812	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	0.717887812	Elevated C-reactive protein level	http://www.ebi.ac.uk/efo/EFO_0004458	0.717887812	Zak Thornton	Marina Vabistsevits
C-type lectin domain family 2 member D	TBC1 domain family member 24	http://www.ebi.ac.uk/efo/EFO_0009915	0.529995251	SLAM family member 7 measurement	http://www.ebi.ac.uk/efo/EFO_0009915	0.529995251	X-linked central congenital hypothyroidism with late-onset testicular enlargement	http://www.ebi.ac.uk/efo/EFO_0009915	0.529995251	Samuel Neaves	Rebecca Carnegie
Cancer code, self-reported: basal cell carcinoma	basal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0004193	0.73038719	skin basal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0004193	0.73038719	Salivary Gland Basal Cell Adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0004193	0.73038719	Samuel Neaves	Rebecca Carnegie
Cas scaffolding protein family member 4	ATP binding cassette subfamily B member 6	http://www.ebi.ac.uk/efo/EFO_0009916	0.377988063	SLAM family member 7 measurement	http://www.ebi.ac.uk/efo/EFO_0009916	0.377988063	TBC1 domain family member 24	http://www.ebi.ac.uk/efo/EFO_0009916	0.377988063	Ryan Langdon	Maria Sobczyk-Barad
Caseinolytic peptidase B protein homolog	neurogenic locus notch homolog protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008246	0.349924722	prion disease	http://www.ebi.ac.uk/efo/EFO_0008246	0.349924722	hemolytic anemia	http://www.ebi.ac.uk/efo/EFO_0008246	0.349924722	Zak Thornton	Marina Vabistsevits
Caspase-10	Autoimmune lymphoproliferative syndrome with recurrent viral infections	http://www.orpha.net/ORDO/Orphanet_275517	0.634708377	caspase-3 measurement	http://www.orpha.net/ORDO/Orphanet_275517	0.634708377	caspase-8 measurement	http://www.orpha.net/ORDO/Orphanet_275517	0.634708377	Samuel Neaves	Rebecca Carnegie
Cathepsin Z	cathepsin Z measurement	http://www.ebi.ac.uk/efo/EFO_0008074	0.804787471	CLN10 disease	http://www.ebi.ac.uk/efo/EFO_0008074	0.804787471	cathepsin B measurement	http://www.ebi.ac.uk/efo/EFO_0008074	0.804787471	Samuel Neaves	Rebecca Carnegie
CCR4-NOT transcription complex subunit 1	mediator of RNA polymerase II transcription subunit 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008228	0.469130553	transcriptome	http://www.ebi.ac.uk/efo/EFO_0008228	0.469130553	in vitro transcription	http://www.ebi.ac.uk/efo/EFO_0008228	0.469130553	Samuel Neaves	Rebecca Carnegie
CD19 on IgD+ CD38- B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.319177761	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0000095	0.319177761	cell type	http://www.ebi.ac.uk/efo/EFO_0000095	0.319177761	Benjamin Woolf	Giulio Centorame
CD28 on CD4+ T cell	anti-CD28	http://www.ebi.ac.uk/efo/EFO_0003304	0.410312726	T-Cell Prolymphocytic Leukemia	http://www.ebi.ac.uk/efo/EFO_0003304	0.410312726	T-cell non-Hodgkin lymphoma	http://www.ebi.ac.uk/efo/EFO_0003304	0.410312726	Ryan Langdon	Maria Sobczyk-Barad
CD33+ HLA DR+ Absolute Count	Blast Count	http://www.ebi.ac.uk/efo/EFO_0009232	0.308647348	monocyte count	http://www.ebi.ac.uk/efo/EFO_0009232	0.308647348	monocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0009232	0.308647348	Benjamin Woolf	Giulio Centorame
CD38 on IgD+ CD38+ B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.268261818	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0000095	0.268261818	anaplastic large cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000095	0.268261818	Benjamin Woolf	Giulio Centorame
CD38 on naive-mature B cell	Mature Plasma Cell Count	http://www.ebi.ac.uk/efo/EFO_0009239	0.408407339	neoplasm of mature T-cells or NK-cells	http://www.ebi.ac.uk/efo/EFO_0009239	0.408407339	neoplasm of mature B-cells	http://www.ebi.ac.uk/efo/EFO_0009239	0.408407339	Benjamin Woolf	Giulio Centorame
CD39 on CD39+ activated CD4 regulatory T cell	CCL5 measurement	http://www.ebi.ac.uk/efo/EFO_0005117	0.382781554	intellectual disability, autosomal dominant 39	http://www.ebi.ac.uk/efo/EFO_0005117	0.382781554	CCL17 measurement	http://www.ebi.ac.uk/efo/EFO_0005117	0.382781554	Zak Thornton	Marina Vabistsevits
CD39+ CD8+ T cell %CD8+ T cell	T-Cell Prolymphocytic Leukemia	http://www.ebi.ac.uk/efo/EFO_1000560	0.47118189	Susceptibility to respiratory infections associated with CD8alpha chain mutation	http://www.ebi.ac.uk/efo/EFO_1000560	0.47118189	T-cell non-Hodgkin lymphoma	http://www.ebi.ac.uk/efo/EFO_1000560	0.47118189	Samuel Neaves	Rebecca Carnegie
CD4:%Treg(39-73+)	invertebrate limb	http://www.ebi.ac.uk/efo/EFO_0000884	0.344203241	CD40 measurement	http://www.ebi.ac.uk/efo/EFO_0000884	0.344203241	Idiopathic CD4 lymphocytopenia	http://www.ebi.ac.uk/efo/EFO_0000884	0.344203241	Ryan Langdon	Maria Sobczyk-Barad
CD4+CD8+ T cell %leukocyte	leukocyte disease	http://purl.obolibrary.org/obo/MONDO_0004805	0.61602351	leukocyte count	http://purl.obolibrary.org/obo/MONDO_0004805	0.61602351	Leukocytosis	http://purl.obolibrary.org/obo/MONDO_0004805	0.61602351	Samuel Neaves	Rebecca Carnegie
CD45RA on naive CD4+ T cell	T-B+ severe combined immunodeficiency due to CD45 deficiency	http://www.orpha.net/ORDO/Orphanet_169157	0.395235049	CD40 measurement	http://www.orpha.net/ORDO/Orphanet_169157	0.395235049	T-Cell Prolymphocytic Leukemia	http://www.orpha.net/ORDO/Orphanet_169157	0.395235049	Ryan Langdon	Maria Sobczyk-Barad
CD45RA+ CD8+ T cell %T cell	T-Cell Prolymphocytic Leukemia	http://www.ebi.ac.uk/efo/EFO_1000560	0.534596796	T-cell non-Hodgkin lymphoma	http://www.ebi.ac.uk/efo/EFO_1000560	0.534596796	adult T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1000560	0.534596796	Samuel Neaves	Rebecca Carnegie
CD48	mental retardation, autosomal dominant 48	http://www.ebi.ac.uk/efo/EFO_0009156	0.567895777	CD40 measurement	http://www.ebi.ac.uk/efo/EFO_0009156	0.567895777	T-B+ severe combined immunodeficiency due to CD45 deficiency	http://www.ebi.ac.uk/efo/EFO_0009156	0.567895777	Zak Thornton	Marina Vabistsevits
CD8:%Act(25+)	Susceptibility to respiratory infections associated with CD8alpha chain mutation	http://www.orpha.net/ORDO/Orphanet_169085	0.506050456	CD4:CD8 lymphocyte ratio	http://www.orpha.net/ORDO/Orphanet_169085	0.506050456	ML-DmD8	http://www.orpha.net/ORDO/Orphanet_169085	0.506050456	Zak Thornton	Marina Vabistsevits
CD8:%RTE	Susceptibility to respiratory infections associated with CD8alpha chain mutation	http://www.orpha.net/ORDO/Orphanet_169085	0.422438051	Rothmund-Thomson syndrome	http://www.orpha.net/ORDO/Orphanet_169085	0.422438051	Proximal renal tubular acidosis	http://www.orpha.net/ORDO/Orphanet_169085	0.422438051	Samuel Neaves	Rebecca Carnegie
CD86+ myeloid Dendritic Cell Absolute Count	myeloid white cell count	http://www.ebi.ac.uk/efo/EFO_0007988	0.536279966	Myeloid Progenitor Cell Count	http://www.ebi.ac.uk/efo/EFO_0007988	0.536279966	dendritic cell tumor	http://www.ebi.ac.uk/efo/EFO_0007988	0.536279966	Samuel Neaves	Rebecca Carnegie
CD8dim T cell %T cell	T-Cell Prolymphocytic Leukemia	http://www.ebi.ac.uk/efo/EFO_1000560	0.574649093	T-cell non-Hodgkin lymphoma	http://www.ebi.ac.uk/efo/EFO_1000560	0.574649093	adult T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1000560	0.574649093	Ryan Langdon	Maria Sobczyk-Barad
Central Memory CD8+ T cell %CD8+ T cell	T-Cell Prolymphocytic Leukemia	http://www.ebi.ac.uk/efo/EFO_1000560	0.474981676	cell type	http://www.ebi.ac.uk/efo/EFO_1000560	0.474981676	T-cell non-Hodgkin lymphoma	http://www.ebi.ac.uk/efo/EFO_1000560	0.474981676	Zak Thornton	Marina Vabistsevits
Cheesecake intake	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.461836244	Acrokeratoelastoidosis of Costa	http://www.ebi.ac.uk/efo/EFO_0003939	0.461836244	punctate palmoplantar keratoderma type III	http://www.ebi.ac.uk/efo/EFO_0003939	0.461836244	Ryan Langdon	Maria Sobczyk-Barad
Cholesterol in large HDL	HDL cholesterol change measurement	http://www.ebi.ac.uk/efo/EFO_0007805	0.707379865	NHDL cholesterol	http://www.ebi.ac.uk/efo/EFO_0007805	0.707379865	non-HDL cholesterol:HDL cholesterol ratio	http://www.ebi.ac.uk/efo/EFO_0007805	0.707379865	Samuel Neaves	Rebecca Carnegie
Cholesterol to total lipids ratio in large HDL	LDL cholesterol:HDL cholesterol ratio	http://www.ebi.ac.uk/efo/EFO_0007930	0.545329794	non-HDL cholesterol:HDL cholesterol ratio	http://www.ebi.ac.uk/efo/EFO_0007930	0.545329794	total cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0007930	0.545329794	Samuel Neaves	Rebecca Carnegie
Cholesteryl esters in HDL	cholesteryl ester measurement	http://www.ebi.ac.uk/efo/EFO_0010351	0.753865117	Cholesteryl ester storage disease	http://www.ebi.ac.uk/efo/EFO_0010351	0.753865117	cholesteryl ester 18:1 measurement	http://www.ebi.ac.uk/efo/EFO_0010351	0.753865117	Benjamin Woolf	Giulio Centorame
Cholesteryl esters to total lipids ratio in small VLDL	cholesteryl ester measurement	http://www.ebi.ac.uk/efo/EFO_0010351	0.537188462	Cholesteryl ester storage disease	http://www.ebi.ac.uk/efo/EFO_0010351	0.537188462	cholesteryl ester 18:1 measurement	http://www.ebi.ac.uk/efo/EFO_0010351	0.537188462	everyone	NA
Chymotrypsin-like elastase family member 3B	alpha-1-antichymotrypsin measurement	http://www.ebi.ac.uk/efo/EFO_0008019	0.41811906	Alpha-1-antichymotrypsin deficiency	http://www.ebi.ac.uk/efo/EFO_0008019	0.41811906	alpha-1-antichymotrypsin complex measurement	http://www.ebi.ac.uk/efo/EFO_0008019	0.41811906	Zak Thornton	Marina Vabistsevits
Coactosin-like protein	Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	0.405402338	coagulation protein disease	http://purl.obolibrary.org/obo/HP_0000093	0.405402338	SPARC-like protein 1 measurement	http://purl.obolibrary.org/obo/HP_0000093	0.405402338	Ryan Langdon	Maria Sobczyk-Barad
Coiled-coil domain-containing protein 134	CUB domain containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.493841282	OCIA domain-containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.493841282	thioredoxin domain-containing protein 12 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.493841282	Samuel Neaves	Rebecca Carnegie
Complement C1q tumor necrosis factor-related protein 3	tumor necrosis factor measurement	http://www.ebi.ac.uk/efo/EFO_0010834	0.610292927	complement factor H-related protein 5 measurement	http://www.ebi.ac.uk/efo/EFO_0010834	0.610292927	tumor necrosis factor beta measurement	http://www.ebi.ac.uk/efo/EFO_0010834	0.610292927	Benjamin Woolf	Giulio Centorame
Complement factor I	complement factor I measurement	http://www.ebi.ac.uk/efo/EFO_0008099	0.876853845	complement factor B measurement	http://www.ebi.ac.uk/efo/EFO_0008099	0.876853845	complement factor H measurement	http://www.ebi.ac.uk/efo/EFO_0008099	0.876853845	Benjamin Woolf	Giulio Centorame
Completion status of test: Fully completed	complete hydatidiform mole	http://purl.obolibrary.org/obo/MONDO_0016785	0.534312886	Achromatopsia	http://purl.obolibrary.org/obo/MONDO_0016785	0.534312886	SC	http://purl.obolibrary.org/obo/MONDO_0016785	0.534312886	Samuel Neaves	Rebecca Carnegie
Complications of surgical and medical care, not elsewhere classified	respiratory system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.530139922	immune system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.530139922	digestive system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.530139922	Zak Thornton	Marina Vabistsevits
Concentration of small LDL particles	Diminished ability to concentrate	http://purl.obolibrary.org/obo/HP_0031987	0.483221654	concentration dose ratio	http://purl.obolibrary.org/obo/HP_0031987	0.483221654	low density lipoprotein particle size measurement	http://purl.obolibrary.org/obo/HP_0031987	0.483221654	Benjamin Woolf	Giulio Centorame
Convergent concomitant strabismus	Strabismus	http://purl.obolibrary.org/obo/HP_0000486	0.590615199	Essential strabismus	http://purl.obolibrary.org/obo/HP_0000486	0.590615199	paralytic strabismus	http://purl.obolibrary.org/obo/HP_0000486	0.590615199	Benjamin Woolf	Giulio Centorame
Cortisone	Hyperandrogenism due to cortisone reductase deficiency	http://www.orpha.net/ORDO/Orphanet_168588	0.578782556	Cortisol-Producing Adrenal Cortex Adenoma	http://www.orpha.net/ORDO/Orphanet_168588	0.578782556	cortisol measurement	http://www.orpha.net/ORDO/Orphanet_168588	0.578782556	Ryan Langdon	Maria Sobczyk-Barad
Cottage cheese intake	curettage	http://www.ebi.ac.uk/efo/EFO_0010728	0.323163039	energy intake	http://www.ebi.ac.uk/efo/EFO_0010728	0.323163039	fat intake measurement	http://www.ebi.ac.uk/efo/EFO_0010728	0.323163039	Zak Thornton	Marina Vabistsevits
Counselling related to sexual attitude, behaviour and orientation	sexual behavior	http://www.ebi.ac.uk/efo/EFO_0010141	0.517870751	risky sexual behaviour measurement	http://www.ebi.ac.uk/efo/EFO_0010141	0.517870751	eating behaviour	http://www.ebi.ac.uk/efo/EFO_0010141	0.517870751	Benjamin Woolf	Giulio Centorame
COVID-19 (hospitalized vs population) RELEASE 4	COVID-19	http://purl.obolibrary.org/obo/MONDO_0100096	0.473864445	mild COVID-19 infection	http://purl.obolibrary.org/obo/MONDO_0100096	0.473864445	severe COVID-19 infection	http://purl.obolibrary.org/obo/MONDO_0100096	0.473864445	Benjamin Woolf	Giulio Centorame
COVID-19 (predicted covid from self-reported symptoms vs predicted or self-reported non-covid) RELEASE 4	COVID-19	http://purl.obolibrary.org/obo/MONDO_0100096	0.473864445	mild COVID-19 infection	http://purl.obolibrary.org/obo/MONDO_0100096	0.473864445	severe COVID-19 infection	http://purl.obolibrary.org/obo/MONDO_0100096	0.473864445	Ryan Langdon	Maria Sobczyk-Barad
COVID-19 (very severe respiratory confirmed vs not hospitalized) RELEASE 4	COVID-19	http://purl.obolibrary.org/obo/MONDO_0100096	0.473864445	mild COVID-19 infection	http://purl.obolibrary.org/obo/MONDO_0100096	0.473864445	severe COVID-19 infection	http://purl.obolibrary.org/obo/MONDO_0100096	0.473864445	Ryan Langdon	Maria Sobczyk-Barad
