OpenGWAS.Trait	Tool.Mapping..1	Identifier1	Score1	Tool.Mapping..2	Identifier2	Score2	Tool.Mapping..3	Identifier3	Score3	exact mapping	broad mapping	narrow mapping	incorrect	Exact	non-EFO	comments
Corneal ulcer	ulcer disease	http://purl.obolibrary.org/obo/MONDO_0043839	0.652144071	corneal disease	http://www.ebi.ac.uk/efo/EFO_0009464	0.635038172	cornea neoplasm	http://purl.obolibrary.org/obo/MONDO_0021238	0.626665091							
Crossbite	Oculocerebral hypopigmentation syndrome, Cross type	http://www.orpha.net/ORDO/Orphanet_2719	0.406254934	Strabismus	http://purl.obolibrary.org/obo/HP_0000486	0.289026675	cross sectional design	http://www.ebi.ac.uk/efo/EFO_0001428	0.280996469							
Destinations on discharge from hospital (recoded): Transfer within NHS provider	eye discharge	http://www.ebi.ac.uk/efo/EFO_0010678	0.421582697	vaginal discharge	http://www.ebi.ac.uk/efo/EFO_0009365	0.325012837	biomaterial provider	http://www.ebi.ac.uk/efo/EFO_0001729	0.295724163							
Diagnoses - main ICD10: K61.0 Anal abscess	abscess	http://www.ebi.ac.uk/efo/EFO_0003030	0.513520424	Tooth abscess	http://purl.obolibrary.org/obo/HP_0030757	0.453976641	Cutaneous abscess	http://purl.obolibrary.org/obo/HP_0031292	0.451684796							
Diagnoses - main ICD10: N19 Unspecified renal failure	Renal insufficiency	http://purl.obolibrary.org/obo/HP_0000083	0.566494175	kidney failure	http://www.ebi.ac.uk/efo/EFO_1002048	0.566494175	heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	0.537540967							
Diagnoses - main ICD10: N81.2 Incomplete uterovaginal prolapse	uterine prolapse	http://www.ebi.ac.uk/efo/EFO_1001864	0.435726936	pelvic organ prolapse	http://www.ebi.ac.uk/efo/EFO_0004710	0.416701322	uterovaginal malformation	http://purl.obolibrary.org/obo/MONDO_0015828	0.413666273							
Endoplasmin	Endoplasmic Reticulum Stress	http://www.ebi.ac.uk/efo/EFO_1001886	0.559925064	endoplasmic reticulum aminopeptidase 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008119	0.461541894	endocrine neoplasm	http://www.ebi.ac.uk/efo/EFO_0003769	0.42176945							
Epiandrosterone sulfate	cortisol:DHEAS ratio measurement	http://www.ebi.ac.uk/efo/EFO_0010239	0.576977745	dehydroepiandrosterone sulphate measurement	http://www.ebi.ac.uk/efo/EFO_0007001	0.544402818	dehydroepiandrosterone measurement	http://www.ebi.ac.uk/efo/EFO_0010240	0.511671577							
epidermal growth factor	epidermal growth factor	http://www.ebi.ac.uk/efo/EFO_0003298	0.987575443	epidermal growth factor measurement	http://www.ebi.ac.uk/efo/EFO_0010947	0.847562704	Lipodystrophy due to peptidic growth factors deficiency	http://www.orpha.net/ORDO/Orphanet_1979	0.557243433							
FGF23	fibroblast growth factor 23 measurement	http://www.ebi.ac.uk/efo/EFO_0009381	0.852477581	fgfr2 related craniosynostosis	http://www.ebi.ac.uk/efo/EFO_0009141	0.242048874	Syndactyly type 8	http://www.orpha.net/ORDO/Orphanet_2498	0.241272002							
Ficolin-2	ficolin-1 measurement	http://www.ebi.ac.uk/efo/EFO_0008134	0.517662292	ficolin-2 measurement	http://www.ebi.ac.uk/efo/EFO_0008135	0.506353256	Ficoll-Hypaque method	http://www.ebi.ac.uk/efo/EFO_0009110	0.4260666							
Flt3 ligand	fms related receptor tyrosine kinase-3 ligand measurement	http://www.ebi.ac.uk/efo/EFO_0010785	0.4988787	Fms-related tyrosine kinase 3 ligand measurement	http://www.ebi.ac.uk/efo/EFO_0010594	0.4988787	MOLT-3	http://www.ebi.ac.uk/efo/EFO_0005265	0.455004829							
G56 Mononeuropathies of upper limb	mononeuropathy	http://www.ebi.ac.uk/efo/EFO_0009558	0.561343632	diabetic neuropathy	http://www.ebi.ac.uk/efo/EFO_1000783	0.558714981	neuritis of upper limb	http://purl.obolibrary.org/obo/MONDO_0003607	0.535534895							
Gastro-oesophageal reflux disease	gastroesophageal reflux disease	http://www.ebi.ac.uk/efo/EFO_0003948	0.933525171	gastroesophageal disease	http://purl.obolibrary.org/obo/MONDO_0015111	0.744141347	peptic esophagitis	http://www.ebi.ac.uk/efo/EFO_1001095	0.680250708							
HLA DR+ CD4+ T cell Absolute Count	Plasma Cell Count	http://www.ebi.ac.uk/efo/EFO_0009248	0.408519623	leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	0.390542516	complete blood cell count	http://www.ebi.ac.uk/efo/EFO_0004586	0.374325481							
Hydroxymethylglutaryl-CoA synthase, mitochondrial	3-hydroxy-3-methylglutaric aciduria	http://www.orpha.net/ORDO/Orphanet_20	0.609919178	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	http://www.orpha.net/ORDO/Orphanet_35701	0.553196899	Mitochondrial disease	http://www.orpha.net/ORDO/Orphanet_68380	0.462959735							
Hypertrophy of breast	Breast hypertrophy	http://purl.obolibrary.org/obo/HP_0010313	0.965817277	hypertrophy	http://www.ebi.ac.uk/efo/EFO_0002460	0.833581496	hyperostosis	http://purl.obolibrary.org/obo/MONDO_0002185	0.719034095							
IGF-like family receptor 1	leukocyte immunoglobulin-like receptor subfamily B member 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008208	0.407172077	tumor necrosis factor receptor superfamily member 6 measurement	http://www.ebi.ac.uk/efo/EFO_0010610	0.40625089	tumor necrosis factor receptor superfamily member 9 measurement	http://www.ebi.ac.uk/efo/EFO_0010802	0.405677977							
Illnesses of siblings: None of the above (group 1)	number of siblings	http://www.ebi.ac.uk/efo/EFO_0009713	0.489843581	psychiatric disorder	http://purl.obolibrary.org/obo/MONDO_0002025	0.347899406	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	0.312306283							
Job coding: other science technician, materials technician, technical assistant, technical officer	technician	http://www.ebi.ac.uk/efo/EFO_0009739	0.872618691	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	0.663476505	clinical laboratory measurement	http://www.ebi.ac.uk/efo/EFO_0004297	0.492686395							
Job coding: personnel, human resources, training or industrial relations manager/director, recruitment manager/director	contraception	http://www.ebi.ac.uk/efo/EFO_0009520	0.28512869	disease	http://www.ebi.ac.uk/efo/EFO_0000408	0.277885743	Nager syndrome	http://www.orpha.net/ORDO/Orphanet_245	0.261156225							
Job coding: police officer (sergeant or below)	ICE	http://www.ebi.ac.uk/efo/EFO_0008773	0.388794651	Autosomal dominant hyper-IgE syndrome	http://www.orpha.net/ORDO/Orphanet_2314	0.336850373	Iridocorneal endothelial syndrome	http://www.orpha.net/ORDO/Orphanet_64734	0.305388924							
Job SOC coding: Managers in construction	DNA library construction	http://www.ebi.ac.uk/efo/EFO_0010172	0.397893893	single cell library construction	http://www.ebi.ac.uk/efo/EFO_0010183	0.382652617	cDNA library construction	http://www.ebi.ac.uk/efo/EFO_0004187	0.372005223							
Job SOC coding: Research and development managers	developmental stage	http://www.ebi.ac.uk/efo/EFO_0000399	0.489729557	congenital heart malformation	http://www.ebi.ac.uk/efo/EFO_0005269	0.478534556	bone development disease	http://www.ebi.ac.uk/efo/EFO_0005541	0.453615605							
Job SOC coding: Social workers	social desirability	http://www.ebi.ac.uk/efo/EFO_0004366	0.577760272	social anxiety disorder	http://www.ebi.ac.uk/efo/EFO_1001917	0.411669944	anthracosis	http://www.ebi.ac.uk/efo/EFO_1000814	0.384740173							
Junctional adhesion molecule-like	adhesion factor	http://www.ebi.ac.uk/efo/EFO_0004521	0.744389515	adhesion molecule measurement	http://www.ebi.ac.uk/efo/EFO_0004522	0.640857982	basal cell adhesion molecule measurement	http://www.ebi.ac.uk/efo/EFO_0008032	0.568994486							
Lamb intake	Carney complex	http://www.orpha.net/ORDO/Orphanet_1359	0.76738618	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.473227419	fat intake measurement	http://www.ebi.ac.uk/efo/EFO_0010809	0.417731736							
Low calorie drink intake	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.607957825	response to low calorie diet	http://www.ebi.ac.uk/efo/EFO_0010731	0.519786236	Congenital reticular ichthyosiform erythroderma	http://www.orpha.net/ORDO/Orphanet_281190	0.294503339							
Lymphocyte Absolute Count	lymphocyte count	http://www.ebi.ac.uk/efo/EFO_0004587	0.796703775	lymphocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007993	0.598473825	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.546554876							
Macular hole	macular holes	http://www.ebi.ac.uk/efo/EFO_1001028	0.988425127	age-related macular degeneration	http://www.ebi.ac.uk/efo/EFO_0001365	0.56303146	Macular dystrophy	http://purl.obolibrary.org/obo/HP_0007754	0.56303146							
Macular pucker	Epiretinal membrane	http://purl.obolibrary.org/obo/HP_0100014	0.990972118	macular holes	http://www.ebi.ac.uk/efo/EFO_1001028	0.453645875	Ptosis - vocal cord paralysis	http://www.orpha.net/ORDO/Orphanet_2997	0.425816781							
Main speciality of consultant (recoded): Respiratory medicine	Abnormality of the respiratory system	http://purl.obolibrary.org/obo/HP_0002086	0.505164251	consultant	http://www.ebi.ac.uk/efo/EFO_0001732	0.477783298	respiratory system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.465528165							
Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication	esterified cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0008589	0.470780753	total cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004574	0.426639068	cholesterol catabolic process disease	http://purl.obolibrary.org/obo/MONDO_0045016	0.407983803							
Mild mental retardation	Intellectual disability, mild	http://purl.obolibrary.org/obo/HP_0001256	0.993987935	mental retardation	http://www.ebi.ac.uk/efo/EFO_0003847	0.854325833	Intellectual disability	http://purl.obolibrary.org/obo/HP_0001249	0.854325833							
Motor disorders (more controls excluded)	disease	http://www.ebi.ac.uk/efo/EFO_0000408	0.730008062	motor neuron disease	http://www.ebi.ac.uk/efo/EFO_0003782	0.725699158	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	0.587830859							
N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2	MGAT2-CDG	http://www.orpha.net/ORDO/Orphanet_79329	0.68448676	Sanfilippo syndrome type C	http://www.orpha.net/ORDO/Orphanet_79271	0.53688513	Mucolipidosis type II	http://www.orpha.net/ORDO/Orphanet_576	0.519821136							
NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	inborn mitochondrial metabolism disorder	http://purl.obolibrary.org/obo/MONDO_0004069	0.483577291	Mitochondrial disease	http://www.orpha.net/ORDO/Orphanet_68380	0.483577291	Mitochondrial disorder due to a defect in mitochondrial protein synthesis	http://www.orpha.net/ORDO/Orphanet_35696	0.471392026							
Nectin-like protein 1	SPARC-like protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008289	0.498240138	Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	0.47463143	YKL40 measurement	http://www.ebi.ac.uk/efo/EFO_0004869	0.470833167							
Non-cancer illness code, self-reported: other renal/kidney problem	renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0002890	0.549222856	kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	0.549222856	kidney neoplasm	http://www.ebi.ac.uk/efo/EFO_0003865	0.549222856							
Nonsuppurative otitis media	non-suppurative otitis media	http://purl.obolibrary.org/obo/MONDO_0001212	0.988164181	suppurative otitis media	http://www.ebi.ac.uk/efo/EFO_0007503	0.891758501	chronic non-suppurative otitis media	http://purl.obolibrary.org/obo/MONDO_0021206	0.794210089							
Nuclear envelope phosphatase-regulatory subunit 1	3-phosphoserine phosphatase deficiency	http://www.orpha.net/ORDO/Orphanet_79350	0.370550865	nuclear cataract	http://purl.obolibrary.org/obo/MONDO_0045050	0.363436286	Nuclear cataract	http://www.orpha.net/ORDO/Orphanet_98991	0.363436286							
Nuclear receptor ROR-beta	nuclear cataract	http://purl.obolibrary.org/obo/MONDO_0045050	0.455893989	Nuclear cataract	http://www.orpha.net/ORDO/Orphanet_98991	0.455893989	Nuclear oculomotor paralysis	http://www.orpha.net/ORDO/Orphanet_100932	0.419763646							
Number of children fathered	number of children fathered measurement	http://www.ebi.ac.uk/efo/EFO_0009814	0.883061342	number of children ever born measurement	http://www.ebi.ac.uk/efo/EFO_0009102	0.643119897	Postnatal growth retardation	http://purl.obolibrary.org/obo/HP_0008897	0.444819681							
Oligomenorrhoea	Oligomenorrhea	http://purl.obolibrary.org/obo/HP_0000876	0.769924729	seborrheic dermatitis	http://www.ebi.ac.uk/efo/EFO_1000764	0.541330852	Diarrhea	http://purl.obolibrary.org/obo/HP_0002014	0.533953891							
Operation code: cone biopsy	biopsy	http://www.ebi.ac.uk/efo/EFO_0009120	0.675906417	biopsy site	http://www.ebi.ac.uk/efo/EFO_0000288	0.566974921	biopsy number	http://www.ebi.ac.uk/efo/EFO_0000287	0.480950905							
Operation code: coronary angiogram	coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0001645	0.483731429	percutaneous transluminal coronary angioplasty	http://www.ebi.ac.uk/efo/EFO_0003951	0.425533172	Coronary Vasospasm	http://www.ebi.ac.uk/efo/EFO_0004225	0.406590689							
Operation code: ear surgery	ophthalmic procedure	http://www.ebi.ac.uk/efo/EFO_0010722	0.498103431	surgery on leg artery	http://www.ebi.ac.uk/efo/EFO_0009729	0.467615192	response to surgery	http://www.ebi.ac.uk/efo/EFO_0009951	0.432395241							
Operation code: hand/finger surgery	ophthalmic procedure	http://www.ebi.ac.uk/efo/EFO_0010722	0.470567346	stenosing tenosynovitis	http://www.ebi.ac.uk/efo/EFO_0010822	0.430445267	Digital flexor tenosynovitis	http://purl.obolibrary.org/obo/HP_0012276	0.430445267							
Operation code: incisional hernia repair	Incisional hernia	http://purl.obolibrary.org/obo/HP_0004872	0.728335831	Hernia	http://purl.obolibrary.org/obo/HP_0100790	0.428779042	Inguinal hernia	http://purl.obolibrary.org/obo/HP_0000023	0.335549968							
Operation code: tonsillectomy +/- adenoids	tonsillectomy	http://www.ebi.ac.uk/efo/EFO_0010174	0.685625512	tonsillectomy risk measurement	http://www.ebi.ac.uk/efo/EFO_0007924	0.469906302	ileostomy	http://www.ebi.ac.uk/efo/EFO_0010681	0.38371021							
Operative procedures - main OPCS: E08.1 Polypectomy of internal nose	ileostomy	http://www.ebi.ac.uk/efo/EFO_0010681	0.331954443	medical procedure	http://www.ebi.ac.uk/efo/EFO_0002571	0.32859052	response to surgery	http://www.ebi.ac.uk/efo/EFO_0009951	0.311944533							
Operative procedures - main OPCS: T20.9 Unspecified primary repair of inguinal hernia	Inguinal hernia	http://purl.obolibrary.org/obo/HP_0000023	0.458147676	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	0.329149644	ulcerative colitis	http://www.ebi.ac.uk/efo/EFO_0000729	0.312056846							
Operative procedures - main OPCS: T72.3 Release of constriction of sheath of tendon	tendon sheath disorder	http://purl.obolibrary.org/obo/MONDO_0024876	0.517823329	Tendon Sheath Fibroma	http://www.ebi.ac.uk/efo/EFO_1000561	0.440130411	tenosynovitis	http://www.ebi.ac.uk/efo/EFO_1001435	0.438992927							
Operative procedures - secondary OPCS: Z92.6 Abdomen NEC	medical procedure	http://www.ebi.ac.uk/efo/EFO_0002571	0.351336453	secondary neoplasm	http://purl.obolibrary.org/obo/MONDO_0024882	0.341248948	Secondary microcephaly	http://purl.obolibrary.org/obo/HP_0005484	0.332947405							
Other strabismus	Strabismus	http://purl.obolibrary.org/obo/HP_0000486	0.908570424	Essential strabismus	http://www.orpha.net/ORDO/Orphanet_98682	0.729529427	paralytic strabismus	http://www.ebi.ac.uk/efo/EFO_0009678	0.723666663							
Pain type(s) experienced in last month: Facial pain	facial pain	http://www.ebi.ac.uk/efo/EFO_0009625	0.632114903	pain	http://www.ebi.ac.uk/efo/EFO_0003843	0.544763927	Mastodynia	http://www.ebi.ac.uk/efo/EFO_1001366	0.439120721							
PCT responsible for patient data: SUNDERLAND TEACHING PCT	Porphyria cutanea tarda	http://www.orpha.net/ORDO/Orphanet_101330	0.479309785	platelet crit	http://www.ebi.ac.uk/efo/EFO_0007985	0.479309785	Cutaneous T-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0002913	0.257091123							
Phospholipids in small LDL	phospholipid measurement	http://www.ebi.ac.uk/efo/EFO_0004639	0.597656853	antiphospholipid syndrome	http://www.ebi.ac.uk/efo/EFO_0002689	0.553467501	Disorder of phospholipids, sphingolipids and fatty acids biosynthesis	http://www.orpha.net/ORDO/Orphanet_352301	0.535909946							
Polyarteritis nodosa and related conditions	Polyarteritis Nodosa	http://www.ebi.ac.uk/efo/EFO_0009012	0.822643035	mucocutaneous lymph node syndrome	http://www.ebi.ac.uk/efo/EFO_0004246	0.704582384	polyarticular arthritis	http://purl.obolibrary.org/obo/MONDO_0024280	0.519830131							
Portal vein thrombosis	Portal vein thrombosis	http://purl.obolibrary.org/obo/HP_0030242	0.983217626	thrombotic disease	http://purl.obolibrary.org/obo/MONDO_0000831	0.724652828	hepatic vein thrombosis	http://www.ebi.ac.uk/efo/EFO_1000966	0.71849059							
Probable ATP-dependent RNA helicase DDX58	substance dependence	http://purl.obolibrary.org/obo/MONDO_0004938	0.343969149	heroin dependence	http://www.ebi.ac.uk/efo/EFO_0004240	0.305907737	drug dependence	http://www.ebi.ac.uk/efo/EFO_0003890	0.298509747							
Problems related to other psychosocial circumstances	encounter with health service related to socioeconomic and psychosocial circumstances	http://www.ebi.ac.uk/efo/EFO_0009788	0.619388891	mental retardation	http://www.ebi.ac.uk/efo/EFO_0003847	0.424096081	psychosocial stress measurement	http://www.ebi.ac.uk/efo/EFO_0006783	0.402930116							
R50 Fever of unknown origin	fever of unknown origin	http://www.ebi.ac.uk/efo/EFO_0003952	0.876787093	glial tumor of neuroepithelial tissue with unknown origin	http://purl.obolibrary.org/obo/MONDO_0016704	0.523226743	Unknown leukodystrophy	http://www.orpha.net/ORDO/Orphanet_84096	0.469030514							
Red cell distribution width	Red cell distribution width	http://www.ebi.ac.uk/efo/EFO_0009188	0.99269589	red blood cell distribution width	http://www.ebi.ac.uk/efo/EFO_0005192	0.883606869	platelet component distribution width	http://www.ebi.ac.uk/efo/EFO_0007984	0.777746342							
Salted nuts intake	nut allergic reaction	http://www.ebi.ac.uk/efo/EFO_1001066	0.42040797	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.350831354	abnormal sample	http://www.ebi.ac.uk/efo/EFO_0009655	0.348315968							
Spinal osteochondrosis	Spinal Osteochondrosis	http://www.ebi.ac.uk/efo/EFO_0008576	0.989576723	Osteochondrosis	http://purl.obolibrary.org/obo/HP_0040188	0.869027267	Familial Scheuermann disease	http://www.orpha.net/ORDO/Orphanet_3135	0.86322689							
Squash intake	Pyoderma gangrenosum-acne-suppurative hidradenitis syndrome	http://www.ebi.ac.uk/efo/EFO_0009009	0.403132951	non-alcoholic steatohepatitis	http://www.ebi.ac.uk/efo/EFO_1001249	0.378548616	fish consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010139	0.378456862							
Sulfhydryl oxidase 1	Isolated sulfite oxidase deficiency	http://www.orpha.net/ORDO/Orphanet_99731	0.461348759	Sulfite oxidase deficiency due to molybdenum cofactor deficiency	http://www.orpha.net/ORDO/Orphanet_99732	0.45540987	Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A	http://www.orpha.net/ORDO/Orphanet_308386	0.448881972							
T:%Vd1	brain small vessel disease 1 with or without ocular anomalies	http://purl.obolibrary.org/obo/MONDO_0008289	0.457196459	sexually transmitted disease	http://purl.obolibrary.org/obo/MONDO_0021681	0.397635885	arrhythmogenic right ventricular dysplasia, familial, 14	http://purl.obolibrary.org/obo/MONDO_0030062	0.298642083							
Target heart rate achieved	achievement of target heart rate, self-reported	http://www.ebi.ac.uk/efo/EFO_0009823	0.649300017	heart rate	http://www.ebi.ac.uk/efo/EFO_0004326	0.529957871	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	0.415451085							
Teneurin-4	schwannoma	http://www.ebi.ac.uk/efo/EFO_0000693	0.534069006	Neurofibromatosis type 3	http://www.orpha.net/ORDO/Orphanet_93921	0.426555721	perineurioma	http://purl.obolibrary.org/obo/MONDO_0019404	0.420194698							
Time to complete round	complete hydatidiform mole	http://purl.obolibrary.org/obo/MONDO_0016785	0.500778987	time	http://www.ebi.ac.uk/efo/EFO_0000721	0.478514887	Achromatopsia	http://www.orpha.net/ORDO/Orphanet_49382	0.477582212							
Treatment speciality of consultant (recoded): Medical oncology	consultant	http://www.ebi.ac.uk/efo/EFO_0001732	0.463983259	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	0.411441977	clinical treatment	http://www.ebi.ac.uk/efo/EFO_0007056	0.383367057							
Treatment/medication code: thyroxine product	thyroxine measurement	http://www.ebi.ac.uk/efo/EFO_0005130	0.516178536	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	0.430465903	hyperthyroxinemia	http://www.ebi.ac.uk/efo/EFO_0004127	0.38032468							
Ubiquitin-conjugating enzyme E2 N	disease of catalytic activity	http://purl.obolibrary.org/obo/MONDO_0044976	0.374869051	estrone conjugate measurement	http://www.ebi.ac.uk/efo/EFO_0007971	0.349573775	Abnormal conjugate eye movement	http://purl.obolibrary.org/obo/HP_0000549	0.314254965							
Uterine fibroids	uterine fibroid	http://www.ebi.ac.uk/efo/EFO_0000731	0.979640694	Uterine leiomyoma	http://purl.obolibrary.org/obo/HP_0000131	0.912911892	uterine fibroid measurement	http://www.ebi.ac.uk/efo/EFO_0009410	0.73015853							
Voltage-gated potassium channel subunit beta-2	potassium deficiency	http://www.ebi.ac.uk/efo/EFO_1001120	0.387401852	potassium measurement	http://www.ebi.ac.uk/efo/EFO_0009283	0.378092479	potassium deficiency disease	http://purl.obolibrary.org/obo/MONDO_0003019	0.360470716							
Volume level set by participant (left)	volume	http://www.ebi.ac.uk/efo/EFO_0001715	0.478181129	thyroid volume	http://www.ebi.ac.uk/efo/EFO_0004865	0.370661805	weight percent by volume	http://www.ebi.ac.uk/efo/EFO_0004384	0.36369993							
X-09026	GM19025	http://www.ebi.ac.uk/efo/EFO_0010836	0.222856554	GM19023	http://www.ebi.ac.uk/efo/EFO_0010835	0.222206131			NA							
