OpenGWAS.Trait	Tool.Mapping..1	Identifier1	Score1	Tool.Mapping..2	Identifier2	Score2	Tool.Mapping..3	Identifier3	Score3	exact mapping	broad mapping	narrow mapping	incorrect	Exact	non-EFO	comments
Bilirubin (E,Z or Z,E)*	bilirubin measurement	http://www.ebi.ac.uk/efo/EFO_0004570	0.796372834	kernicterus	http://www.ebi.ac.uk/efo/EFO_1001002	0.725931738	bilirubin metabolism disease	http://purl.obolibrary.org/obo/MONDO_0024431	0.697159919							
Blindness, monocular	Blindness	http://purl.obolibrary.org/obo/HP_0000618	0.732348358	Color-vision disease	http://www.orpha.net/ORDO/Orphanet_98658	0.622071314	ocular onchocerciasis	http://www.ebi.ac.uk/efo/EFO_0007398	0.60281958							
cAMP-dependent protein kinase catalytic subunit alpha	interleukin 5 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008186	0.368889016	interleukin 6 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008187	0.368138175	interleukin 7 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008190	0.367730896							
CD19 on IgD+ CD38dim B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.276178467	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0001640	0.274862451	cell type	http://www.ebi.ac.uk/efo/EFO_0000324	0.242437719							
CD28 on CD28+ CD45RA+ CD8+ T cell	anti-CD28	http://www.ebi.ac.uk/efo/EFO_0003304	0.45566025	ADNP-related multiple congenital anomalies-intellectual disability-autism spectrum disorder	http://www.orpha.net/ORDO/Orphanet_404448	0.338853057	T-B+ severe combined immunodeficiency due to CD45 deficiency	http://www.orpha.net/ORDO/Orphanet_169157	0.323477399							
CD32 on mDC	Congenital muscular dystrophy	http://www.orpha.net/ORDO/Orphanet_97242	0.704721723	mild disease course	http://www.ebi.ac.uk/efo/EFO_0006819	0.704721723	ML-DmD32	http://www.ebi.ac.uk/efo/EFO_0005830	0.461831704							
CD4-CD8- T cell Absolute Count	Plasma Cell Count	http://www.ebi.ac.uk/efo/EFO_0009248	0.42633198	leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	0.407571031	complete blood cell count	http://www.ebi.ac.uk/efo/EFO_0004586	0.390646898							
Collectin-11	urine collection	http://www.ebi.ac.uk/efo/EFO_0009123	0.590650962	collection of material	http://www.ebi.ac.uk/efo/EFO_0005066	0.566870945	collectin-11 measurement	http://www.ebi.ac.uk/efo/EFO_0008088	0.56654748							
Colorectal cancer (all cancers excluded)	colorectal carcinoma	http://www.ebi.ac.uk/efo/EFO_1001951	0.99615408	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	0.99615408	familial colorectal cancer	http://purl.obolibrary.org/obo/MONDO_0023113	0.832790363							
Complement C1q tumor necrosis factor-related protein 3	tumor necrosis factor measurement	http://www.ebi.ac.uk/efo/EFO_0010834	0.610292927	complement factor H-related protein 5 measurement	http://www.ebi.ac.uk/efo/EFO_0008098	0.560730893	tumor necrosis factor beta measurement	http://www.ebi.ac.uk/efo/EFO_0008308	0.557284029							
Concentration of chylomicrons and extremely large VLDL particles	chylomicron measurement	http://www.ebi.ac.uk/efo/EFO_0008596	0.477605578	Chylomicron retention disease	http://www.orpha.net/ORDO/Orphanet_71	0.419415851	very low density lipoprotein particle size measurement	http://www.ebi.ac.uk/efo/EFO_0008594	0.382203833							
Cysteine-rich hydrophobic domain-containing protein 2	CUB domain containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.501438698	OCIA domain-containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008252	0.479025793	thioredoxin domain-containing protein 12 measurement	http://www.ebi.ac.uk/efo/EFO_0008298	0.42314721							
Desmin	Desminopathy	http://www.orpha.net/ORDO/Orphanet_98909	0.744425028	desmoid tumor	http://purl.obolibrary.org/obo/MONDO_0007608	0.466379681	Desmoid-type fibromatosis	http://www.ebi.ac.uk/efo/EFO_0009907	0.466379681							
Diagnoses - main ICD10: K29.6 Other gastritis	gastritis	http://www.ebi.ac.uk/efo/EFO_0000217	0.518534397	chronic gastritis	http://www.ebi.ac.uk/efo/EFO_0000337	0.518534397	atrophic gastritis	http://www.ebi.ac.uk/efo/EFO_1000826	0.377606776							
Diagnoses - main ICD10: N81.2 Incomplete uterovaginal prolapse	uterine prolapse	http://www.ebi.ac.uk/efo/EFO_1001864	0.435726936	pelvic organ prolapse	http://www.ebi.ac.uk/efo/EFO_0004710	0.416701322	uterovaginal malformation	http://purl.obolibrary.org/obo/MONDO_0015828	0.413666273							
Diagnoses - main ICD10: Z08.0 Follow-up examination after surgery for malignant neoplasm	childhood cancer	http://www.ebi.ac.uk/efo/EFO_1000654	0.456717992	cancer	http://www.ebi.ac.uk/efo/EFO_0000311	0.456717992	brain cancer	http://purl.obolibrary.org/obo/MONDO_0001657	0.414089873							
Drug-induced obesity	obesity	http://www.ebi.ac.uk/efo/EFO_0001073	0.639355426	drug-induced lupus erythematosus	http://purl.obolibrary.org/obo/MONDO_0016474	0.621557676	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	0.593173846							
External causes: X59.9 Unspecified place	infectious meningitis	http://www.ebi.ac.uk/efo/EFO_0000584	0.479920881	respiratory system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.452373245	lip cancer	http://www.ebi.ac.uk/efo/EFO_1001019	0.446290714							
FACT complex subunit SSRP1	complex trait	http://www.ebi.ac.uk/efo/EFO_0010578	0.4060233	preeclampsia	http://www.ebi.ac.uk/efo/EFO_0000668	0.382648983	Pyruvate dehydrogenase E1-beta deficiency	http://www.orpha.net/ORDO/Orphanet_255138	0.368396972							
GdT:%CM (2)	cutaneous mastocytosis	http://www.ebi.ac.uk/efo/EFO_1000886	0.60353371	SC	http://www.ebi.ac.uk/efo/EFO_0007029	0.60353371	hypertrophic cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000538	0.26194064							
Glycated hemoglobin levels	HbA1c measurement	http://www.ebi.ac.uk/efo/EFO_0004541	0.9888253	fetal hemoglobin measurement	http://www.ebi.ac.uk/efo/EFO_0004576	0.729959276	hemoglobin A1 measurement	http://www.ebi.ac.uk/efo/EFO_0007629	0.717807997							
Grapefruit juice intake	grapefruit juice consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010094	0.743774917	non-grapefruit juice consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010095	0.674010198	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.26955189							
Growth-regulated protein alpha levels	growth-regulated alpha protein measurement	http://www.ebi.ac.uk/efo/EFO_0008146	0.727819245	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	0.535497521	melanoma-derived growth regulatory protein measurement	http://www.ebi.ac.uk/efo/EFO_0008229	0.506960639							
Heel bone mineral density (BMD) (left)	heel bone mineral density	http://www.ebi.ac.uk/efo/EFO_0009270	0.978259937	bone density	http://www.ebi.ac.uk/efo/EFO_0003923	0.844853176	spine bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007701	0.761082242							
HMG-1	HMG CoA reductase inhibitor use measurement	http://www.ebi.ac.uk/efo/EFO_0009932	0.445338615	3-hydroxy-3-methylglutaric aciduria	http://www.orpha.net/ORDO/Orphanet_20	0.374146627	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	http://www.orpha.net/ORDO/Orphanet_35701	0.368772535							
HVEM on naive CD4+ T cell	stem cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0002886	0.310686763	T-Cell Prolymphocytic Leukemia	http://www.ebi.ac.uk/efo/EFO_1000560	0.309844091	T-cell non-Hodgkin lymphoma	http://purl.obolibrary.org/obo/MONDO_0015760	0.271877729							
IgD- CD24- B cell Absolute Count	Plasma Cell Count	http://www.ebi.ac.uk/efo/EFO_0009248	0.414721976	leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	0.396471931	complete blood cell count	http://www.ebi.ac.uk/efo/EFO_0004586	0.380008681							
IL-5 Ra	refractory anemia	http://www.ebi.ac.uk/efo/EFO_0003802	0.632053612	rheumatoid arthritis	http://www.ebi.ac.uk/efo/EFO_0000685	0.632053612	enthesitis-related juvenile idiopathic arthritis	http://www.ebi.ac.uk/efo/EFO_0009732	0.328343582							
Impingement syndrome of shoulder	shoulder impingement syndrome	http://www.ebi.ac.uk/efo/EFO_1001178	0.958341716	syndromic disease	http://purl.obolibrary.org/obo/MONDO_0002254	0.51988842	Shoulder pain	http://purl.obolibrary.org/obo/HP_0030834	0.484461181							
Isobutyrylcarnitine	Isobutyryl-CoA dehydrogenase deficiency	http://www.orpha.net/ORDO/Orphanet_79159	0.473722643	acylcarnitine measurement	http://www.ebi.ac.uk/efo/EFO_0005059	0.469775831	Carnitine-acylcarnitine translocase deficiency	http://www.orpha.net/ORDO/Orphanet_159	0.454141316							
Job coding: personnel, human resources, training or industrial relations manager/director, recruitment manager/director	contraception	http://www.ebi.ac.uk/efo/EFO_0009520	0.28512869	disease	http://www.ebi.ac.uk/efo/EFO_0000408	0.277885743	Nager syndrome	http://www.orpha.net/ORDO/Orphanet_245	0.261156225							
Job SOC coding: Typists	Autosomal dominant hyper-IgE syndrome	http://www.orpha.net/ORDO/Orphanet_2314	0.351449432	telomere syndrome	http://purl.obolibrary.org/obo/MONDO_0100137	0.342098138	Blast Count	http://www.ebi.ac.uk/efo/EFO_0009232	0.272184906							
Keratitis	keratitis	http://www.ebi.ac.uk/efo/EFO_0009449	0.995926062	Herpes simplex virus keratitis	http://www.ebi.ac.uk/efo/EFO_0007308	0.758074285	Dendritic keratitis	http://www.ebi.ac.uk/efo/EFO_1001883	0.758074285							
Lamb intake	Carney complex	http://www.orpha.net/ORDO/Orphanet_1359	0.76738618	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.473227419	fat intake measurement	http://www.ebi.ac.uk/efo/EFO_0010809	0.417731736							
Left bundle-branch block	Left bundle branch block	http://purl.obolibrary.org/obo/HP_0011713	0.990170708	bundle branch block	http://www.ebi.ac.uk/efo/EFO_0004138	0.884301447	Right bundle branch block	http://purl.obolibrary.org/obo/HP_0011712	0.762443786							
M-phase inducer phosphatase 2	3-phosphoserine phosphatase deficiency	http://www.orpha.net/ORDO/Orphanet_79350	0.547967327	Acid phosphatase deficiency	http://www.orpha.net/ORDO/Orphanet_35121	0.528031898	Hemolytic anemia due to diphosphoglycerate mutase deficiency	http://www.orpha.net/ORDO/Orphanet_714	0.485676462							
Macular pucker	Epiretinal membrane	http://purl.obolibrary.org/obo/HP_0100014	0.990972118	macular holes	http://www.ebi.ac.uk/efo/EFO_1001028	0.453645875	Ptosis - vocal cord paralysis	http://www.orpha.net/ORDO/Orphanet_2997	0.425816781							
Main speciality of consultant (recoded): Gynaecology	Gynecomastia	http://purl.obolibrary.org/obo/HP_0000771	0.48709762	consultant	http://www.ebi.ac.uk/efo/EFO_0001732	0.457751058	female reproductive organ cancer	http://purl.obolibrary.org/obo/MONDO_0001416	0.388711678							
Medication for pain relief, constipation, heartburn	Constipation	http://purl.obolibrary.org/obo/HP_0002019	0.555147526	constipation disorder	http://purl.obolibrary.org/obo/MONDO_0002203	0.555147526	Chronic constipation	http://purl.obolibrary.org/obo/HP_0012450	0.45167211							
Mental and behavioural disorders due to alcohol, excluding acute intoxication	mental or behavioural disorder	http://www.ebi.ac.uk/efo/EFO_0000677	0.570080166	Behavioral abnormality	http://purl.obolibrary.org/obo/HP_0000708	0.474624136	mental or behavioural disorder biomarker	http://www.ebi.ac.uk/efo/EFO_0006848	0.468170849							
Methionine-R-sulfoxide reductase B3	methionine measurement	http://www.ebi.ac.uk/efo/EFO_0009771	0.387256687	Xanthinuria type I	http://www.orpha.net/ORDO/Orphanet_93601	0.373779683	disorder of methionine catabolism	http://purl.obolibrary.org/obo/MONDO_0000351	0.334853885							
Mono:%11c-16-274+	infectious mononucleosis	http://www.ebi.ac.uk/efo/EFO_0007326	0.507359243	Mono Mac 6	http://www.ebi.ac.uk/efo/EFO_0006287	0.349600128	Partial deletion of chromosome 16	http://www.orpha.net/ORDO/Orphanet_261826	0.29414784							
Most recent bowel cancer screening	intestinal cancer	http://www.ebi.ac.uk/efo/EFO_0007330	0.614191606	colorectal carcinoma	http://www.ebi.ac.uk/efo/EFO_1001951	0.50777708	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	0.497523199							
Myeloperoxidase	Myeloperoxidase deficiency	http://www.orpha.net/ORDO/Orphanet_2587	0.848904138	myeloperoxidase measurement	http://www.ebi.ac.uk/efo/EFO_0005243	0.83204874	Myelopathy	http://purl.obolibrary.org/obo/HP_0002196	0.492900643							
Never eat eggs, dairy, wheat, sugar: Wheat products	wheat allergic reaction	http://www.ebi.ac.uk/efo/EFO_1001243	0.426758627	PEAT	http://www.ebi.ac.uk/efo/EFO_0008859	0.325256156	miliaria	http://www.ebi.ac.uk/efo/EFO_1000734	0.31663784							
Nitrogen dioxide air pollution; 2010	traffic air pollution measurement	http://www.ebi.ac.uk/efo/EFO_0007908	0.402096862	particulate matter air pollution measurement	http://www.ebi.ac.uk/efo/EFO_0008255	0.380228484	household air pollution measurement	http://www.ebi.ac.uk/efo/EFO_0006924	0.357588501							
Non-cancer illness code  self-reported: asthma	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.552470977	self rated health	http://www.ebi.ac.uk/efo/EFO_0004778	0.472676386	asthma	http://www.ebi.ac.uk/efo/EFO_0000270	0.45833128							
Non-cancer illness code  self-reported: bone disorder	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.546236383	bone cancer	http://purl.obolibrary.org/obo/MONDO_0002129	0.498787579	self rated health	http://www.ebi.ac.uk/efo/EFO_0004778	0.451752262							
Non-cancer illness code, self-reported: back problem	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.518116807	self rated health	http://www.ebi.ac.uk/efo/EFO_0004778	0.443284064	number of cancers, self-reported	http://www.ebi.ac.uk/efo/EFO_0009800	0.399191969							
Non-cancer illness code, self-reported: pulmonary embolism +/- dvt	pulmonary embolism	http://www.ebi.ac.uk/efo/EFO_0003827	0.634983686	vascular cancer	http://purl.obolibrary.org/obo/MONDO_0002095	0.487356653	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.429074502							
Operation code: sterilisation	ophthalmic procedure	http://www.ebi.ac.uk/efo/EFO_0010722	0.459217779	operator variation	http://www.ebi.ac.uk/efo/EFO_0000633	0.420053341	infertility	http://www.ebi.ac.uk/efo/EFO_0000545	0.418533916							
Operation code: tonsillectomy +/- adenoids	tonsillectomy	http://www.ebi.ac.uk/efo/EFO_0010174	0.685625512	tonsillectomy risk measurement	http://www.ebi.ac.uk/efo/EFO_0007924	0.469906302	ileostomy	http://www.ebi.ac.uk/efo/EFO_0010681	0.38371021							
Operative procedures - main OPCS: W15.1 Osteotomy of neck of first metatarsal bone	Short metatarsal	http://purl.obolibrary.org/obo/HP_0010743	0.384987023	ileostomy	http://www.ebi.ac.uk/efo/EFO_0010681	0.304421226	Metatarsalgia	http://www.ebi.ac.uk/efo/EFO_1001370	0.300354798							
Other and unspecified paralytic syndromes	syndromic disease	http://purl.obolibrary.org/obo/MONDO_0002254	0.552966498	spondyloarthropathy	http://www.ebi.ac.uk/efo/EFO_0000706	0.487997682	cataract	http://www.ebi.ac.uk/efo/EFO_0001059	0.45572345							
Other and unspecified visual disturbances	Gait disturbance	http://purl.obolibrary.org/obo/HP_0001288	0.531121942	Sleep Disorder	http://www.ebi.ac.uk/efo/EFO_0008568	0.51013664	spondyloarthropathy	http://www.ebi.ac.uk/efo/EFO_0000706	0.50214146							
Other disorders of synovium, tendon, and bursa	synovial bursa disease	http://purl.obolibrary.org/obo/MONDO_0056802	0.719894833	synovium disease	http://purl.obolibrary.org/obo/MONDO_0056799	0.691714087	Tendinopathy	http://www.ebi.ac.uk/efo/EFO_1001434	0.567823872							
P wave duration	P wave duration	http://www.ebi.ac.uk/efo/EFO_0005094	0.990862397	duration	http://www.ebi.ac.uk/efo/EFO_0000433	0.62194583	E/A ratio	http://www.ebi.ac.uk/efo/EFO_0009291	0.548918142							
PCT where patients GP was registered: KINGSTON PCT	Porphyria cutanea tarda	http://www.orpha.net/ORDO/Orphanet_101330	0.505832858	platelet crit	http://www.ebi.ac.uk/efo/EFO_0007985	0.505832858	Cutaneous T-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0002913	0.27131751							
Phenylalanine	Phenylketonuria	http://www.orpha.net/ORDO/Orphanet_716	0.904415491	phenylalanine measurement	http://www.ebi.ac.uk/efo/EFO_0005001	0.844946984	Hyperphenylalaninemia	http://www.orpha.net/ORDO/Orphanet_238583	0.78103879							
Platelet-derived growth factor C	platelet-derived growth factor BB measurement	http://www.ebi.ac.uk/efo/EFO_0008264	0.683467057	platelet-derived growth factor receptor beta measurement	http://www.ebi.ac.uk/efo/EFO_0008265	0.669646172	epidermal growth factor	http://www.ebi.ac.uk/efo/EFO_0003298	0.541295373							
Polyarteritis nodosa and related conditions	Polyarteritis Nodosa	http://www.ebi.ac.uk/efo/EFO_0009012	0.822643035	mucocutaneous lymph node syndrome	http://www.ebi.ac.uk/efo/EFO_0004246	0.704582384	polyarticular arthritis	http://purl.obolibrary.org/obo/MONDO_0024280	0.519830131							
Polycystic ovarian syndrome	polycystic ovary syndrome	http://www.ebi.ac.uk/efo/EFO_0000660	0.981126626	Ovarian cyst	http://purl.obolibrary.org/obo/HP_0000138	0.554841737	simple cystadenoma	http://www.ebi.ac.uk/efo/EFO_0002511	0.554841737							
PSA1	SJSA1	http://www.ebi.ac.uk/efo/EFO_0002330	0.44238237	prostate specific antigen measurement	http://www.ebi.ac.uk/efo/EFO_0004624	0.407202519	Phosphoserine aminotransferase deficiency	http://www.orpha.net/ORDO/Orphanet_284417	0.387018168							
R50 Fever of unknown origin	fever of unknown origin	http://www.ebi.ac.uk/efo/EFO_0003952	0.876787093	glial tumor of neuroepithelial tissue with unknown origin	http://purl.obolibrary.org/obo/MONDO_0016704	0.523226743	Unknown leukodystrophy	http://www.orpha.net/ORDO/Orphanet_84096	0.469030514							
Rheumatic fever incl heart disease	rheumatic heart disease	http://www.ebi.ac.uk/efo/EFO_1001161	0.786957884	rheumatic fever	http://www.ebi.ac.uk/efo/EFO_1001160	0.710754324	rheumatic disease	http://www.ebi.ac.uk/efo/EFO_0005755	0.684315376							
Scavenger receptor class A member 5	scavenger receptor class F member 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008276	0.831204686	macrophage scavenger receptor types I and II measurement	http://www.ebi.ac.uk/efo/EFO_0008222	0.53076852	tumor necrosis factor, receptor superfamily, member 5 measurement	http://www.ebi.ac.uk/efo/EFO_0010607	0.371027163							
Sialic acid-binding Ig-like lectin 7	sialic acid-binding Ig-like lectin 6 measurement	http://www.ebi.ac.uk/efo/EFO_0008285	0.610785008	sialic acid-binding Ig-like lectin 9 measurement	http://www.ebi.ac.uk/efo/EFO_0008286	0.609745236	sialic acid-binding Ig-like lectin 14 measurement	http://www.ebi.ac.uk/efo/EFO_0008284	0.597196751							
Sitting height	sitting height ratio	http://www.ebi.ac.uk/efo/EFO_0007118	0.881193718	sitting height measurement	http://www.ebi.ac.uk/efo/EFO_0011011	0.844145092	body height	http://www.ebi.ac.uk/efo/EFO_0004339	0.698196464							
Smoked cigarette or pipe within last hour	nicotine dependence	http://www.ebi.ac.uk/efo/EFO_0003768	0.559131017	mouth pipette	http://www.ebi.ac.uk/efo/EFO_0010182	0.378156428	time to first cigarette measurement	http://www.ebi.ac.uk/efo/EFO_0010126	0.364084676							
Solute carrier family 41 member 2	carrier status	http://www.ebi.ac.uk/efo/EFO_0007658	0.417361417	SLAM family member 7 measurement	http://www.ebi.ac.uk/efo/EFO_0008287	0.414959313	TBC1 domain family member 24	http://www.ebi.ac.uk/efo/EFO_0009915	0.349886456							
spondin 1	spondin-1 measurement	http://www.ebi.ac.uk/efo/EFO_0008290	0.532721978	spondyloarthropathy	http://www.ebi.ac.uk/efo/EFO_0000706	0.462328918	spondylitis	http://purl.obolibrary.org/obo/MONDO_0003937	0.442693811							
Spread type: Other type of spread/margarine	chronic widespread pain	http://www.ebi.ac.uk/efo/EFO_0010099	0.36755124	Zlotogora-Ogur syndrome	http://www.orpha.net/ORDO/Orphanet_3253	0.357374446	cell type	http://www.ebi.ac.uk/efo/EFO_0000324	0.346746166							
SSC-A on CD14+ monocyte	systemic scleroderma	http://www.ebi.ac.uk/efo/EFO_0000717	0.569205113	monocyte count	http://www.ebi.ac.uk/efo/EFO_0005091	0.464220283	monocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007989	0.403050488							
Suprabasin	Suprabasal epidermolysis bullosa simplex	http://www.orpha.net/ORDO/Orphanet_158661	0.484613164	central nervous system cyst	http://www.ebi.ac.uk/efo/EFO_0003760	0.37893018	supratentorial cancer	http://purl.obolibrary.org/obo/MONDO_0002071	0.361863827							
Surgery/amputation of toe or leg	amputation	http://www.ebi.ac.uk/efo/EFO_0009632	0.610052213	surgery on leg artery	http://www.ebi.ac.uk/efo/EFO_0009729	0.534025935	Terminal transverse defects of arm	http://www.orpha.net/ORDO/Orphanet_93937	0.437438231							
Target heart rate achieved	achievement of target heart rate, self-reported	http://www.ebi.ac.uk/efo/EFO_0009823	0.649300017	heart rate	http://www.ebi.ac.uk/efo/EFO_0004326	0.529957871	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	0.415451085							
Teratocarcinoma-derived growth factor 1	teratocarcinoma-derived growth factor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008297	0.800719847	ovarian teratoma	http://www.ebi.ac.uk/efo/EFO_0006463	0.508034774	hepatocyte growth factor	http://www.ebi.ac.uk/efo/EFO_0003303	0.503915965							
Thrombopoietin Receptor	thrombopoietin	http://www.ebi.ac.uk/efo/EFO_0003236	0.857098811	erythropoietin	http://www.ebi.ac.uk/efo/EFO_0003233	0.521451952	angiopoietin-1 receptor measurement	http://www.ebi.ac.uk/efo/EFO_0010600	0.515734788							
Time to complete round	complete hydatidiform mole	http://purl.obolibrary.org/obo/MONDO_0016785	0.500778987	time	http://www.ebi.ac.uk/efo/EFO_0000721	0.478514887	Achromatopsia	http://www.orpha.net/ORDO/Orphanet_49382	0.477582212							
Toxic effects of substances chiefly nonmedicinal as to source	heavy metal poisoning	http://www.ebi.ac.uk/efo/EFO_1001518	0.346640753	ciguatera poisoning	http://www.ebi.ac.uk/efo/EFO_1001291	0.31435083	substance dependence	http://purl.obolibrary.org/obo/MONDO_0004938	0.282163825							
Treatment/medication code: co-dydramol	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	0.43763728	treatment protocol	http://www.ebi.ac.uk/efo/EFO_0003969	0.373755188	clinical treatment protocol	http://www.ebi.ac.uk/efo/EFO_0000355	0.365932227							
Tumor necrosis factor-inducible gene 6 protein	tumor necrosis factor-inducible gene 6 protein measurement	http://www.ebi.ac.uk/efo/EFO_0008311	0.832064441	tumor necrosis factor measurement	http://www.ebi.ac.uk/efo/EFO_0010834	0.561746199	tumor necrosis factor beta measurement	http://www.ebi.ac.uk/efo/EFO_0008308	0.512953979							
Types of physical activity in last 4 weeks: Other exercises (eg: swimming  cycling  keep fit  bowling)	physical activity	http://www.ebi.ac.uk/efo/EFO_0003940	0.572368139	physical activity measurement	http://www.ebi.ac.uk/efo/EFO_0008002	0.475098989	exercise	http://www.ebi.ac.uk/efo/EFO_0000483	0.463762385							
Types of spreads/sauces consumed: Hummus	Humeral agenesis/hypoplasia	http://www.orpha.net/ORDO/Orphanet_294973	0.251861786	humerus fracture	http://www.ebi.ac.uk/efo/EFO_0003943	0.243116338	Bowed humerus	http://purl.obolibrary.org/obo/HP_0003865	0.23565107							
Unequal limb length (acquired)	axial length measurement	http://www.ebi.ac.uk/efo/EFO_0005318	0.485602817	infant body height	http://www.ebi.ac.uk/efo/EFO_0006785	0.477665543	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	0.461424574							
Uroplakin-3b-like protein	Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	0.408974927	malacoplakia	http://www.ebi.ac.uk/efo/EFO_1001807	0.386083286	erythroplasia	http://www.ebi.ac.uk/efo/EFO_1001786	0.355569005							
Vitamin E	vitamin E measurement	http://www.ebi.ac.uk/efo/EFO_0004867	0.753329654	vitamin D deficiency	http://www.ebi.ac.uk/efo/EFO_0003762	0.659875175	Ataxia with vitamin E deficiency	http://www.orpha.net/ORDO/Orphanet_96	0.648226274							
