OpenGWAS.Trait	Tool.Mapping..1	Identifier1	Score1	Tool.Mapping..2	Identifier2	Score2	Tool.Mapping..3	Identifier3	Score3	mapper1	mapper2	exact mapping	broad mapping	narrow mapping	incorrect	Exact	non-EFO	comments
Alcohol dehydrogenase [NADP(+)]	alcohol dehydrogenase [NADP+] measurement	http://www.ebi.ac.uk/efo/EFO_0008017	0.614496279	Glycogen storage disease due to lactate dehydrogenase M-subunit deficiency	http://www.orpha.net/ORDO/Orphanet_284426	0.569774376	Glycogen storage disease due to lactate dehydrogenase H-subunit deficiency	http://www.orpha.net/ORDO/Orphanet_284435	0.566400721	Ryan Langdon	Maria Sobczyk-Barad							
Alcohol usually taken with meals	alcohol use disorder measurement	http://www.ebi.ac.uk/efo/EFO_0009458	0.4344467	alcohol dependence	http://www.ebi.ac.uk/efo/EFO_0003829	0.39420846	alcohol withdrawal	http://www.ebi.ac.uk/efo/EFO_0004777	0.384788397	Ryan Langdon	Maria Sobczyk-Barad							
Alpha-(1,3)-fucosyltransferase 9	ALG6-CDG	http://www.orpha.net/ORDO/Orphanet_79320	0.621770301	ALG8-CDG	http://www.orpha.net/ORDO/Orphanet_79325	0.620963068	ALG1-CDG	http://www.orpha.net/ORDO/Orphanet_79327	0.536494407	Samuel Neaves	Rebecca Carnegie							
Alpha-2-HS-glycoprotein	Glycoproteinosis	http://www.orpha.net/ORDO/Orphanet_309279	0.606363106	glycoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004555	0.550710394	Bleeding diathesis due to glycoprotein VI deficiency	http://www.orpha.net/ORDO/Orphanet_98885	0.511985702	Zak Thornton	Marina Vabistsevits							
Alzheimer<c3><95>s disease (undefined)	Alzheimer's disease	http://www.ebi.ac.uk/efo/EFO_0000249	0.79297645	familial Alzheimer disease	http://purl.obolibrary.org/obo/MONDO_0100087	0.694221509	Early-onset autosomal dominant Alzheimer disease	http://www.orpha.net/ORDO/Orphanet_1020	0.694221509	Samuel Neaves	Rebecca Carnegie							
Amyotrophic lateral sclerosis	amyotrophic lateral sclerosis	http://www.ebi.ac.uk/efo/EFO_0000253	0.993856003	Amyotrophic lateral sclerosis type 4	http://www.orpha.net/ORDO/Orphanet_357043	0.961108445	familial amyotrophic lateral sclerosis	http://www.ebi.ac.uk/efo/EFO_0001356	0.891806441	Zak Thornton	Marina Vabistsevits							
Angiopoietin-related protein 3	angiopoietin-2 measurement	http://www.ebi.ac.uk/efo/EFO_0006901	0.544895221	angiopoietin-1 receptor measurement	http://www.ebi.ac.uk/efo/EFO_0010600	0.509414868	angiopoietin-2 receptor measurement	http://www.ebi.ac.uk/efo/EFO_0006902	0.503091007	Benjamin Woolf	Giulio Centorame							
Anti-Epstein-Barr virus viral capsid antigen (VCA) IgG levels	Epstein Barr viral capsid antigen IgG measurement	http://www.ebi.ac.uk/efo/EFO_0009274	0.803311504	Epstein Barr viral capsid antigen seropositivity	http://www.ebi.ac.uk/efo/EFO_0009272	0.704648396	Epstein Barr virus nuclear antigen 1 IgG measurement	http://www.ebi.ac.uk/efo/EFO_0007790	0.659374213	Ryan Langdon	Maria Sobczyk-Barad							
Anti-mumps virus IgG levels	Anti-mumps virus IgG measurement	http://www.ebi.ac.uk/efo/EFO_0009356	0.672467499	Mumps virus infectious disease	http://www.ebi.ac.uk/efo/EFO_0007383	0.580553966	Mumps virus seropositivity	http://www.ebi.ac.uk/efo/EFO_0009343	0.537509927	Samuel Neaves	Rebecca Carnegie							
Apo D	GAPO syndrome	http://www.orpha.net/ORDO/Orphanet_2067	0.470603549	CLAPO syndrome	http://www.orpha.net/ORDO/Orphanet_168984	0.469709443	SPO	http://www.ebi.ac.uk/efo/EFO_0007033	0.458734385	Samuel Neaves	Rebecca Carnegie							
Apple intake	Atresia of small intestine	http://www.orpha.net/ORDO/Orphanet_1201	0.493199643	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.46066416	fat intake measurement	http://www.ebi.ac.uk/efo/EFO_0010809	0.406641778	Ryan Langdon	Maria Sobczyk-Barad							
Arm predicted mass (right)	classifier prediction	http://www.ebi.ac.uk/efo/EFO_0000347	0.402821019	MASS syndrome	http://purl.obolibrary.org/obo/MONDO_0011431	0.36037373	tumor mass	http://www.ebi.ac.uk/efo/EFO_0007062	0.359556057	Ryan Langdon	Maria Sobczyk-Barad							
Arrestin domain-containing protein 3	CUB domain containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.646478433	OCIA domain-containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008252	0.603310123	thioredoxin domain-containing protein 12 measurement	http://www.ebi.ac.uk/efo/EFO_0008298	0.545166159	Samuel Neaves	Rebecca Carnegie							
Asialoglycoprotein receptor 1	Glycoproteinosis	http://www.orpha.net/ORDO/Orphanet_309279	0.510793427	glycoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004555	0.465418527	Bleeding diathesis due to glycoprotein VI deficiency	http://www.orpha.net/ORDO/Orphanet_98885	0.432691364	Ryan Langdon	Maria Sobczyk-Barad							
B-cell antigen receptor complex-associated protein beta chain	AIDS dementia	http://www.ebi.ac.uk/efo/EFO_0002608	0.445945712	complex vascular malformation with associated anomalies	http://purl.obolibrary.org/obo/MONDO_0016235	0.393650313	Tumor necrosis factor receptor 1 associated periodic syndrome	http://www.orpha.net/ORDO/Orphanet_32960	0.382383108	Ryan Langdon	Maria Sobczyk-Barad							
Bacterial meningitis	bacterial meningitis	http://www.ebi.ac.uk/efo/EFO_1000831	0.994167544	infectious meningitis	http://www.ebi.ac.uk/efo/EFO_0000584	0.721334239	meningitis (disease)	http://purl.obolibrary.org/obo/MONDO_0021108	0.721334239	Benjamin Woolf	Giulio Centorame							
BAFF-R on IgD+ CD38- B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.308363401	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0001640	0.306894021	Hypertrichosis-acromegaloid facial appearance syndrome	http://www.orpha.net/ORDO/Orphanet_966	0.287010627	Ryan Langdon	Maria Sobczyk-Barad							
BAFF-R on IgD+ CD38+ B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.308363401	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0001640	0.306894021	Hypertrichosis-acromegaloid facial appearance syndrome	http://www.orpha.net/ORDO/Orphanet_966	0.287010627	Benjamin Woolf	Giulio Centorame							
BAFF-R on IgD+ CD38dim B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.269082709	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0001640	0.267800505	Hypertrichosis-acromegaloid facial appearance syndrome	http://www.orpha.net/ORDO/Orphanet_966	0.250449946	Benjamin Woolf	Giulio Centorame							
Benign mammary dysplasia	breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	0.877887233	dysplasia	http://www.ebi.ac.uk/efo/EFO_0008501	0.694649122	Bent bone dysplasia	http://www.orpha.net/ORDO/Orphanet_93439	0.579120207	Benjamin Woolf	Giulio Centorame							
Benign neoplasm of breast (all cancers excluded)	breast benign neoplasm	http://purl.obolibrary.org/obo/MONDO_0000620	0.990692775	benign neoplasm	http://www.ebi.ac.uk/efo/EFO_0002422	0.81437562	breast neoplasm	http://www.ebi.ac.uk/efo/EFO_0003869	0.81145474	Samuel Neaves	Rebecca Carnegie							
Benign neoplasm: Ascending colon (all cancers excluded)	benign colon neoplasm	http://purl.obolibrary.org/obo/MONDO_0002278	0.795060763	benign neoplasm	http://www.ebi.ac.uk/efo/EFO_0002422	0.677049317	Ascending Colon Neuroendocrine Tumor G1	http://www.ebi.ac.uk/efo/EFO_1000094	0.640788259	Zak Thornton	Marina Vabistsevits							
Beta-1,4-galactosyltransferase 7	Ehlers-Danlos syndrome, progeroid type	http://www.orpha.net/ORDO/Orphanet_75496	0.758111046	B4GALT1-CDG	http://www.orpha.net/ORDO/Orphanet_79332	0.629327535	ALG1-CDG	http://www.orpha.net/ORDO/Orphanet_79327	0.555443398	Ryan Langdon	Maria Sobczyk-Barad							
Beta-defensin 113	insulinoma	http://www.ebi.ac.uk/efo/EFO_0000549	0.308307211	Hereditary central diabetes insipidus	http://www.orpha.net/ORDO/Orphanet_30925	0.261768496	interferon beta	http://www.ebi.ac.uk/efo/EFO_0003023	0.261309598	Samuel Neaves	Rebecca Carnegie							
Bilirubin (E,Z or Z,E)*	bilirubin measurement	http://www.ebi.ac.uk/efo/EFO_0004570	0.796372834	kernicterus	http://www.ebi.ac.uk/efo/EFO_1001002	0.725931738	bilirubin metabolism disease	http://purl.obolibrary.org/obo/MONDO_0024431	0.697159919	Samuel Neaves	Rebecca Carnegie							
Bilirubin (Z,Z)	bilirubin measurement	http://www.ebi.ac.uk/efo/EFO_0004570	0.796372834	kernicterus	http://www.ebi.ac.uk/efo/EFO_1001002	0.725931738	bilirubin metabolism disease	http://purl.obolibrary.org/obo/MONDO_0024431	0.697159919	Ryan Langdon	Maria Sobczyk-Barad							
Blindness, monocular	Blindness	http://purl.obolibrary.org/obo/HP_0000618	0.732348358	Color-vision disease	http://www.orpha.net/ORDO/Orphanet_98658	0.622071314	ocular onchocerciasis	http://www.ebi.ac.uk/efo/EFO_0007398	0.60281958	Samuel Neaves	Rebecca Carnegie							
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	emphysema	http://www.ebi.ac.uk/efo/EFO_0000464	0.41491406	dermatitis	http://purl.obolibrary.org/obo/MONDO_0002406	0.379408091	atopic eczema	http://www.ebi.ac.uk/efo/EFO_0000274	0.379408091	Zak Thornton	Marina Vabistsevits							
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT)	thrombotic disease	http://purl.obolibrary.org/obo/MONDO_0000831	0.574938342	Thromboembolism	http://purl.obolibrary.org/obo/HP_0001907	0.479574889	Abnormal thrombosis	http://purl.obolibrary.org/obo/HP_0001977	0.475790656	Benjamin Woolf	Giulio Centorame							
Bullous disorders	disease	http://www.ebi.ac.uk/efo/EFO_0000408	0.605529656	bullous pemphigoid	http://www.ebi.ac.uk/efo/EFO_0007187	0.584656611	Epidermolytic ichthyosis	http://www.orpha.net/ORDO/Orphanet_312	0.505132888	Zak Thornton	Marina Vabistsevits							
C-C motif chemokine 14	C-C motif chemokine 14 measurement	http://www.ebi.ac.uk/efo/EFO_0008042	0.678740745	CCL13 measurement	http://www.ebi.ac.uk/efo/EFO_0009411	0.59841905	CCL17 measurement	http://www.ebi.ac.uk/efo/EFO_0009414	0.597826265	Benjamin Woolf	Giulio Centorame							
C-C motif chemokine 17	CCL17 measurement	http://www.ebi.ac.uk/efo/EFO_0009414	0.714719312	C-C motif chemokine 17 measurement	http://www.ebi.ac.uk/efo/EFO_0008045	0.680118897	CCL13 measurement	http://www.ebi.ac.uk/efo/EFO_0009411	0.591572905	Benjamin Woolf	Giulio Centorame							
C-glycosyltryptophan*	tryptophan measurement	http://www.ebi.ac.uk/efo/EFO_0008534	0.55272302	Hypertryptophanemia	http://www.orpha.net/ORDO/Orphanet_2224	0.507240346	Disorder of tryptophan metabolism	http://www.orpha.net/ORDO/Orphanet_289829	0.472797714	Benjamin Woolf	Giulio Centorame							
C-X-C motif chemokine 14	C-C motif chemokine 14 measurement	http://www.ebi.ac.uk/efo/EFO_0008042	0.661543997	CCL13 measurement	http://www.ebi.ac.uk/efo/EFO_0009411	0.583257353	CCL17 measurement	http://www.ebi.ac.uk/efo/EFO_0009414	0.582679588	Benjamin Woolf	Giulio Centorame							
CAMK1	TMK1	http://www.ebi.ac.uk/efo/EFO_0002867	0.506137817	acute megakaryoblastic leukaemia	http://www.ebi.ac.uk/efo/EFO_0003025	0.293802006	cerebrofacial arteriovenous metameric syndrome	http://purl.obolibrary.org/obo/MONDO_0015405	0.279511271	Ryan Langdon	Maria Sobczyk-Barad							
cAMP-dependent protein kinase catalytic subunit alpha	interleukin 5 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008186	0.368889016	interleukin 6 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008187	0.368138175	interleukin 7 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008190	0.367730896	Samuel Neaves	Rebecca Carnegie							
Cancer code  self-reported: breast cancer	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	0.72709686	cancer	http://www.ebi.ac.uk/efo/EFO_0000311	0.67443422	male breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0006861	0.629779389	Ryan Langdon	Maria Sobczyk-Barad							
Carbonic anhydrase III	carbonic anhydrase 2	http://www.ebi.ac.uk/efo/EFO_0010161	0.856114786	Osteopetrosis with renal tubular acidosis	http://www.orpha.net/ORDO/Orphanet_2785	0.848919091	carbonic anhydrase 6 measurement	http://www.ebi.ac.uk/efo/EFO_0008068	0.73829093	Zak Thornton	Marina Vabistsevits							
Carbonic Anhydrase IV	carbonic anhydrase 2	http://www.ebi.ac.uk/efo/EFO_0010161	0.851925593	Osteopetrosis with renal tubular acidosis	http://www.orpha.net/ORDO/Orphanet_2785	0.755687214	carbonic anhydrase 6 measurement	http://www.ebi.ac.uk/efo/EFO_0008068	0.73467828	Ryan Langdon	Maria Sobczyk-Barad							
Carcinoembryonic antigen-related cell adhesion molecule 21	serum carcinoembryonic antigen measurement	http://www.ebi.ac.uk/efo/EFO_0005760	0.595796185	adhesion factor	http://www.ebi.ac.uk/efo/EFO_0004521	0.521222505	embryonal carcinoma cell	http://www.ebi.ac.uk/efo/EFO_0004987	0.493911854	Zak Thornton	Marina Vabistsevits							
Carcinoma in situ of uteri, other/unspecified	uterus carcinoma in situ	http://purl.obolibrary.org/obo/MONDO_0004710	0.667948844	in situ carcinoma	http://purl.obolibrary.org/obo/MONDO_0004647	0.652904573	carcinoma	http://www.ebi.ac.uk/efo/EFO_0000313	0.602150052	Benjamin Woolf	Giulio Centorame							
CCR2 on CD14- CD16-	autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity	http://purl.obolibrary.org/obo/MONDO_0014313	0.512969076	CD1 mus strain	http://www.ebi.ac.uk/efo/EFO_0005180	0.308948926	Familial dilated cardiomyopathy with conduction defect due to LMNA mutation	http://www.orpha.net/ORDO/Orphanet_300751	0.304123505	Benjamin Woolf	Giulio Centorame							
CD14 on Monocytic Myeloid-Derived Suppressor Cells	Myeloid Progenitor Cell Count	http://www.ebi.ac.uk/efo/EFO_0009242	0.459894453	myelosuppression	http://www.ebi.ac.uk/efo/EFO_0007053	0.435622447	myeloid neoplasm	http://www.ebi.ac.uk/efo/EFO_0002427	0.415161329	Benjamin Woolf	Giulio Centorame							
CD16 on CD14+ CD16+ monocyte	autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity	http://purl.obolibrary.org/obo/MONDO_0014313	0.671380236	CD1 mus strain	http://www.ebi.ac.uk/efo/EFO_0005180	0.35279764	Familial dilated cardiomyopathy with conduction defect due to LMNA mutation	http://www.orpha.net/ORDO/Orphanet_300751	0.347287354	Zak Thornton	Marina Vabistsevits							
CD19 on IgD+ CD38dim B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.276178467	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0001640	0.274862451	cell type	http://www.ebi.ac.uk/efo/EFO_0000324	0.242437719	Samuel Neaves	Rebecca Carnegie							
CD20 on IgD- CD27- B cell	Autosomal recessive lymphoproliferative disease	http://www.orpha.net/ORDO/Orphanet_238505	0.558648218	CD27 antigen measurement	http://www.ebi.ac.uk/efo/EFO_0008078	0.462947183	CD209 antigen measurement	http://www.ebi.ac.uk/efo/EFO_0008077	0.347349293	Ryan Langdon	Maria Sobczyk-Barad							
CD25 on activated CD4 regulatory T cell	CCL5 measurement	http://www.ebi.ac.uk/efo/EFO_0005117	0.485927577	CCL17 measurement	http://www.ebi.ac.uk/efo/EFO_0009414	0.392633627	Mastocytosis	http://www.ebi.ac.uk/efo/EFO_0009001	0.38099005	Zak Thornton	Marina Vabistsevits							
CD25++ CD8+ T cell %CD8+ T cell	T-Cell Prolymphocytic Leukemia	http://www.ebi.ac.uk/efo/EFO_1000560	0.473924332	Susceptibility to respiratory infections associated with CD8alpha chain mutation	http://www.orpha.net/ORDO/Orphanet_169085	0.441457904	T-cell non-Hodgkin lymphoma	http://purl.obolibrary.org/obo/MONDO_0015760	0.415852601	Zak Thornton	Marina Vabistsevits							
CD27 on CD4 T	Autosomal recessive lymphoproliferative disease	http://www.orpha.net/ORDO/Orphanet_238505	0.650861544	CD27 antigen measurement	http://www.ebi.ac.uk/efo/EFO_0008078	0.539363608	CD40 measurement	http://www.ebi.ac.uk/efo/EFO_0010586	0.370620933	Zak Thornton	Marina Vabistsevits							
CD28 on CD28+ CD45RA+ CD8+ T cell	anti-CD28	http://www.ebi.ac.uk/efo/EFO_0003304	0.45566025	ADNP-related multiple congenital anomalies-intellectual disability-autism spectrum disorder	http://www.orpha.net/ORDO/Orphanet_404448	0.338853057	T-B+ severe combined immunodeficiency due to CD45 deficiency	http://www.orpha.net/ORDO/Orphanet_169157	0.323477399	Samuel Neaves	Rebecca Carnegie							
CD32 on mDC	Congenital muscular dystrophy	http://www.orpha.net/ORDO/Orphanet_97242	0.704721723	mild disease course	http://www.ebi.ac.uk/efo/EFO_0006819	0.704721723	ML-DmD32	http://www.ebi.ac.uk/efo/EFO_0005830	0.461831704	Samuel Neaves	Rebecca Carnegie							
CD4-CD8- T cell Absolute Count	Plasma Cell Count	http://www.ebi.ac.uk/efo/EFO_0009248	0.42633198	leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	0.407571031	complete blood cell count	http://www.ebi.ac.uk/efo/EFO_0004586	0.390646898	everyone	NA							
CD4:%TM (1)	targeted mutation	http://www.ebi.ac.uk/efo/EFO_0004019	0.804592191	X-linked centronuclear myopathy	http://www.orpha.net/ORDO/Orphanet_596	0.359249781	ITM	http://www.ebi.ac.uk/efo/EFO_0002061	0.35855991	Ryan Langdon	Maria Sobczyk-Barad							
Cereal type: Bran cereal (e.g. All Bran, Branflakes)	X-linked creatine transporter deficiency	http://www.orpha.net/ORDO/Orphanet_52503	0.391337241	Guanidinoacetate methyltransferase deficiency	http://www.orpha.net/ORDO/Orphanet_382	0.390701956	Arginine:glycine amidinotransferase deficiency	http://www.orpha.net/ORDO/Orphanet_35704	0.388760076	Zak Thornton	Marina Vabistsevits							
Cerebrovascular diseases	cerebrovascular disorder	http://www.ebi.ac.uk/efo/EFO_0003763	0.96051066	Genetic cerebrovascular dementia	http://www.orpha.net/ORDO/Orphanet_371439	0.746523262	cerebral small vessel disease	http://www.ebi.ac.uk/efo/EFO_0008493	0.731473791	Ryan Langdon	Maria Sobczyk-Barad							
Chronic gingivitis	gingivitis	http://purl.obolibrary.org/obo/MONDO_0002508	0.808397959	Chronic	http://purl.obolibrary.org/obo/HP_0011010	0.57936666	Chronic colitis	http://purl.obolibrary.org/obo/HP_0100281	0.549127065	Benjamin Woolf	Giulio Centorame							
Coagulation Factor IX	coagulation protein disease	http://purl.obolibrary.org/obo/MONDO_0002242	0.740374692	coagulation factor measurement	http://www.ebi.ac.uk/efo/EFO_0004634	0.725623377	protein C measurement	http://www.ebi.ac.uk/efo/EFO_0004633	0.688729658	Zak Thornton	Marina Vabistsevits							
Collectin-11	urine collection	http://www.ebi.ac.uk/efo/EFO_0009123	0.590650962	collection of material	http://www.ebi.ac.uk/efo/EFO_0005066	0.566870945	collectin-11 measurement	http://www.ebi.ac.uk/efo/EFO_0008088	0.56654748	Samuel Neaves	Rebecca Carnegie							
Colorectal cancer (all cancers excluded)	colorectal carcinoma	http://www.ebi.ac.uk/efo/EFO_1001951	0.99615408	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	0.99615408	familial colorectal cancer	http://purl.obolibrary.org/obo/MONDO_0023113	0.832790363	Samuel Neaves	Rebecca Carnegie							
Complement C1q tumor necrosis factor-related protein 1	tumor necrosis factor measurement	http://www.ebi.ac.uk/efo/EFO_0010834	0.612259258	tumor necrosis factor receptor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010931	0.577669838	complement factor H-related protein 5 measurement	http://www.ebi.ac.uk/efo/EFO_0008098	0.562537537	Zak Thornton	Marina Vabistsevits							
Complement C1q tumor necrosis factor-related protein 3	tumor necrosis factor measurement	http://www.ebi.ac.uk/efo/EFO_0010834	0.610292927	complement factor H-related protein 5 measurement	http://www.ebi.ac.uk/efo/EFO_0008098	0.560730893	tumor necrosis factor beta measurement	http://www.ebi.ac.uk/efo/EFO_0008308	0.557284029	Samuel Neaves	Rebecca Carnegie							
Concentration of chylomicrons and extremely large VLDL particles	chylomicron measurement	http://www.ebi.ac.uk/efo/EFO_0008596	0.477605578	Chylomicron retention disease	http://www.orpha.net/ORDO/Orphanet_71	0.419415851	very low density lipoprotein particle size measurement	http://www.ebi.ac.uk/efo/EFO_0008594	0.382203833	Samuel Neaves	Rebecca Carnegie							
Constipation	constipation disorder	http://purl.obolibrary.org/obo/MONDO_0002203	0.995420495	Constipation	http://purl.obolibrary.org/obo/HP_0002019	0.995420495	Chronic constipation	http://purl.obolibrary.org/obo/HP_0012450	0.809881435	Benjamin Woolf	Giulio Centorame							
Contactin-associated protein 1	VACTERL/VATER association	http://www.orpha.net/ORDO/Orphanet_887	0.499528651	virus associated tumor	http://purl.obolibrary.org/obo/MONDO_0017341	0.495724318	death-associated protein kinase 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008107	0.484447894	Zak Thornton	Marina Vabistsevits							
Corneal ulcer	ulcer disease	http://purl.obolibrary.org/obo/MONDO_0043839	0.652144071	corneal disease	http://www.ebi.ac.uk/efo/EFO_0009464	0.635038172	cornea neoplasm	http://purl.obolibrary.org/obo/MONDO_0021238	0.626665091	Zak Thornton	Marina Vabistsevits							
Corneodesmosin	Desmosterolosis	http://www.orpha.net/ORDO/Orphanet_35107	0.444854177	cornea neoplasm	http://purl.obolibrary.org/obo/MONDO_0021238	0.353273067	desmoid tumor	http://purl.obolibrary.org/obo/MONDO_0007608	0.351458688	Ryan Langdon	Maria Sobczyk-Barad							
Crossbite	Oculocerebral hypopigmentation syndrome, Cross type	http://www.orpha.net/ORDO/Orphanet_2719	0.406254934	Strabismus	http://purl.obolibrary.org/obo/HP_0000486	0.289026675	cross sectional design	http://www.ebi.ac.uk/efo/EFO_0001428	0.280996469	Zak Thornton	Marina Vabistsevits							
Cysteine and glycine-rich protein 2	Pyruvate dehydrogenase E3-binding protein deficiency	http://www.orpha.net/ORDO/Orphanet_255182	0.485174348	Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	0.48013457	glycine measurement	http://www.ebi.ac.uk/efo/EFO_0009767	0.433409425	Benjamin Woolf	Giulio Centorame							
Cysteine-rich hydrophobic domain-containing protein 2	CUB domain containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.501438698	OCIA domain-containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008252	0.479025793	thioredoxin domain-containing protein 12 measurement	http://www.ebi.ac.uk/efo/EFO_0008298	0.42314721	Samuel Neaves	Rebecca Carnegie							
DCN1-like protein 5	SPARC-like protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008289	0.33853915	lipoprotein	http://www.ebi.ac.uk/efo/EFO_0003836	0.321120999	Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	0.318193292	Ryan Langdon	Maria Sobczyk-Barad							
Dendritic Cell Absolute Count	dendritic cell tumor	http://purl.obolibrary.org/obo/MONDO_0020082	0.579471633	dendritic cell sarcoma	http://purl.obolibrary.org/obo/MONDO_0004380	0.532572512	thymoma type B	http://purl.obolibrary.org/obo/MONDO_0016974	0.490618778	Ryan Langdon	Maria Sobczyk-Barad							
Desmin	Desminopathy	http://www.orpha.net/ORDO/Orphanet_98909	0.744425028	desmoid tumor	http://purl.obolibrary.org/obo/MONDO_0007608	0.466379681	Desmoid-type fibromatosis	http://www.ebi.ac.uk/efo/EFO_0009907	0.466379681	Samuel Neaves	Rebecca Carnegie							
