EFO_url	EFO_value	cosine_distance	GWAS_trait	GWAS_ID
http://www.ebi.ac.uk/efo/EFO_0000614	narcolepsy with cataplexy	0.9060695999999999	Narcolepsy	ebi-a-GCST005522
http://www.ebi.ac.uk/efo/EFO_0005855	narcolepsy without cataplexy	0.8636345000000001	Narcolepsy	ebi-a-GCST005522
http://www.ebi.ac.uk/efo/EFO_0008309	tumor necrosis factor receptor superfamily member 19L measurement	0.7994981000000001	Tumor necrosis factor ligand superfamily member 12	prot-a-3055
http://www.ebi.ac.uk/efo/EFO_0008310	tumor necrosis factor receptor superfamily member EDAR measurement	0.7934958000000001	Tumor necrosis factor ligand superfamily member 12	prot-a-3055
http://www.ebi.ac.uk/efo/EFO_0009959	diverticular disease	0.7962239	Non-cancer illness code  self-reported: diverticular disease/diverticulitis	ukb-a-102
http://www.ebi.ac.uk/efo/EFO_0008281	serine/threonine-protein kinase 17B measurement	0.7171947999999999	Serine/threonine-protein kinase VRK1	prot-a-3206
http://purl.obolibrary.org/obo/HP_0012378	fatigue	0.810376	Diagnoses - secondary ICD10: R53 Malaise and fatigue	ukb-b-11972
http://www.ebi.ac.uk/efo/EFO_0009641	malaise	0.8098794	Diagnoses - secondary ICD10: R53 Malaise and fatigue	ukb-b-11972
http://purl.obolibrary.org/obo/UBERON_0002336	corpus callosum	0.7534764	IDP dMRI TBSS MD Splenium of corpus callosum	ubm-a-248
http://purl.obolibrary.org/obo/HP_0007370	Aplasia/Hypoplasia of the corpus callosum	0.7534764	IDP dMRI TBSS MD Splenium of corpus callosum	ubm-a-248
http://purl.obolibrary.org/obo/HP_0001273	Abnormality of the corpus callosum	0.7169133000000001	IDP dMRI TBSS MD Splenium of corpus callosum	ubm-a-248
http://purl.obolibrary.org/obo/MONDO_0002050	depressive disorder	0.7165157	Non-cancer illness code, self-reported: mania/bipolar disorder/manic depression	ukb-b-6906
http://www.ebi.ac.uk/efo/EFO_0003761	unipolar depression	0.701004	Non-cancer illness code, self-reported: mania/bipolar disorder/manic depression	ukb-b-6906
http://purl.obolibrary.org/obo/CHEBI_36080	protein	0.9428805	Protein S100-A12	prot-a-2615
http://purl.obolibrary.org/obo/CHEBI_8551	Protein N6,N6,N6-trimethyl-L-lysine	0.9428805	Protein S100-A12	prot-a-2615
http://www.ebi.ac.uk/efo/EFO_0008094	complement component C8 measurement	0.7451017	Complement component C6	prot-a-318
http://www.ebi.ac.uk/efo/EFO_0004343	waist-hip ratio	0.7752124	Waist-to-hip ratio	ieu-a-79
http://www.ebi.ac.uk/efo/EFO_0007788	BMI-adjusted waist-hip ratio	0.7221397	Waist-to-hip ratio	ieu-a-79
http://purl.obolibrary.org/obo/CHEBI_36080	protein	0.9276686000000001	Protein FAM3B	prot-a-1050
http://purl.obolibrary.org/obo/CHEBI_8551	Protein N6,N6,N6-trimethyl-L-lysine	0.9276686000000001	Protein FAM3B	prot-a-1050
http://www.ebi.ac.uk/efo/EFO_0004614	apolipoprotein A 1 measurement	0.7650329	Apolipoprotein M	prot-a-136
http://www.ebi.ac.uk/efo/EFO_0008197	killer cell immunoglobulin-like receptor 2DL4 measurement	0.9407098	Killer cell immunoglobulin-like receptor 2DL2	prot-a-1640
http://purl.obolibrary.org/obo/CHEBI_47775	HDL cholesterol	1.0	HDL cholesterol	ebi-a-GCST005058
http://www.ebi.ac.uk/efo/EFO_0007805	HDL cholesterol change measurement	0.7266338999999999	HDL cholesterol	ebi-a-GCST005058
http://www.ebi.ac.uk/efo/EFO_0004195	LDL cholesterol	0.7219895999999999	HDL cholesterol	ebi-a-GCST005058
http://www.ebi.ac.uk/efo/EFO_0008229	melanoma-derived growth regulatory protein measurement	0.9035492	Melanoma-derived growth regulatory protein	prot-a-1896
http://www.ebi.ac.uk/efo/EFO_0004314	forced expiratory volume	0.9097459000000001	Forced expiratory volume in 1-second (FEV1)	ukb-a-337
http://www.ebi.ac.uk/efo/EFO_0005921	FEV change measurement	0.7066083999999999	Forced expiratory volume in 1-second (FEV1)	ukb-a-337
http://www.ebi.ac.uk/efo/EFO_0005094	P wave duration	1.0	P wave duration	ebi-a-GCST004826
http://www.ebi.ac.uk/efo/EFO_0001059	cataract	0.7743236	Diagnoses - main ICD10: H25 Senile cataract	ukb-a-529
http://www.orpha.net/ORDO/Orphanet_98990	Coralliform cataract	0.7543956	Diagnoses - main ICD10: H25 Senile cataract	ukb-a-529
http://www.orpha.net/ORDO/Orphanet_98984	Pulverulent cataract	0.7522506	Diagnoses - main ICD10: H25 Senile cataract	ukb-a-529
http://www.orpha.net/ORDO/Orphanet_98986	Coppock-like cataract	0.7484531000000001	Diagnoses - main ICD10: H25 Senile cataract	ukb-a-529
http://www.orpha.net/ORDO/Orphanet_98989	Cerulean cataract	0.7354537999999999	Diagnoses - main ICD10: H25 Senile cataract	ukb-a-529
http://purl.obolibrary.org/obo/HP_0011141	age-related cataract	0.7331555999999999	Diagnoses - main ICD10: H25 Senile cataract	ukb-a-529
http://purl.obolibrary.org/obo/CHEBI_30823	oleate	1.0	Oleate (18:1n9)	ieu-a-332
http://www.ebi.ac.uk/efo/EFO_0008188	interleukin 6 receptor subunit beta measurement	0.7597167	Interleukin-10 receptor subunit beta	prot-a-1465
http://www.ebi.ac.uk/efo/EFO_0008170	interleukin 12 receptor subunit beta-1 measurement	0.7026279	Interleukin-10 receptor subunit beta	prot-a-1465
http://www.ebi.ac.uk/efo/EFO_0009443	BRCAX breast cancer	0.7055739999999999	ER- Breast cancer (GWAS)	ieu-a-1137
http://purl.obolibrary.org/obo/CHEBI_23098	chiro-inositol	1.0	Chiro-inositol	ieu-a-745
http://www.ebi.ac.uk/efo/EFO_0004997	type 2 diabetes nephropathy	0.7880062000000001	Type 2 diabetes	ebi-a-GCST006867
http://www.ebi.ac.uk/efo/EFO_0007346	lipoatrophic diabetes	0.7029065000000001	Type 2 diabetes	ebi-a-GCST006867
http://www.ebi.ac.uk/efo/EFO_0008197	killer cell immunoglobulin-like receptor 2DL4 measurement	0.9346914	Killer cell immunoglobulin-like receptor 3DL3	prot-a-1647
http://www.ebi.ac.uk/efo/EFO_0002904	weight percent	0.7464466000000001	Weight	ukb-b-11842
http://www.ebi.ac.uk/efo/EFO_0004338	body weight	0.716666	Weight	ukb-b-11842
http://www.ebi.ac.uk/efo/EFO_0001715	volume	1.0	volume Right-vessel	ubm-a-2686
http://www.ebi.ac.uk/efo/EFO_0009405	parasubiculum volume	0.8419821000000001	volume Right-vessel	ubm-a-2686
http://www.ebi.ac.uk/efo/EFO_0009400	presubiculum volume	0.8350108999999999	volume Right-vessel	ubm-a-2686
http://purl.obolibrary.org/obo/UO_0000165	volume percent	0.7712281000000001	volume Right-vessel	ubm-a-2686
http://purl.obolibrary.org/obo/UO_0000095	volume unit	0.7580667000000001	volume Right-vessel	ubm-a-2686
http://www.ebi.ac.uk/efo/EFO_0009399	subiculum volume	0.7196298000000001	volume Right-vessel	ubm-a-2686
http://purl.obolibrary.org/obo/MONDO_0002247	factor X deficiency	0.7067015000000001	Coagulation Factor X	prot-a-1006
http://www.ebi.ac.uk/efo/EFO_0008087	coagulation factor V measurement	0.7030904	Coagulation Factor X	prot-a-1006
http://www.ebi.ac.uk/efo/EFO_0008289	SPARC-like protein 1 measurement	0.8147690000000001	Hephaestin-like protein 1	prot-a-1328
http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	1.0	Ulcerative colitis	ieu-a-972
http://www.ebi.ac.uk/efo/EFO_1000226	Dysplasia in Ulcerative Colitis	0.766051	Ulcerative colitis	ieu-a-972
http://www.ebi.ac.uk/efo/EFO_0003767	inflammatory bowel disease	0.7388207	Ulcerative colitis	ieu-a-972
http://purl.obolibrary.org/obo/CHEBI_5931	insulin	1.0	Medication for cholesterol  blood pressure or diabetes: Insulin	ukb-a-491
http://www.ebi.ac.uk/efo/EFO_0004467	insulin measurement	0.775641	Medication for cholesterol  blood pressure or diabetes: Insulin	ukb-a-491
http://www.ebi.ac.uk/efo/EFO_0008252	OCIA domain-containing protein 1 measurement	0.8512328	MANSC domain-containing protein 4	prot-a-1839
http://www.ebi.ac.uk/efo/EFO_0008298	thioredoxin domain-containing protein 12 measurement	0.7315898000000001	MANSC domain-containing protein 4	prot-a-1839
http://www.ebi.ac.uk/efo/EFO_0008003	heart rate variability measurement	0.7838444	Heart rate variability traits (SDNN)	ebi-a-GCST004734
http://purl.obolibrary.org/obo/HP_0031860	Abnormal heart rate variability	0.7640153000000001	Heart rate variability traits (SDNN)	ebi-a-GCST004734
http://purl.obolibrary.org/obo/MONDO_0002026	candidiasis	1.0	Diagnoses - main ICD10: B37 Candidiasis	ukb-a-517
http://purl.obolibrary.org/obo/MONDO_0042233	disseminated candidiasis	0.8537294	Diagnoses - main ICD10: B37 Candidiasis	ukb-a-517
http://purl.obolibrary.org/obo/MONDO_0000879	cutaneous candidiasis	0.8531879	Diagnoses - main ICD10: B37 Candidiasis	ukb-a-517
http://www.ebi.ac.uk/efo/EFO_0007406	oral candidiasis	0.814284	Diagnoses - main ICD10: B37 Candidiasis	ukb-a-517
http://www.ebi.ac.uk/efo/EFO_1001283	Candidiasis, Invasive	0.7810828999999999	Diagnoses - main ICD10: B37 Candidiasis	ukb-a-517
http://www.ebi.ac.uk/efo/EFO_0007543	vulvovaginal candidiasis	0.7596898000000001	Diagnoses - main ICD10: B37 Candidiasis	ukb-a-517
http://purl.obolibrary.org/obo/CL_0002032	hematopoietic oligopotent progenitor cell	0.7475196	Hematopoietic progenitor cell antigen CD34	prot-a-441
http://purl.obolibrary.org/obo/CL_0002353	fetal liver hematopoietic progenitor cell	0.7240313	Hematopoietic progenitor cell antigen CD34	prot-a-441
http://www.ebi.ac.uk/efo/EFO_0009821	seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported	0.9106364	Seen a psychiatrist for nerves  anxiety  tension or depression	ukb-a-247
http://www.ebi.ac.uk/efo/EFO_0009820	seeing a general practitioner for nerves, anxiety, tension or depression, self-reported	0.8210233	Seen a psychiatrist for nerves  anxiety  tension or depression	ukb-a-247
http://www.ebi.ac.uk/efo/EFO_0008256	peptidyl-prolyl cis-trans isomerase D measurement	0.9382343	Peptidyl-prolyl cis-trans isomerase A	prot-a-2339
http://www.ebi.ac.uk/efo/EFO_0008257	peptidyl-prolyl cis-trans isomerase E measurement	0.8872259	Peptidyl-prolyl cis-trans isomerase A	prot-a-2339
http://purl.obolibrary.org/obo/UBERON_0001052	rectum	0.7300788	Diagnoses - main ICD10: K62.5 Haemorrhage of anus and rectum	ukb-b-11582
http://www.ebi.ac.uk/efo/EFO_0004308	leukocyte count	0.7502726	White blood cell count	ebi-a-GCST004610
http://www.ebi.ac.uk/efo/EFO_0007988	myeloid white cell count	0.7443995000000001	White blood cell count	ebi-a-GCST004610
http://www.ebi.ac.uk/efo/EFO_0004586	complete blood cell count	0.7421390000000001	White blood cell count	ebi-a-GCST004610
http://purl.obolibrary.org/obo/HP_0002140	Ischemic stroke	0.8861667	Ischemic stroke (small-vessel)	ebi-a-GCST005841
http://www.ebi.ac.uk/efo/EFO_0000712	stroke	0.7149329	Ischemic stroke (small-vessel)	ebi-a-GCST005841
http://www.ebi.ac.uk/efo/EFO_0000400	diabetes mellitus	0.8114994	Non-cancer illness code  self-reported: diabetes	ukb-a-74
http://www.ebi.ac.uk/efo/EFO_0007346	lipoatrophic diabetes	0.7913489	Non-cancer illness code  self-reported: diabetes	ukb-a-74
http://www.orpha.net/ORDO/Orphanet_225	Maternally-inherited diabetes and deafness	0.7105771000000001	Non-cancer illness code  self-reported: diabetes	ukb-a-74
http://purl.obolibrary.org/obo/HP_0009800	Maternal diabetes	0.7068775	Non-cancer illness code  self-reported: diabetes	ukb-a-74
http://purl.obolibrary.org/obo/CHEBI_24621	hormone	0.7040363999999999	Pancreatic hormone	prot-a-2352
http://www.ebi.ac.uk/efo/EFO_0004337	intelligence	0.8458114000000001	Childhood intelligence	ieu-a-16
http://www.ebi.ac.uk/efo/EFO_0001715	volume	1.0	volume Right-choroid-plexus	ubm-a-2687
http://www.ebi.ac.uk/efo/EFO_0009405	parasubiculum volume	0.8419821000000001	volume Right-choroid-plexus	ubm-a-2687
http://www.ebi.ac.uk/efo/EFO_0009400	presubiculum volume	0.8350108999999999	volume Right-choroid-plexus	ubm-a-2687
http://purl.obolibrary.org/obo/UO_0000165	volume percent	0.7712281000000001	volume Right-choroid-plexus	ubm-a-2687
http://purl.obolibrary.org/obo/UO_0000095	volume unit	0.7580667000000001	volume Right-choroid-plexus	ubm-a-2687
http://www.ebi.ac.uk/efo/EFO_0009399	subiculum volume	0.7196298000000001	volume Right-choroid-plexus	ubm-a-2687
http://www.ebi.ac.uk/efo/EFO_0008328	chronotype measurement	0.7291288	Morning/evening person (chronotype)	ukb-b-4956
http://purl.obolibrary.org/obo/MONDO_0002050	depressive disorder	0.7165157	Non-cancer illness code  self-reported: mania/bipolar disorder/manic depression	ukb-a-83
http://www.ebi.ac.uk/efo/EFO_0003761	unipolar depression	0.701004	Non-cancer illness code  self-reported: mania/bipolar disorder/manic depression	ukb-a-83
http://www.ebi.ac.uk/efo/EFO_0007970	estrone measurement	0.7779856	Estrone 3-sulfate	ieu-a-403
http://www.ebi.ac.uk/efo/EFO_0007971	estrone conjugate measurement	0.721166	Estrone 3-sulfate	ieu-a-403
http://www.ebi.ac.uk/efo/EFO_0004614	apolipoprotein A 1 measurement	0.7650329	Apolipoprotein M	prot-a-137
http://purl.obolibrary.org/obo/CHEBI_36080	protein	0.9292830000000001	Protein G6b	prot-a-1160
http://purl.obolibrary.org/obo/CHEBI_8551	Protein N6,N6,N6-trimethyl-L-lysine	0.9292830000000001	Protein G6b	prot-a-1160
http://www.ebi.ac.uk/efo/EFO_0000217	gastritis	0.8929199999999999	Diagnoses - main ICD10: K29 Gastritis and duodenitis	ukb-a-547
http://www.ebi.ac.uk/efo/EFO_0000337	chronic gastritis	0.7769474999999999	Diagnoses - main ICD10: K29 Gastritis and duodenitis	ukb-a-547
http://www.ebi.ac.uk/efo/EFO_0008641	3’-end-seq	0.8886887000000001	NKeff:%Kir+ (4)	ieu-a-245
http://www.ebi.ac.uk/efo/EFO_0008647	5’-GRO-seq	0.8278793	NKeff:%Kir+ (4)	ieu-a-245
http://purl.obolibrary.org/obo/UBERON_0002100	trunk	0.7140036999999999	Operative procedures - secondary OPCS: Z49.3 Skin of anterior trunk	ukb-b-12913
http://www.ebi.ac.uk/efo/EFO_0008066	carbohydrate sulfotransferase 15 measurement	0.9226046999999999	Carbohydrate sulfotransferase 15	prot-a-553
http://www.ebi.ac.uk/efo/EFO_0004340	body mass index	1.0	Body mass index	ieu-a-835
http://www.ebi.ac.uk/efo/EFO_0005851	height-adjusted body mass index	0.961471	Body mass index	ieu-a-835
http://www.ebi.ac.uk/efo/EFO_0005935	overweight body mass index status	0.830697	Body mass index	ieu-a-835
http://www.ebi.ac.uk/efo/EFO_0007041	obese body mass index status	0.8068968000000001	Body mass index	ieu-a-835
http://www.ebi.ac.uk/efo/EFO_0005936	underweight body mass index status	0.7702861999999999	Body mass index	ieu-a-835
http://www.ebi.ac.uk/efo/EFO_0004343	waist-hip ratio	0.7752124	Waist-to-hip ratio	ieu-a-109
http://www.ebi.ac.uk/efo/EFO_0007788	BMI-adjusted waist-hip ratio	0.7221397	Waist-to-hip ratio	ieu-a-109
http://purl.obolibrary.org/obo/CHEBI_16199	urea	0.7760928	Urea levels	ebi-a-GCST005070
http://www.ebi.ac.uk/efo/EFO_0008197	killer cell immunoglobulin-like receptor 2DL4 measurement	0.9538279000000001	Killer cell immunoglobulin-like receptor 2DL4	prot-a-1641
http://www.ebi.ac.uk/efo/EFO_0008073	cathepsin S measurement	0.7346523	Cathepsin L2	prot-a-728
http://www.ebi.ac.uk/efo/EFO_0008285	sialic acid-binding Ig-like lectin 6 measurement	0.9592811000000001	Sialic acid-binding Ig-like lectin 12	prot-a-2726
http://www.ebi.ac.uk/efo/EFO_0008284	sialic acid-binding Ig-like lectin 14 measurement	0.943303	Sialic acid-binding Ig-like lectin 12	prot-a-2726
http://www.ebi.ac.uk/efo/EFO_0008286	sialic acid-binding Ig-like lectin 9 measurement	0.9061752999999999	Sialic acid-binding Ig-like lectin 12	prot-a-2726
http://purl.obolibrary.org/obo/CHEBI_58875	hyodeoxycholate	1.0	Hyodeoxycholate	ieu-a-447
http://www.ebi.ac.uk/efo/EFO_0008252	OCIA domain-containing protein 1 measurement	0.8725163	SCP2 sterol-binding domain-containing protein 1	prot-a-2654
http://www.ebi.ac.uk/efo/EFO_0008298	thioredoxin domain-containing protein 12 measurement	0.7184112	SCP2 sterol-binding domain-containing protein 1	prot-a-2654
http://www.ebi.ac.uk/efo/EFO_0007149	appendicitis	0.7441773	Diagnoses - main ICD10: K35.9 Acute appendicitis, unspecified	ukb-b-686
http://purl.obolibrary.org/obo/CHEBI_28044	phenylalanine	1.0	Phenylalanine	ieu-a-919
http://www.ebi.ac.uk/efo/EFO_0005001	phenylalanine measurement	0.7713243000000001	Phenylalanine	ieu-a-919
http://purl.obolibrary.org/obo/CHEBI_36080	protein	0.7524648	Protein RIC-3	prot-a-2544
http://purl.obolibrary.org/obo/CHEBI_8551	Protein N6,N6,N6-trimethyl-L-lysine	0.7524648	Protein RIC-3	prot-a-2544
http://purl.obolibrary.org/obo/CHEBI_64119	(S)-(-)-sulpiride	0.7033476000000001	X-11445--5-alpha-pregnan-3beta,20alpha-disulfate	ieu-a-517
http://www.ebi.ac.uk/efo/EFO_0008252	OCIA domain-containing protein 1 measurement	0.7351544000000001	PH and SEC7 domain-containing protein 2	prot-a-2399
http://www.ebi.ac.uk/efo/EFO_0009515	wrist fracture	0.762283	Diagnoses - main ICD10: S52 Fracture of forearm	ukb-a-590
http://www.ebi.ac.uk/efo/EFO_1001811	Monteggia's fracture	0.7295997999999999	Diagnoses - main ICD10: S52 Fracture of forearm	ukb-a-590
http://www.ebi.ac.uk/efo/EFO_0009514	upper extremity fracture	0.7157644999999999	Diagnoses - main ICD10: S52 Fracture of forearm	ukb-a-590
http://purl.obolibrary.org/obo/CHEBI_17268	myo-inositol	1.0	Myo-inositol	ieu-a-417
http://purl.obolibrary.org/obo/CHEBI_36080	protein	0.9631752	Dyslexia-associated protein KIAA0319-like protein	prot-a-1626
http://purl.obolibrary.org/obo/CHEBI_8551	Protein N6,N6,N6-trimethyl-L-lysine	0.9631752	Dyslexia-associated protein KIAA0319-like protein	prot-a-1626
http://www.ebi.ac.uk/efo/EFO_0007660	neuroticism measurement	0.7911018999999999	Neuroticism	ebi-a-GCST002920
http://www.orpha.net/ORDO/Orphanet_369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	0.7371947999999999	Glycogen phosphorylase, liver form	prot-a-2462
http://www.ebi.ac.uk/efo/EFO_0004531	urate measurement	0.8247568999999999	Urate	ieu-a-795
http://purl.obolibrary.org/obo/CHEBI_46819	urate salt	0.8073648	Urate	ieu-a-795
http://www.ebi.ac.uk/efo/EFO_0010174	tonsillectomy	0.8388221	Operation code: tonsillectomy +/- adenoids	ukb-b-11497
http://www.ebi.ac.uk/efo/EFO_0008289	SPARC-like protein 1 measurement	0.8012630000000001	Amphoterin-induced protein 1	prot-a-87
http://www.ebi.ac.uk/efo/EFO_0004616	osteoarthritis, knee	0.7961061	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	ukb-a-563
http://www.ebi.ac.uk/efo/EFO_1000786	osteoarthritis, hip	0.7135085999999999	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	ukb-a-563
http://www.ebi.ac.uk/efo/EFO_0008251	non-receptor tyrosine-protein kinase TYK2 measurement	0.702439	Tyrosine-protein kinase ABL1	prot-a-7
http://www.ebi.ac.uk/efo/EFO_0002508	Parkinson's disease	0.7199203000000001	Illnesses of siblings: Parkinson's disease	ukb-b-16943
http://www.ebi.ac.uk/efo/EFO_0008309	tumor necrosis factor receptor superfamily member 19L measurement	0.7936184	Tumor necrosis factor ligand superfamily member 15	prot-a-3058
http://www.ebi.ac.uk/efo/EFO_0008310	tumor necrosis factor receptor superfamily member EDAR measurement	0.7894909000000001	Tumor necrosis factor ligand superfamily member 15	prot-a-3058
http://www.ebi.ac.uk/efo/EFO_0008040	breast cancer anti-estrogen resistance protein 3 measurement	0.9486642999999999	Breast cancer anti-estrogen resistance protein 3	prot-a-234
