OpenGWAS.Trait	Tool.Mapping..1	Identifier1	Score1	Tool.Mapping..2	Identifier2	Score2	Tool.Mapping..3	Identifier3	Score3	exact mapping	broad mapping	narrow mapping	incorrect	Exact	non-EFO	comments
Asialoglycoprotein receptor 1	Glycoproteinosis	http://www.orpha.net/ORDO/Orphanet_309279	0.510793427	glycoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004555	0.465418527	Bleeding diathesis due to glycoprotein VI deficiency	http://www.orpha.net/ORDO/Orphanet_98885	0.432691364							
B-cell antigen receptor complex-associated protein beta chain	AIDS dementia	http://www.ebi.ac.uk/efo/EFO_0002608	0.445945712	complex vascular malformation with associated anomalies	http://purl.obolibrary.org/obo/MONDO_0016235	0.393650313	Tumor necrosis factor receptor 1 associated periodic syndrome	http://www.orpha.net/ORDO/Orphanet_32960	0.382383108							
BAFF-R on IgD+ CD38- B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.308363401	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0001640	0.306894021	Hypertrichosis-acromegaloid facial appearance syndrome	http://www.orpha.net/ORDO/Orphanet_966	0.287010627							
Beta-1,4-galactosyltransferase 7	Ehlers-Danlos syndrome, progeroid type	http://www.orpha.net/ORDO/Orphanet_75496	0.758111046	B4GALT1-CDG	http://www.orpha.net/ORDO/Orphanet_79332	0.629327535	ALG1-CDG	http://www.orpha.net/ORDO/Orphanet_79327	0.555443398							
Bilirubin (Z,Z)	bilirubin measurement	http://www.ebi.ac.uk/efo/EFO_0004570	0.796372834	kernicterus	http://www.ebi.ac.uk/efo/EFO_1001002	0.725931738	bilirubin metabolism disease	http://purl.obolibrary.org/obo/MONDO_0024431	0.697159919							
CAMK1	TMK1	http://www.ebi.ac.uk/efo/EFO_0002867	0.506137817	acute megakaryoblastic leukaemia	http://www.ebi.ac.uk/efo/EFO_0003025	0.293802006	cerebrofacial arteriovenous metameric syndrome	http://purl.obolibrary.org/obo/MONDO_0015405	0.279511271							
Cancer code  self-reported: breast cancer	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	0.72709686	cancer	http://www.ebi.ac.uk/efo/EFO_0000311	0.67443422	male breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0006861	0.629779389							
Carbonic Anhydrase IV	carbonic anhydrase 2	http://www.ebi.ac.uk/efo/EFO_0010161	0.851925593	Osteopetrosis with renal tubular acidosis	http://www.orpha.net/ORDO/Orphanet_2785	0.755687214	carbonic anhydrase 6 measurement	http://www.ebi.ac.uk/efo/EFO_0008068	0.73467828							
CD20 on IgD- CD27- B cell	Autosomal recessive lymphoproliferative disease	http://www.orpha.net/ORDO/Orphanet_238505	0.558648218	CD27 antigen measurement	http://www.ebi.ac.uk/efo/EFO_0008078	0.462947183	CD209 antigen measurement	http://www.ebi.ac.uk/efo/EFO_0008077	0.347349293							
CD4-CD8- T cell Absolute Count	Plasma Cell Count	http://www.ebi.ac.uk/efo/EFO_0009248	0.42633198	leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	0.407571031	complete blood cell count	http://www.ebi.ac.uk/efo/EFO_0004586	0.390646898							
CD4:%TM (1)	targeted mutation	http://www.ebi.ac.uk/efo/EFO_0004019	0.804592191	X-linked centronuclear myopathy	http://www.orpha.net/ORDO/Orphanet_596	0.359249781	ITM	http://www.ebi.ac.uk/efo/EFO_0002061	0.35855991							
Cerebrovascular diseases	cerebrovascular disorder	http://www.ebi.ac.uk/efo/EFO_0003763	0.96051066	Genetic cerebrovascular dementia	http://www.orpha.net/ORDO/Orphanet_371439	0.746523262	cerebral small vessel disease	http://www.ebi.ac.uk/efo/EFO_0008493	0.731473791							
Corneodesmosin	Desmosterolosis	http://www.orpha.net/ORDO/Orphanet_35107	0.444854177	cornea neoplasm	http://purl.obolibrary.org/obo/MONDO_0021238	0.353273067	desmoid tumor	http://purl.obolibrary.org/obo/MONDO_0007608	0.351458688							
DCN1-like protein 5	SPARC-like protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008289	0.33853915	lipoprotein	http://www.ebi.ac.uk/efo/EFO_0003836	0.321120999	Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	0.318193292							
Dendritic Cell Absolute Count	dendritic cell tumor	http://purl.obolibrary.org/obo/MONDO_0020082	0.579471633	dendritic cell sarcoma	http://purl.obolibrary.org/obo/MONDO_0004380	0.532572512	thymoma type B	http://purl.obolibrary.org/obo/MONDO_0016974	0.490618778							
Diagnoses - main ICD10: G57 Mononeuropathies of lower limb	diabetic neuropathy	http://www.ebi.ac.uk/efo/EFO_1000783	0.524724757	mononeuropathy	http://www.ebi.ac.uk/efo/EFO_0009558	0.476470083	Lower limb pain	http://purl.obolibrary.org/obo/HP_0012514	0.443311798							
Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis	Thrombophlebitis	http://purl.obolibrary.org/obo/HP_0004418	0.842112413	Phlebitis	http://www.ebi.ac.uk/efo/EFO_1001395	0.799197782	Recurrent thrombophlebitis	http://purl.obolibrary.org/obo/HP_0004419	0.70357763							
Diagnoses - main ICD10: M70 Soft tissue disorders related to use, overuse and pressure	soft tissue disease	http://www.ebi.ac.uk/efo/EFO_0009470	0.495581656	Soft Tissue Neoplasm	http://www.ebi.ac.uk/efo/EFO_1000541	0.43056428	soft tissue sarcoma	http://www.ebi.ac.uk/efo/EFO_1001968	0.405486577							
Diagnoses - main ICD10: N81.2 Incomplete uterovaginal prolapse	uterine prolapse	http://www.ebi.ac.uk/efo/EFO_1001864	0.435726936	pelvic organ prolapse	http://www.ebi.ac.uk/efo/EFO_0004710	0.416701322	uterovaginal malformation	http://purl.obolibrary.org/obo/MONDO_0015828	0.413666273							
Diagnoses - secondary ICD10: D50.9 Iron deficiency anaemia, unspecified	Iron deficiency anemia	http://purl.obolibrary.org/obo/HP_0001891	0.636419803	deficiency anemia	http://purl.obolibrary.org/obo/MONDO_0001639	0.584333834	IRIDA syndrome	http://www.orpha.net/ORDO/Orphanet_209981	0.41845998							
Diagnoses - secondary ICD10: R51 Headache	Headache	http://purl.obolibrary.org/obo/HP_0002315	0.557800145	headache disorder	http://www.ebi.ac.uk/efo/EFO_0009550	0.48866554	migraine disorder	http://www.ebi.ac.uk/efo/EFO_0003821	0.442638945							
Disorders of eyelid in diseases classified elsewhere	eyelid disease	http://www.ebi.ac.uk/efo/EFO_0009547	0.65123013	cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000318	0.628042626	respiratory system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.603535447							
Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	Oligosaccharidosis	http://www.orpha.net/ORDO/Orphanet_79215	0.467290491	Alpha-mannosidosis	http://www.orpha.net/ORDO/Orphanet_61	0.4512543	Endoplasmic Reticulum Stress	http://www.ebi.ac.uk/efo/EFO_1001886	0.415549583							
Ephrin-A3	perinephritis	http://www.ebi.ac.uk/efo/EFO_1001099	0.405295508	nephritis	http://www.ebi.ac.uk/efo/EFO_1002050	0.398604877	lupus nephritis	http://www.ebi.ac.uk/efo/EFO_0005761	0.32295345							
FABPE	diastolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0006336	0.34790101	acute myeloblastic leukemia without maturation	http://www.ebi.ac.uk/efo/EFO_0003027	0.336837319	acute myeloblastic leukemia with maturation	http://www.ebi.ac.uk/efo/EFO_0003028	0.332640078							
GPC2	IPC-298	http://www.ebi.ac.uk/efo/EFO_0006447	0.263737761	PAC2	http://www.ebi.ac.uk/efo/EFO_0001224	0.252440853	MEC2	http://www.ebi.ac.uk/efo/EFO_0006285	0.24619478							
Guanylate cyclase activator 2B	Chronic diarrhea due to guanylate cyclase 2C overactivity	http://www.orpha.net/ORDO/Orphanet_314373	0.53098778	Intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency	http://www.orpha.net/ORDO/Orphanet_314376	0.497626493	Multiple endocrine neoplasia type 2B	http://www.orpha.net/ORDO/Orphanet_247709	0.345296621							
HCK	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	0.351306172	hepatocellular adenoma	http://www.ebi.ac.uk/efo/EFO_0000762	0.311844724	high content analysis of cells	http://www.ebi.ac.uk/efo/EFO_0005397	0.311844724							
HLA DR on B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.426042292	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0001640	0.424012162	Okihiro syndrome	http://www.orpha.net/ORDO/Orphanet_93293	0.402150075							
HLA DR on myeloid Dendritic Cell	dendritic cell tumor	http://purl.obolibrary.org/obo/MONDO_0020082	0.535062024	myeloid neoplasm	http://www.ebi.ac.uk/efo/EFO_0002427	0.492245244	dendritic cell sarcoma	http://purl.obolibrary.org/obo/MONDO_0004380	0.491757164							
IgD on IgD+ CD38dim B cell	Hyperimmunoglobulinemia D with periodic fever	http://www.orpha.net/ORDO/Orphanet_343	0.384453745	Gaucher disease type 1	http://www.orpha.net/ORDO/Orphanet_77259	0.271548428	Gaucher disease type 2	http://www.orpha.net/ORDO/Orphanet_77260	0.256879626							
Illness, injury, bereavement, stress in last 2 years: Financial difficulties	Gait disturbance	http://purl.obolibrary.org/obo/HP_0001288	0.365745722	psychiatric disorder	http://purl.obolibrary.org/obo/MONDO_0002025	0.353459314	Feeding difficulties	http://purl.obolibrary.org/obo/HP_0011968	0.351464856							
Illnesses of adopted siblings: None of the above (group 1)	number of siblings	http://www.ebi.ac.uk/efo/EFO_0009713	0.422696949	psychiatric disorder	http://purl.obolibrary.org/obo/MONDO_0002025	0.300210155	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.289108007							
Interleukin-12 subunit B levels	interleukin-12 subunit B measurement	http://www.ebi.ac.uk/efo/EFO_0010787	0.684264336	interleukin 12 receptor subunit beta-1 measurement	http://www.ebi.ac.uk/efo/EFO_0008170	0.631189509	interleukin	http://www.ebi.ac.uk/efo/EFO_0004100	0.619666057							
Job coding: personnel, human resources, training or industrial relations manager/director, recruitment manager/director	contraception	http://www.ebi.ac.uk/efo/EFO_0009520	0.28512869	disease	http://www.ebi.ac.uk/efo/EFO_0000408	0.277885743	Nager syndrome	http://www.orpha.net/ORDO/Orphanet_245	0.261156225							
Job SOC coding: Accounts and wages clerks, book-keepers, other financial clerks	Myoclonus	http://purl.obolibrary.org/obo/HP_0001336	0.302153447	Böök syndrome	http://www.orpha.net/ORDO/Orphanet_1262	0.269171423	CACH syndrome	http://www.orpha.net/ORDO/Orphanet_135	0.255933792							
Job SOC coding: Registrars and senior administrators of educational establishments	administrator	http://www.ebi.ac.uk/efo/EFO_0009743	0.448568551	Abnormal blistering of the skin	http://purl.obolibrary.org/obo/HP_0008066	0.260766994	educational attainment	http://www.ebi.ac.uk/efo/EFO_0011015	0.252621292							
Karyopherin-a2	karyotype	http://www.ebi.ac.uk/efo/EFO_0004426	0.483844275	Karyomegalic interstitial nephritis	http://www.orpha.net/ORDO/Orphanet_401996	0.368312674	47,XYY syndrome	http://www.orpha.net/ORDO/Orphanet_8	0.357273372							
Lamb intake	Carney complex	http://www.orpha.net/ORDO/Orphanet_1359	0.76738618	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.473227419	fat intake measurement	http://www.ebi.ac.uk/efo/EFO_0010809	0.417731736							
Leisure/social activities: Sports club or gym	physical activity	http://www.ebi.ac.uk/efo/EFO_0003940	0.347255237	clubfoot	http://purl.obolibrary.org/obo/MONDO_0007342	0.320452843	Talipes equinovarus	http://purl.obolibrary.org/obo/HP_0001762	0.320452843							
Leukocyte immunoglobulin-like receptor subfamily B member 4	leukocyte immunoglobulin-like receptor subfamily B member 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008208	0.886898564	leukocyte immunoglobulin-like receptor subfamily B member 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008209	0.886442576	X-linked central congenital hypothyroidism with late-onset testicular enlargement	http://www.orpha.net/ORDO/Orphanet_329235	0.560683382							
Lysophospholipase-like protein 1	lipoprotein-associated phospholipase A(2) measurement	http://www.ebi.ac.uk/efo/EFO_0004746	0.437060846	lysophosphatidylcholine measurement	http://www.ebi.ac.uk/efo/EFO_0010224	0.428557918	lipoprotein-associated phospholipase A(2) change measurement	http://www.ebi.ac.uk/efo/EFO_0008432	0.415442023							
Macular pucker	Epiretinal membrane	http://purl.obolibrary.org/obo/HP_0100014	0.990972118	macular holes	http://www.ebi.ac.uk/efo/EFO_1001028	0.453645875	Ptosis - vocal cord paralysis	http://www.orpha.net/ORDO/Orphanet_2997	0.425816781							
Marginal zone B- and B1-cell-specific protein	marginal zone B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_1000630	0.645847732	primary cutaneous marginal zone B-cell lymphoma	http://purl.obolibrary.org/obo/MONDO_0015813	0.606045625	Splenic Marginal Zone Lymphoma	http://www.ebi.ac.uk/efo/EFO_1000550	0.530176118							
Maternal care for known or suspected disproportion	Prominent nose	http://purl.obolibrary.org/obo/HP_0000448	0.360709491	Congenital fiber-type disproportion myopathy	http://www.orpha.net/ORDO/Orphanet_2020	0.349231344	Relative macrocephaly	http://purl.obolibrary.org/obo/HP_0004482	0.34880721							
Mean arterial pressure	mean arterial pressure	http://www.ebi.ac.uk/efo/EFO_0006340	0.987882991	carotid artery mean blood pressure measurement	http://www.ebi.ac.uk/efo/EFO_0007723	0.652661329	breast pressure measurement	http://www.ebi.ac.uk/efo/EFO_0009393	0.49830938							
Mean corpuscular haemoglobin concentration	mean corpuscular hemoglobin concentration	http://www.ebi.ac.uk/efo/EFO_0004528	0.991040333	mean corpuscular hemoglobin	http://www.ebi.ac.uk/efo/EFO_0004527	0.87981285	Reticulocyte Corpuscular Hemoglobin Concentration Mean	http://www.ebi.ac.uk/efo/EFO_0009228	0.814377744							
Medication for pain relief, constipation, heartburn: Omeprazole (e.g. Zanprol)	Constipation	http://purl.obolibrary.org/obo/HP_0002019	0.462699286	constipation disorder	http://purl.obolibrary.org/obo/MONDO_0002203	0.462699286	Chronic constipation	http://purl.obolibrary.org/obo/HP_0012450	0.376455541							
Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: From inpatient/daycase care	eye discharge	http://www.ebi.ac.uk/efo/EFO_0010678	0.5672819	vaginal discharge	http://www.ebi.ac.uk/efo/EFO_0009365	0.400613535	discharging ear	http://purl.obolibrary.org/obo/MONDO_0000988	0.343427961							
MK11	Menkes disease	http://www.orpha.net/ORDO/Orphanet_565	0.334862421	TMK1	http://www.ebi.ac.uk/efo/EFO_0002867	0.289015522	Mevalonic aciduria	http://www.orpha.net/ORDO/Orphanet_29	0.274104483							
Neurensin-1	neuroma	http://www.ebi.ac.uk/efo/EFO_0009619	0.422021358	Neurenteric cyst	http://www.orpha.net/ORDO/Orphanet_268865	0.419227955	neurotic disorder	http://www.ebi.ac.uk/efo/EFO_0004257	0.367158757							
Ocular pain	Ocular pain	http://purl.obolibrary.org/obo/HP_0200026	0.987684655	eye neoplasm	http://www.ebi.ac.uk/efo/EFO_0003824	0.667066462	ocular cancer	http://purl.obolibrary.org/obo/MONDO_0002236	0.631944689							
Open wound of abdomen, lower back and pelvis	Low back pain	http://purl.obolibrary.org/obo/HP_0003419	0.434673097	PELVIS syndrome	http://www.orpha.net/ORDO/Orphanet_83628	0.431121707	abdominal and pelvic region disorder	http://purl.obolibrary.org/obo/MONDO_0044965	0.395008063							
Operation code: stomach surgery	stomach disease	http://www.ebi.ac.uk/efo/EFO_0009608	0.498442157	gastric neuroendocrine neoplasm	http://purl.obolibrary.org/obo/MONDO_0003111	0.496167417	stomach neoplasm	http://www.ebi.ac.uk/efo/EFO_0003897	0.494343659							
Operation code: tonsillectomy +/- adenoids	tonsillectomy	http://www.ebi.ac.uk/efo/EFO_0010174	0.685625512	tonsillectomy risk measurement	http://www.ebi.ac.uk/efo/EFO_0007924	0.469906302	ileostomy	http://www.ebi.ac.uk/efo/EFO_0010681	0.38371021							
Other diseases of pericardium	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	0.976343839	pericardium disease	http://purl.obolibrary.org/obo/MONDO_0000474	0.874028496	pericardium cancer	http://purl.obolibrary.org/obo/MONDO_0001322	0.68757871							
Other eye problems	Feeding difficulties	http://purl.obolibrary.org/obo/HP_0011968	0.53552958	Behavioral abnormality	http://purl.obolibrary.org/obo/HP_0000708	0.484901962	eye neoplasm	http://www.ebi.ac.uk/efo/EFO_0003824	0.457871665							
Other noninflammatory disorders of cervix uteri	Cervicitis	http://purl.obolibrary.org/obo/HP_0030160	0.67088885	inflammatory disease	http://www.ebi.ac.uk/efo/EFO_0009903	0.663172451	cervix disease	http://purl.obolibrary.org/obo/MONDO_0002256	0.639534758							
Other or ill-defined heart diseases	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	0.837331781	heart disease	http://www.ebi.ac.uk/efo/EFO_0003777	0.642300807	disease	http://www.ebi.ac.uk/efo/EFO_0000408	0.505022319							
Other/unspecified enthesopathies, not elsewhere classified	cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000318	0.652135365	respiratory system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.631514199	immune system disease	http://www.ebi.ac.uk/efo/EFO_0000540	0.588539628							
PCT responsible for patient data: SHEFFIELD PCT	Porphyria cutanea tarda	http://www.orpha.net/ORDO/Orphanet_101330	0.501957545	platelet crit	http://www.ebi.ac.uk/efo/EFO_0007985	0.501957545	Autosomal dominant chondrodysplasia punctata	http://www.orpha.net/ORDO/Orphanet_79344	0.4306941							
PCT where patients GP was registered: DARLINGTON PCT	Porphyria cutanea tarda	http://www.orpha.net/ORDO/Orphanet_101330	0.486373737	platelet crit	http://www.ebi.ac.uk/efo/EFO_0007985	0.486373737	histoplasmosis	http://www.ebi.ac.uk/efo/EFO_0007310	0.318430506							
PCT where patients GP was registered: NORTH HAMPSHIRE PCT	Porphyria cutanea tarda	http://www.orpha.net/ORDO/Orphanet_101330	0.458889867	platelet crit	http://www.ebi.ac.uk/efo/EFO_0007985	0.458889867	Cutaneous T-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0002913	0.246138333							
PCT where patients GP was registered: SOUTH EAST OXFORDSHIRE PCT	Porphyria cutanea tarda	http://www.orpha.net/ORDO/Orphanet_101330	0.423605347	platelet crit	http://www.ebi.ac.uk/efo/EFO_0007985	0.423605347	denture stomatitis	http://www.ebi.ac.uk/efo/EFO_1000893	0.235474826							
Persons encountering health services for other counselling and medical advice, not elsewhere classified	encounter with health service	http://www.ebi.ac.uk/efo/EFO_0009786	0.582452495	encounter with health service related to reproduction	http://www.ebi.ac.uk/efo/EFO_0009787	0.467935712	respiratory system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.453971903							
Phosphate	phosphate measurement	http://www.ebi.ac.uk/efo/EFO_0010968	0.748039211	3-phosphoserine phosphatase deficiency	http://www.orpha.net/ORDO/Orphanet_79350	0.714920483	Oculocerebrorenal syndrome	http://www.orpha.net/ORDO/Orphanet_534	0.676305403							
Phospholipids in very large HDL	phospholipid measurement	http://www.ebi.ac.uk/efo/EFO_0004639	0.554806333	antiphospholipid syndrome	http://www.ebi.ac.uk/efo/EFO_0002689	0.513785248	Disorder of phospholipids, sphingolipids and fatty acids biosynthesis	http://www.orpha.net/ORDO/Orphanet_352301	0.497486526							
Physical activity	physical activity	http://www.ebi.ac.uk/efo/EFO_0003940	0.995737159	physical activity measurement	http://www.ebi.ac.uk/efo/EFO_0008002	0.826520006	congenital abnormality	http://purl.obolibrary.org/obo/MONDO_0000839	0.61492666							
Plasma protease C1 inhibitor	plasma protease C1 inhibitor measurement	http://www.ebi.ac.uk/efo/EFO_0008261	0.896539704	response to protease inhibitor	http://www.ebi.ac.uk/efo/EFO_0005657	0.661105044	Congenital alpha2 antiplasmin deficiency	http://www.orpha.net/ORDO/Orphanet_79	0.586626963							
Platelet-activating factor acetylhydrolase IB subunit beta	Platelet-activating factor acetylhydrolase deficiency	http://purl.obolibrary.org/obo/HP_0040175	0.722764026	factor VII activating protease measurement	http://www.ebi.ac.uk/efo/EFO_0009368	0.342258894	platelet crit	http://www.ebi.ac.uk/efo/EFO_0007985	0.335027919							
Polyarteritis nodosa and related conditions	Polyarteritis Nodosa	http://www.ebi.ac.uk/efo/EFO_0009012	0.822643035	mucocutaneous lymph node syndrome	http://www.ebi.ac.uk/efo/EFO_0004246	0.704582384	polyarticular arthritis	http://purl.obolibrary.org/obo/MONDO_0024280	0.519830131							
Protein S100-A12	protein S100-A12 measurement	http://www.ebi.ac.uk/efo/EFO_0010925	0.649690194	vaspin measurement	http://www.ebi.ac.uk/efo/EFO_0004915	0.41744089	Spinocerebellar ataxia type 12	http://www.orpha.net/ORDO/Orphanet_98762	0.374302211							
Qualifications	disease characteristic	http://www.ebi.ac.uk/efo/EFO_0009813	0.619513925	general tumor grading characteristic	http://purl.obolibrary.org/obo/MONDO_0024489	0.472368265	calcinosis	http://purl.obolibrary.org/obo/MONDO_0002123	0.389471784							
R50 Fever of unknown origin	fever of unknown origin	http://www.ebi.ac.uk/efo/EFO_0003952	0.876787093	glial tumor of neuroepithelial tissue with unknown origin	http://purl.obolibrary.org/obo/MONDO_0016704	0.523226743	Unknown leukodystrophy	http://www.orpha.net/ORDO/Orphanet_84096	0.469030514							
Rap1 GTPase-activating protein 1	factor VII activating protease measurement	http://www.ebi.ac.uk/efo/EFO_0009368	0.385600733	HAP-1	http://www.ebi.ac.uk/efo/EFO_0007598	0.350632426	proteinase-activated receptor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010926	0.323891291							
Serine protease inhibitor Kazal-type 5	response to protease inhibitor	http://www.ebi.ac.uk/efo/EFO_0005657	0.564784695	plasma protease C1 inhibitor measurement	http://www.ebi.ac.uk/efo/EFO_0008261	0.506681503	Kunitz-type protease inhibitor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008199	0.473817542							
Single-pass membrane and coiled-coil domain-containing protein 2	CUB domain containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.449730405	OCIA domain-containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008252	0.412981063	thioredoxin domain-containing protein 12 measurement	http://www.ebi.ac.uk/efo/EFO_0008298	0.365201562							
Substances taken for depression: Drugs or alcohol (more than once)	depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002050	0.450598497	unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003761	0.450598497	alcohol dependence	http://www.ebi.ac.uk/efo/EFO_0003829	0.407989244							
Target heart rate achieved	achievement of target heart rate, self-reported	http://www.ebi.ac.uk/efo/EFO_0009823	0.649300017	heart rate	http://www.ebi.ac.uk/efo/EFO_0004326	0.529957871	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	0.415451085							
TBK1	TMK1	http://www.ebi.ac.uk/efo/EFO_0002867	0.218597555	ChaGoK1	http://www.ebi.ac.uk/efo/EFO_0002155	0.208623852			NA							
Thrombospondin-1	thrombospondin-2 measurement	http://www.ebi.ac.uk/efo/EFO_0008299	0.68187289	thrombotic disease	http://purl.obolibrary.org/obo/MONDO_0000831	0.676269376	Arterial thrombosis	http://purl.obolibrary.org/obo/HP_0004420	0.532579895							
Time to complete round	complete hydatidiform mole	http://purl.obolibrary.org/obo/MONDO_0016785	0.500778987	time	http://www.ebi.ac.uk/efo/EFO_0000721	0.478514887	Achromatopsia	http://www.orpha.net/ORDO/Orphanet_49382	0.477582212							
Transmembrane protein 132D	transmembrane glycoprotein NMB measurement	http://www.ebi.ac.uk/efo/EFO_0008303	0.563405502	Riboflavin transporter deficiency	http://www.orpha.net/ORDO/Orphanet_97229	0.481328532	Mitochondrial membrane transport disorder	http://www.orpha.net/ORDO/Orphanet_254827	0.391301612							
Treatment speciality of consultant (recoded): Cardiology	consultant	http://www.ebi.ac.uk/efo/EFO_0001732	0.483771577	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	0.428989474	Abnormal cardiovascular system physiology	http://purl.obolibrary.org/obo/HP_0011025	0.414226811							
Treatment/medication code: adalat 5mg capsule	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	0.395169058	clinical treatment	http://www.ebi.ac.uk/efo/EFO_0007056	0.330422247	clinical treatment protocol	http://www.ebi.ac.uk/efo/EFO_0000355	0.330422247							
Treatment/medication code: alfuzosin	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	0.433661087	clinical treatment	http://www.ebi.ac.uk/efo/EFO_0007056	0.362607517	clinical treatment protocol	http://www.ebi.ac.uk/efo/EFO_0000355	0.362607517							
