OpenGWAS.Trait	Tool.Mapping..1	Identifier1	Score1	Tool.Mapping..2	Identifier2	Score2	Tool.Mapping..3	Identifier3	Score3	exact mapping	broad mapping	narrow mapping	incorrect	Exact	non-EFO	comments
Diagnoses - main ICD10: N81.2 Incomplete uterovaginal prolapse	uterine prolapse	http://www.ebi.ac.uk/efo/EFO_1001864	0.435726936	pelvic organ prolapse	http://www.ebi.ac.uk/efo/EFO_0004710	0.416701322	uterovaginal malformation	http://purl.obolibrary.org/obo/MONDO_0015828	0.413666273							
Diagnoses - main ICD10: O63 Long labour	Braxton-Hicks contractions	http://www.ebi.ac.uk/efo/EFO_0009639	0.397122579	date of diagnosis	http://www.ebi.ac.uk/efo/EFO_0004953	0.264393402	age at diagnosis	http://www.ebi.ac.uk/efo/EFO_0004918	0.26033261							
Diagnoses - secondary ICD10: I25.9 Chronic ischaemic heart disease, unspecified	Myocardial Ischemia	http://www.ebi.ac.uk/efo/EFO_1001375	0.495544804	chronic disease	http://www.ebi.ac.uk/efo/EFO_0009714	0.463421751	chronic pulmonary heart disease	http://purl.obolibrary.org/obo/MONDO_0001493	0.43700037							
Diagnoses - secondary ICD10: M13.99 Arthritis, unspecified (Site unspecified)	secondary Parkinson disease	http://www.ebi.ac.uk/efo/EFO_1001175	0.446008055	gastritis	http://www.ebi.ac.uk/efo/EFO_0000217	0.442466725	unspecified juvenile idiopathic arthritis	http://www.ebi.ac.uk/efo/EFO_0009734	0.439974074							
Diagnoses - secondary ICD10: N84.0 Polyp of corpus uteri	uterine polyp	http://www.ebi.ac.uk/efo/EFO_0009484	0.652479754	corpus uteri neoplasm	http://purl.obolibrary.org/obo/MONDO_0021254	0.458696903	uterine sarcoma	http://www.ebi.ac.uk/efo/EFO_0002914	0.429265985							
E3 ubiquitin-protein ligase RNF34	Multiple acyl-CoA dehydrogenase deficiency	http://www.orpha.net/ORDO/Orphanet_26791	0.294808329	prion disease	http://www.ebi.ac.uk/efo/EFO_0004720	0.277846497	LIG4 syndrome	http://www.orpha.net/ORDO/Orphanet_99812	0.276715374							
EN-RAGE levels	serum IgE measurement	http://www.ebi.ac.uk/efo/EFO_0004579	0.59139713	estrogen measurement	http://www.ebi.ac.uk/efo/EFO_0011007	0.552911688	antinuclear antibody measurement	http://www.ebi.ac.uk/efo/EFO_0005949	0.547301559							
Eosinophilia	Eosinophilia	http://purl.obolibrary.org/obo/HP_0001880	0.987630559	eosinophilic pneumonia	http://www.ebi.ac.uk/efo/EFO_0007257	0.748039849	Chronic Eosinophilic Leukemia, Not Otherwise Specified	http://www.ebi.ac.uk/efo/EFO_1000178	0.730141132							
Ever sought or received professional help for mental distress	Fetal distress	http://purl.obolibrary.org/obo/HP_0025116	0.312987805	depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002050	0.307782717	mental process	http://www.ebi.ac.uk/efo/EFO_0004323	0.299522798							
Fall on same level	fall	http://www.ebi.ac.uk/efo/EFO_0009631	0.552730109	Benign adult familial myoclonic epilepsy	http://www.orpha.net/ORDO/Orphanet_86814	0.399509063	resistin measurement	http://www.ebi.ac.uk/efo/EFO_0004819	0.389212182							
Fibroblast growth factor 8 isoform A	basic fibroblast growth factor	http://www.ebi.ac.uk/efo/EFO_0003316	0.71677293	fibroblast growth factor 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008129	0.685077588	fibroblast growth factor 5 measurement	http://www.ebi.ac.uk/efo/EFO_0010784	0.679212099							
galanin and GMAP prepropeptide	galanin peptides measurement	http://www.ebi.ac.uk/efo/EFO_0010615	0.512547549	mean arterial pressure	http://www.ebi.ac.uk/efo/EFO_0006340	0.342820742	MUTYH-related attenuated familial adenomatous polyposis	http://www.orpha.net/ORDO/Orphanet_247798	0.342820742							
Galectin-2	galectin-3 measurement	http://www.ebi.ac.uk/efo/EFO_0008137	0.529296819	galectin-3-binding protein measurement	http://www.ebi.ac.uk/efo/EFO_0010241	0.406480829	Galactose epimerase deficiency	http://www.orpha.net/ORDO/Orphanet_79238	0.404505719							
Gas or solid-fuel cooking/heating: None of the above	AB SOLiD System	http://www.ebi.ac.uk/efo/EFO_0004435	0.285346096	AB SOLiD 4 System	http://www.ebi.ac.uk/efo/EFO_0004438	0.270617397	binge eating	http://www.ebi.ac.uk/efo/EFO_0005924	0.25972135							
Glycated haemoglobin	HbA1c measurement	http://www.ebi.ac.uk/efo/EFO_0004541	0.725242376	Abnormal hemoglobin	http://purl.obolibrary.org/obo/HP_0011902	0.667256876	hemoglobin measurement	http://www.ebi.ac.uk/efo/EFO_0004509	0.654014459							
Granulocyte colony-stimulating factor	granulocyte colony-stimulating factor measurement	http://www.ebi.ac.uk/efo/EFO_0008142	0.788072267	colony stimulating factor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010775	0.687799015	macrophage colony stimulating factor measurement	http://www.ebi.ac.uk/efo/EFO_0008217	0.614778186							
HCC-1	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	0.959656011	HCC0012	http://www.ebi.ac.uk/efo/EFO_0006416	0.492769441	HCC15	http://www.ebi.ac.uk/efo/EFO_0003129	0.472190231							
Hereditary deficiency of other clotting factors	Congenital factor X deficiency	http://www.orpha.net/ORDO/Orphanet_328	0.711230827	Congenital factor V deficiency	http://www.orpha.net/ORDO/Orphanet_326	0.702578071	Hereditary combined deficiency of vitamin K-dependent clotting factors	http://www.orpha.net/ORDO/Orphanet_98434	0.69013889							
Hernia	Hernia	http://purl.obolibrary.org/obo/HP_0100790	0.985467767	ventral hernia	http://www.ebi.ac.uk/efo/EFO_1001866	0.717785865	Hiatus hernia	http://purl.obolibrary.org/obo/HP_0002036	0.713393458							
High light scatter reticulocyte percentage	Reticulocyte Mean Corpuscular Hemoglobin Measurement	http://www.ebi.ac.uk/efo/EFO_0009202	0.993925728	monocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007989	0.501930381	lymphocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007993	0.478038739							
HLA DR on HLA DR+ CD4+ T cell	Okihiro syndrome	http://www.orpha.net/ORDO/Orphanet_93293	0.446611513	Immunodeficiency by defective expression of HLA class 1	http://www.orpha.net/ORDO/Orphanet_34592	0.419711104	Immunodeficiency by defective expression of HLA class 2	http://www.orpha.net/ORDO/Orphanet_572	0.318669939							
IgD on IgD+ CD38-  B cell	Hyperimmunoglobulinemia D with periodic fever	http://www.orpha.net/ORDO/Orphanet_343	0.430337497	Gaucher disease type 1	http://www.orpha.net/ORDO/Orphanet_77259	0.303957167	Gaucher disease type 2	http://www.orpha.net/ORDO/Orphanet_77260	0.287537674							
Impotence	erectile dysfunction	http://www.ebi.ac.uk/efo/EFO_0004234	0.987192201	Impotence	http://purl.obolibrary.org/obo/HP_0000802	0.987192201	vasculogenic impotence	http://www.ebi.ac.uk/efo/EFO_1001234	0.694343786							
Injury of muscle and tendon at hip and thigh level	Proximal lower limb amyotrophy	http://purl.obolibrary.org/obo/HP_0008956	0.536777701	injury	http://www.ebi.ac.uk/efo/EFO_0000546	0.419019173	muscular disease	http://www.ebi.ac.uk/efo/EFO_0002970	0.409993311							
Insulin	pancreatic insulinoma	http://purl.obolibrary.org/obo/MONDO_0024677	0.85853555	insulinoma	http://www.ebi.ac.uk/efo/EFO_0000549	0.85853555	insulin measurement	http://www.ebi.ac.uk/efo/EFO_0004467	0.734340888							
Insulin-like growth factor-binding protein 1	IGFBP-3 measurement	http://www.ebi.ac.uk/efo/EFO_0004626	0.826107228	insulin-like growth factor-binding protein 7 measurement	http://www.ebi.ac.uk/efo/EFO_0008161	0.74981443	insulin like growth factor measurement	http://www.ebi.ac.uk/efo/EFO_0004628	0.731188252							
Interleukin-17 levels	interleukin	http://www.ebi.ac.uk/efo/EFO_0004100	0.743395635	interleukin 18 measurement	http://www.ebi.ac.uk/efo/EFO_0004581	0.723231874	interleukin 17 measurement	http://www.ebi.ac.uk/efo/EFO_0008174	0.710976386							
Interleukin-17A	interleukin	http://www.ebi.ac.uk/efo/EFO_0004100	0.738707946	interleukin 17 measurement	http://www.ebi.ac.uk/efo/EFO_0008174	0.624279319	interleukin 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008331	0.569537204							
Interleukin-25	interleukin	http://www.ebi.ac.uk/efo/EFO_0004100	0.860897023	interleukin 25 measurement	http://www.ebi.ac.uk/efo/EFO_0008182	0.835234418	interleukin 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008331	0.663743888							
Interleukin-7 receptor subunit alpha	interleukin 7 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008190	0.911643063	interleukin 5 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008186	0.866049059	interleukin 6 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008187	0.864286293							
Job coding: personnel, human resources, training or industrial relations manager/director, recruitment manager/director	contraception	http://www.ebi.ac.uk/efo/EFO_0009520	0.28512869	disease	http://www.ebi.ac.uk/efo/EFO_0000408	0.277885743	Nager syndrome	http://www.orpha.net/ORDO/Orphanet_245	0.261156225							
kallikrein 14	plasma kallikrein measurement	http://www.ebi.ac.uk/efo/EFO_0008260	0.727299226	kallikrein-7 measurement	http://www.ebi.ac.uk/efo/EFO_0008195	0.666086309	kallikrein-11 measurement	http://www.ebi.ac.uk/efo/EFO_0010573	0.662518882							
Keyed up or on edge during worst period of anxiety	anxiety disorder	http://www.ebi.ac.uk/efo/EFO_0006788	0.441934391	anxiety	http://www.ebi.ac.uk/efo/EFO_0005230	0.441934391	dental phobia	http://www.ebi.ac.uk/efo/EFO_1001884	0.395355518							
Lamb intake	Carney complex	http://www.orpha.net/ORDO/Orphanet_1359	0.76738618	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.473227419	fat intake measurement	http://www.ebi.ac.uk/efo/EFO_0010809	0.417731736							
Lean body mass	lean body mass	http://www.ebi.ac.uk/efo/EFO_0004995	0.994288655	fat body mass	http://www.ebi.ac.uk/efo/EFO_0005409	0.669768018	lean mass-adjusted fat body mass	http://www.ebi.ac.uk/efo/EFO_0009890	0.66412233							
Leiomodin-1	leiomyoma	http://purl.obolibrary.org/obo/MONDO_0001572	0.539416526	leiomyoma cutis	http://purl.obolibrary.org/obo/MONDO_0003291	0.489899727	leiomyomatosis	http://purl.obolibrary.org/obo/MONDO_0003295	0.468772237							
LIM and cysteine-rich domains protein 1	lipoprotein	http://www.ebi.ac.uk/efo/EFO_0003836	0.423742514	Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	0.419835735	CUB domain containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.379251543							
Lymphangioleiomyomatosis (sporadic)	Lymphangioleiomyomatosis	http://www.orpha.net/ORDO/Orphanet_538	0.989917599	Lung Lymphangioleiomyomatosis	http://www.ebi.ac.uk/efo/EFO_1000334	0.906848212	lymphangiomyoma	http://www.ebi.ac.uk/efo/EFO_1001027	0.893123461							
Macular pucker	Epiretinal membrane	http://purl.obolibrary.org/obo/HP_0100014	0.990972118	macular holes	http://www.ebi.ac.uk/efo/EFO_1001028	0.453645875	Ptosis - vocal cord paralysis	http://www.orpha.net/ORDO/Orphanet_2997	0.425816781							
Maternal smoking around birth	smoking behavior	http://www.ebi.ac.uk/efo/EFO_0004318	0.508209268	nicotine dependence	http://www.ebi.ac.uk/efo/EFO_0003768	0.508209268	birth rate	http://www.ebi.ac.uk/efo/EFO_0004804	0.427216413							
Melanocytic naevi of other and unspecified parts of face	cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	0.690619453	large congenital melanocytic nevus	http://purl.obolibrary.org/obo/MONDO_0044792	0.477090211	macrocytic anemia (disease)	http://purl.obolibrary.org/obo/MONDO_0002281	0.472199762							
Naive CD8+ T cell Absolute Count	Plasma Cell Count	http://www.ebi.ac.uk/efo/EFO_0009248	0.412290109	leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	0.39414708	complete blood cell count	http://www.ebi.ac.uk/efo/EFO_0004586	0.377780367							
Noninflammatory female genital disorders	inflammatory disease	http://www.ebi.ac.uk/efo/EFO_0009903	0.674054979	inflammatory skin disease	http://www.ebi.ac.uk/efo/EFO_1000636	0.641702455	myositis	http://www.ebi.ac.uk/efo/EFO_0000783	0.59508404							
Number of days/week of vigorous physical activity 10+ minutes	physical activity	http://www.ebi.ac.uk/efo/EFO_0003940	0.510604448	physical activity measurement	http://www.ebi.ac.uk/efo/EFO_0008002	0.423831518	congenital abnormality	http://purl.obolibrary.org/obo/MONDO_0000839	0.330987304							
OCT measured (left): Not performed - equipment failure	Renal insufficiency	http://purl.obolibrary.org/obo/HP_0000083	0.38728521	kidney failure	http://www.ebi.ac.uk/efo/EFO_1002048	0.38728521	measurement	http://www.ebi.ac.uk/efo/EFO_0001444	0.375776648							
Operation code: tonsillectomy +/- adenoids	tonsillectomy	http://www.ebi.ac.uk/efo/EFO_0010174	0.685625512	tonsillectomy risk measurement	http://www.ebi.ac.uk/efo/EFO_0007924	0.469906302	ileostomy	http://www.ebi.ac.uk/efo/EFO_0010681	0.38371021							
Operative procedures - main OPCS: E03.6 Septoplasty of nose NEC	cornea transplantation	http://www.ebi.ac.uk/efo/EFO_0010676	0.355750096	medical procedure	http://www.ebi.ac.uk/efo/EFO_0002571	0.339722146	ophthalmic procedure	http://www.ebi.ac.uk/efo/EFO_0010722	0.301319417							
Ornithine decarboxylase	Hereditary orotic aciduria	http://www.orpha.net/ORDO/Orphanet_30	0.58667081	Pyridoxine-dependent epilepsy	http://www.orpha.net/ORDO/Orphanet_3006	0.576444141	pyruvate decarboxylase deficiency	http://www.ebi.ac.uk/efo/EFO_0007459	0.557623575							
Other assisted single delivery	Abnormal delivery	http://purl.obolibrary.org/obo/HP_0001787	0.422290087	delivery method	http://www.ebi.ac.uk/efo/EFO_0000395	0.410004647	delivery measurement	http://www.ebi.ac.uk/efo/EFO_0006922	0.408979891							
Other psoriatic arthropathies	psoriatic arthritis	http://www.ebi.ac.uk/efo/EFO_0003778	0.735764746	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	0.634144403	neurogenic arthropathy	http://www.ebi.ac.uk/efo/EFO_1001378	0.540143979							
Other sleepdisorders	Sleep Disorder	http://www.ebi.ac.uk/efo/EFO_0008568	0.680495198	sleep-wake disorder	http://purl.obolibrary.org/obo/MONDO_0003406	0.487748191	disease	http://www.ebi.ac.uk/efo/EFO_0000408	0.481400234							
PCT where patients GP was registered: BUCKINGHAMSHIRE PCT	Porphyria cutanea tarda	http://www.orpha.net/ORDO/Orphanet_101330	0.422907517	platelet crit	http://www.ebi.ac.uk/efo/EFO_0007985	0.422907517	Cutaneous T-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0002913	0.226838199							
Phospholipids to total lipids ratio in large VLDL	Disorder of phospholipids, sphingolipids and fatty acids biosynthesis	http://www.orpha.net/ORDO/Orphanet_352301	0.564903393	phospholipid measurement	http://www.ebi.ac.uk/efo/EFO_0004639	0.517409038	Disorder of phospholipids, sphingolipids and fatty acids biosynthesis with skeletal muscle predominant involvement	http://www.orpha.net/ORDO/Orphanet_352312	0.490194485							
Platelet-derived growth factor subunit A	platelet-derived growth factor BB measurement	http://www.ebi.ac.uk/efo/EFO_0008264	0.608481159	platelet-derived growth factor receptor beta measurement	http://www.ebi.ac.uk/efo/EFO_0008265	0.596176618	myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1	http://purl.obolibrary.org/obo/MONDO_0000881	0.484393358							
Pneumonia due to other infectious organisms, not elsewhere classified	pneumonia	http://www.ebi.ac.uk/efo/EFO_0003106	0.68341242	idiopathic interstitial pneumonia	http://purl.obolibrary.org/obo/MONDO_0002429	0.533623228	respiratory system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.502505221							
Polyarteritis nodosa and related conditions	Polyarteritis Nodosa	http://www.ebi.ac.uk/efo/EFO_0009012	0.822643035	mucocutaneous lymph node syndrome	http://www.ebi.ac.uk/efo/EFO_0004246	0.704582384	polyarticular arthritis	http://purl.obolibrary.org/obo/MONDO_0024280	0.519830131							
Prostate and testis expressed protein 4	proteome	http://www.ebi.ac.uk/efo/EFO_0010579	0.664761057	prostatitis	http://www.ebi.ac.uk/efo/EFO_0003830	0.471557226	prostate disease	http://www.ebi.ac.uk/efo/EFO_0009602	0.451795435							
Protein transport protein Sec61 subunit gamma	Cystinosis	http://www.orpha.net/ORDO/Orphanet_213	0.53966139	Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	0.42940483	prion disease	http://www.ebi.ac.uk/efo/EFO_0004720	0.413369758							
R50 Fever of unknown origin	fever of unknown origin	http://www.ebi.ac.uk/efo/EFO_0003952	0.876787093	glial tumor of neuroepithelial tissue with unknown origin	http://purl.obolibrary.org/obo/MONDO_0016704	0.523226743	Unknown leukodystrophy	http://www.orpha.net/ORDO/Orphanet_84096	0.469030514							
Ratio of omega-3 fatty acids to total fatty acids	fatty acid measurement	http://www.ebi.ac.uk/efo/EFO_0005110	0.561438908	omega-3 polyunsaturated fatty acid measurement	http://www.ebi.ac.uk/efo/EFO_0010119	0.545196072	trans fatty acid measurement	http://www.ebi.ac.uk/efo/EFO_0006821	0.501660322							
Rotator cuff syndrome	rotator cuff tear	http://www.ebi.ac.uk/efo/EFO_1001250	0.950344127	syndromic disease	http://purl.obolibrary.org/obo/MONDO_0002254	0.62420556	Rotor syndrome	http://www.orpha.net/ORDO/Orphanet_3111	0.620918414							
Serum total cholesterol	Hypercholesterolemia	http://purl.obolibrary.org/obo/HP_0003124	0.710433271	total cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004574	0.664241548	total cholesterol change measurement	http://www.ebi.ac.uk/efo/EFO_0007806	0.608492884							
Sleep apnoea, including avohilmo	Apnea	http://purl.obolibrary.org/obo/HP_0002104	0.508375795	sleep apnea	http://www.ebi.ac.uk/efo/EFO_0003877	0.490165451	sleep apnea measurement during REM sleep	http://www.ebi.ac.uk/efo/EFO_0008455	0.445546879							
Status epilepticus	status epilepticus	http://www.ebi.ac.uk/efo/EFO_0008526	0.99198002	epilepsy	http://www.ebi.ac.uk/efo/EFO_0000474	0.679713625	Epilepsy syndrome	http://www.orpha.net/ORDO/Orphanet_166463	0.581219239							
Stomatitis and related lesions	stomatitis	http://www.ebi.ac.uk/efo/EFO_0009688	0.670960126	oral mucositis	http://www.ebi.ac.uk/efo/EFO_1001904	0.670960126	atopic eczema	http://www.ebi.ac.uk/efo/EFO_0000274	0.523497756							
SUN domain-containing protein 5	CUB domain containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.65165564	OCIA domain-containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008252	0.619578698	thioredoxin domain-containing protein 12 measurement	http://www.ebi.ac.uk/efo/EFO_0008298	0.549082229							
Sweet potato intake	sweet syndrome	http://purl.obolibrary.org/obo/MONDO_0011959	0.572385867	sweet liking measurement	http://www.ebi.ac.uk/efo/EFO_0010156	0.422108281	dietary potassium intake measurement	http://www.ebi.ac.uk/efo/EFO_0008470	0.383423429							
Target heart rate achieved	achievement of target heart rate, self-reported	http://www.ebi.ac.uk/efo/EFO_0009823	0.649300017	heart rate	http://www.ebi.ac.uk/efo/EFO_0004326	0.529957871	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	0.415451085							
Thyroglobulin	thyroglobulin measurement	http://www.ebi.ac.uk/efo/EFO_0010050	0.807725502	anti-thyroglobulin antibody measurement	http://www.ebi.ac.uk/efo/EFO_0009896	0.637032928	macroglobulinemia	http://www.ebi.ac.uk/efo/EFO_0002616	0.604405337							
Time to complete round	complete hydatidiform mole	http://purl.obolibrary.org/obo/MONDO_0016785	0.500778987	time	http://www.ebi.ac.uk/efo/EFO_0000721	0.478514887	Achromatopsia	http://www.orpha.net/ORDO/Orphanet_49382	0.477582212							
Tissue factor pathway inhibitor 2	tissue factor pathway inhibitor measurement	http://www.ebi.ac.uk/efo/EFO_0007968	0.906847952	CCL23 measurement	http://www.ebi.ac.uk/efo/EFO_0009417	0.505320088	leukemia inhibitory factor receptor measurement	http://www.ebi.ac.uk/efo/EFO_0010788	0.498602291							
Tobacco smoking: Ex-smoker	nicotine dependence	http://www.ebi.ac.uk/efo/EFO_0003768	0.862938524	smoking behavior	http://www.ebi.ac.uk/efo/EFO_0004318	0.687566381	tobacco smoke exposure measurement	http://www.ebi.ac.uk/efo/EFO_0009115	0.612381782							
Treatment/medication code: lisinopril+hydrochlorothiazide 10mg/12.5mg tablet	response to hydrochlorothiazide	http://www.ebi.ac.uk/efo/EFO_0005202	0.508421283	response to thiazide	http://www.ebi.ac.uk/efo/EFO_0007981	0.3142146	chloride measurement	http://www.ebi.ac.uk/efo/EFO_0009284	0.276488716							
Treatment/medication code: perindopril	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	0.468335178	clinical treatment protocol	http://www.ebi.ac.uk/efo/EFO_0000355	0.391600402	clinical treatment	http://www.ebi.ac.uk/efo/EFO_0007056	0.391600402							
Tumor necrosis factor alpha-induced protein 3	tumor necrosis factor-alpha	http://www.ebi.ac.uk/efo/EFO_0003271	0.660631035	tumor necrosis factor-alpha measurement	http://www.ebi.ac.uk/efo/EFO_0004684	0.590551951	tumor necrosis factor measurement	http://www.ebi.ac.uk/efo/EFO_0010834	0.587571717							
Tumor necrosis factor receptor superfamily member 11A	tumor necrosis factor receptor superfamily member 6 measurement	http://www.ebi.ac.uk/efo/EFO_0010610	0.848628282	tumor necrosis factor receptor superfamily member 9 measurement	http://www.ebi.ac.uk/efo/EFO_0010802	0.847431509	osteoprotegerin measurement	http://www.ebi.ac.uk/efo/EFO_0005918	0.831550431							
Type 1 diabetes, wide definition, subgroup 1	type I diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001359	0.558229497	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	0.473741741	prognostic subgroup	http://www.ebi.ac.uk/efo/EFO_0000672	0.463073053							
