,igd_id,igd_trait,obo_id,label,description,keep
24,ieu-a-819,Inflammatory bowel disease,MONDO:0005265,inflammatory bowel disease,,
25,ieu-a-819,Inflammatory bowel disease,DOID:0050589,inflammatory bowel disease,An intestinal disease characterized by inflammation located_in all parts of digestive tract.,
26,ieu-a-819,Inflammatory bowel disease,DOID:0050589,inflammatory bowel disease,,
27,ieu-a-819,Inflammatory bowel disease,DOID:0050589,inflammatory bowel disease,An intestinal disease characterized by inflammation located_in all parts of digestive tract.,
28,ieu-a-819,Inflammatory bowel disease,DOID:0050589,inflammatory bowel disease,An intestinal disease characterized by inflammation located_in all parts of digestive tract.,
29,ieu-a-819,Inflammatory bowel disease,PW:0001442,inflammatory bowel disease pathway,"The inflammatory bowel disease (IBD) results from the deregulation of the immune system to which both genetic and environmental factors contribute. Alterations in pattern recognition receptor signaling, such as Toll-like or Nod and signaling downstream of them, among others, may contribute to and/or lead to the chronic inflammation characteristic of the condition. The main forms of IBD are Crohn's and ulcerative colitis.",
30,ieu-a-819,Inflammatory bowel disease,Orphanet:104012,Rare inflammatory bowel disease,,
31,ieu-a-819,Inflammatory bowel disease,DOID:0110906,inflammatory bowel disease 21,An inflammatory bowel disease that has_material_basis_in variation in the chromosome region 18p11.,
32,ieu-a-819,Inflammatory bowel disease,DOID:0110907,inflammatory bowel disease 6,An inflammatory bowel disease that has_material_basis_in variation in the chromosome region 19p13.,
33,ieu-a-819,Inflammatory bowel disease,DOID:0110904,inflammatory bowel disease 8,An inflammatory bowel disease that has_material_basis_in variation in the chromosome region 16p.,
34,ieu-a-819,Inflammatory bowel disease,DOID:0110905,inflammatory bowel disease 22,An inflammatory bowel disease that has_material_basis_in variation in the chromosome region 17q21.2.,
35,ieu-a-819,Inflammatory bowel disease,DOID:0110902,inflammatory bowel disease 27,An inflammatory bowel disease that has_material_basis_in variation in the chromosome region 13q13.3.,
36,ieu-a-819,Inflammatory bowel disease,DOID:0110903,inflammatory bowel disease 4,An inflammatory bowel disease that has_material_basis_in variation in the chromosome region 14q11-q12.,
37,ieu-a-819,Inflammatory bowel disease,DOID:0110900,inflammatory bowel disease 2,An inflammatory bowel disease that has_material_basis_in variation in the chromosome region 12p13.2-q24.1.,
38,ieu-a-819,Inflammatory bowel disease,DOID:0110901,inflammatory bowel disease 26,An inflammatory bowel disease that has_material_basis_in variation in the chromosome region 12q15.,
39,ieu-a-819,Inflammatory bowel disease,DOID:0110908,inflammatory bowel disease 24,An inflammatory bowel disease that has_material_basis_in variation in the chromosome 20q13.,
40,ieu-a-819,Inflammatory bowel disease,DOID:0110909,inflammatory bowel disease 25,An inflammatory bowel disease characterized by autosomal recessive inheritance that has_material_basis_in homozygous mutation in the IL10RB gene on chromosome 21q22.,
41,ieu-a-819,Inflammatory bowel disease,DOID:0110887,inflammatory bowel disease 12,An inflammatory bowel disease that has_material_basis_in variation in the chromosome region 3p21.3.,
42,ieu-a-1150,cis-trans-18:2,EFO:0006825,trans/cis-18:2 fatty acid measurement,"The determination of the amount of fatty acids with 18 carbons and 2 double bonds, with the first one in trans configuration and the 2nd one in cis configuration, present in a sample.",1
43,ieu-a-1150,cis-trans-18:2,EFO:0006824,cis/trans-18:2 fatty acid measurement,"The determination of the amount of trans fatty acids with 18 carbons and 2 double bonds, with the first one in cis configuration and the 2nd one in trans configuration, present in a sample.",
44,ieu-a-1150,cis-trans-18:2,EFO:0006825,trans/cis-18:2 fatty acid measurement,"The determination of the amount of fatty acids with 18 carbons and 2 double bonds, with the first one in trans configuration and the 2nd one in cis configuration, present in a sample.",
45,ieu-a-1150,cis-trans-18:2,EFO:0006824,cis/trans-18:2 fatty acid measurement,"The determination of the amount of trans fatty acids with 18 carbons and 2 double bonds, with the first one in cis configuration and the 2nd one in trans configuration, present in a sample.",
46,ieu-a-1150,cis-trans-18:2,CHEBI:32304,"2-cis,4-trans-xanthoxin",,
47,ieu-a-1150,cis-trans-18:2,CHEBI:16774,"(2-cis,6-trans)-farnesol",,
48,ieu-a-1150,cis-trans-18:2,CHEBI:35968,"(2-cis,6-trans)-farnesal",,
49,ieu-a-1150,cis-trans-18:2,CHEBI:35966,"(2-trans,6-cis)-farnesol","The (2E,6Z)-stereoisomer of farnesol.",
50,ieu-a-1150,cis-trans-18:2,CHEBI:19510,"2-cis,6-cis,10-trans,14-trans-geranylfarnesyl diphosphate",,
51,ieu-a-1150,cis-trans-18:2,CHEBI:19783,"2-trans,6-cis,10-trans,14-trans-geranylfarnesyl diphosphate",,
52,ieu-a-1150,cis-trans-18:2,CHEBI:19512,"2-cis,6-trans,10-trans,14-trans-geranylfarnesyl diphosphate",,
53,ieu-a-1150,cis-trans-18:2,EFO:0006826,trans/trans-18:2 fatty acid measurement,"The determination of the amount of trans fatty acids with 18 carbons and 2 double bonds, both of which are in trans configuration, present in a sample.",
54,ieu-a-1150,cis-trans-18:2,PR:P52010,peptidyl-prolyl cis-trans isomerase 2 (worm),A protein that is a translation product of the cyn-2 gene in worm.,
55,ieu-a-1150,cis-trans-18:2,CHEBI:162247,"2-cis,6-trans-farnesyl diphosphate(3-)","Trianion of 2-cis,6-trans-farnesyl diphosphate arising from deprotonation of the diphosphate OH groups; major species at pH 7.3.",
56,ieu-a-1150,cis-trans-18:2,CHEBI:19784,"2-trans,6-cis-farnesyl diphosphate",,
57,ieu-a-1150,cis-trans-18:2,CHEBI:19515,"2-cis,6-trans-farnesyl diphosphate",,
58,ieu-a-1150,cis-trans-18:2,CHEBI:62639,"2-cis,6-trans,10-trans-geranylgeranyl diphosphate(3-)","The organophosphate oxoanion formed by global deprotonation of the diphosphate group in 2-cis,6-trans,10-trans-geranylgeranyl diphosphate; principal microspecies at pH 7.3.",
59,ieu-a-1150,cis-trans-18:2,CHEBI:10698,"2-cis,6-trans,10-trans-geranylgeranyl diphosphate",,
60,ieu-a-1150,cis-trans-18:2,CHEBI:19513,"2-cis,6-trans,10-trans-geranylneryl diphosphate",,
61,ieu-a-1150,cis-trans-18:2,CHEBI:48862,"2-trans,6-cis,10-trans-geranylgeranyl diphosphate",,
62,ieu-a-107,Weight,NCIT:C25208,Weight,The vertical force exerted by a mass as a result of gravity.,
63,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
64,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
65,ieu-a-107,Weight,EFO:0004338,body weight,The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.,1
66,ieu-a-107,Weight,PATO:0000128,weight,,
67,ieu-a-107,Weight,PATO:0000128,weight,,
68,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
69,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
70,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
71,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
72,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
73,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
74,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
75,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
76,ieu-a-107,Weight,PATO:0000128,weight,,
77,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
78,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
79,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
80,ieu-a-107,Weight,PATO:0000128,weight,A physical quality inhering in a bearer that has mass near a gravitational body.,
81,ieu-a-107,Weight,EFO:0004338,body weight,The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.,
82,ieu-a-760,AUCins,EFO:0004467,insulin measurement,An insulin measurement is a measure of insulin typically performed in the diagnosis of patients,1
83,ieu-a-1089,Body mass index,NCIT:C16358,Body Mass Index,An individual's weight in kilograms divided by the square of the height in meters.,
84,ieu-a-1089,Body mass index,NCIT:C16358,Body Mass Index,A general indicator of the body fat an individual is carrying based upon the ratio of weight to height.,
85,ieu-a-1089,Body mass index,OMIT:0016586,Body Mass Index,,
86,ieu-a-1089,Body mass index,EFO:0004340,body mass index,"An indicator of body density as determined by the relationship of BODY WEIGHT to BODY HEIGHT. BMI=weight (kg)/height squared (m2). BMI correlates with body fat (ADIPOSE TISSUE). Their relationship varies with age and gender. For adults, BMI falls into these categories: below 18.5 (underweight); 18.5-24.9 (normal); 25.0-29.9 (overweight); 30.0 and above (obese). (National Center for Health Statistics, Centers for Disease Control and Prevention)",1
87,ieu-a-1089,Body mass index,EFO:0004340,body mass index,,
88,ieu-a-1089,Body mass index,ATOL:0001651,body mass index,,
89,ieu-a-1089,Body mass index,ATOL:0001651,body mass index,,
90,ieu-a-1089,Body mass index,EFO:0004340,body mass index,"An indicator of body density as determined by the relationship ofÂ BODY WEIGHT to BODY HEIGHT. BMI=weight (kg)/height squared (m2). BMI correlates with body fat (ADIPOSE TISSUE). Their relationship varies with age and gender. For adults, BMI falls into these categories: below 18.5 (underweight); 18.5-24.9 (normal); 25.0-29.9 (overweight); 30.0 and above (obese). (National Center for Health Statistics, Centers for Disease Control and Prevention)",
91,ieu-a-1089,Body mass index,NCIT:C138901,Body Mass Index Finding,The result of a body mass index measurement.,
92,ieu-a-1089,Body mass index,NCIT:C138901,Body Mass Index Finding,The result of a body mass index measurement.,
93,ieu-a-1089,Body mass index,NCIT:C121063,BODE Index - Body-mass Index,"The Body-Mass Index, Airflow Obstruction, Dyspnea, and Exercise Capacity Index (BODE Index) Body-mass index.",
94,ieu-a-1089,Body mass index,CMO:0000105,body mass index (BMI),"A measurement relating body weight to height in an organism; typically calculated as the weight of an individual divided by the height of that individual squared. For quadrupeds, the square of body height is often replaced by the square of body length.",
95,ieu-a-1089,Body mass index,HP:0045082,Decreased body mass index,"Abnormally decreased weight-to-height squared ratio, calculated by dividing the individual's weight in kilograms by the square of the individual's height in meters and used as an indicator of underweight compared to averages.",
96,ieu-a-1089,Body mass index,HP:0031418,Increased body mass index,"Abnormally increased weight-to-height squared ratio, calculated by dividing the individual's weight in kilograms by the square of the individual's height in meters and used as an indicator of overweight compared to averages.",
97,ieu-a-1089,Body mass index,MP:0006086,decreased body mass index,less than normal average of a measure of weight for height,
98,ieu-a-1089,Body mass index,MP:0006087,increased body mass index,greater than normal average of a measure of weight for height,
99,ieu-a-1089,Body mass index,MP:0020182,abnormal body mass index,anomaloy in the average of a measure of weight for height compared to the control,
100,ieu-a-1089,Body mass index,MP:0020182,abnormal body mass index,anomaloy in the average of a measure of weight for height compared to the control,
101,ieu-a-1089,Body mass index,MP:0006086,decreased body mass index,less than normal average of a measure of weight for height,
102,ieu-a-1089,Body mass index,MP:0006087,increased body mass index,greater than normal average of a measure of weight for height,
103,ieu-a-1085,Amyotrophic lateral sclerosis,NCIT:C34373,Amyotrophic Lateral Sclerosis,A neurodegenerative disorder characterized by progressive degeneration of the motor neurons of the central nervous system. It results in weakness and atrophy of the muscles which leads to an inability to initiate and control voluntary movements.,
104,ieu-a-1085,Amyotrophic lateral sclerosis,EFO:0000253,amyotrophic lateral sclerosis,"Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disease characterized by progressive muscular paralysis reflecting degeneration of motor neurons in the primary motor cortex, corticospinal tracts, brainstem and spinal cord.",
105,ieu-a-1085,Amyotrophic lateral sclerosis,EFO:0000253,amyotrophic lateral sclerosis,"A degenerative disorder affecting upper MOTOR NEURONS in the brain and lower motor neurons in the brain stem and SPINAL CORD. Disease onset is usually after the age of 50 and the process is usually fatal within 3 to 6 years. Clinical manifestations include progressive weakness, atrophy, FASCICULATION, hyperreflexia, DYSARTHRIA, dysphagia, and eventual paralysis of respiratory function. Pathologic features include the replacement of motor neurons with fibrous ASTROCYTES and atrophy of anterior SPINAL NERVE ROOTS and corticospinal tracts (MeSH).",1
106,ieu-a-1085,Amyotrophic lateral sclerosis,EFO:0000253,amyotrophic lateral sclerosis,"A degenerative disorder affecting upper MOTOR NEURONS in the brain and lower motor neurons in the brain stem and SPINAL CORD. Disease onset is usually after the age of 50 and the process is usually fatal within 3 to 6 years. Clinical manifestations include progressive weakness, atrophy, FASCICULATION, hyperreflexia, DYSARTHRIA, dysphagia, and eventual paralysis of respiratory function. Pathologic features include the replacement of motor neurons with fibrous ASTROCYTES and atrophy of anterior SPINAL NERVE ROOTS and corticospinal tracts. (From Adams et al., Principles of Neurology, 6th ed, pp1089-94)",
107,ieu-a-1085,Amyotrophic lateral sclerosis,EFO:0000253,amyotrophic lateral sclerosis,An autosomal dominant inherited form of amyloidosis.,
108,ieu-a-1085,Amyotrophic lateral sclerosis,OMIT:0002102,Amyotrophic Lateral Sclerosis,,
109,ieu-a-1085,Amyotrophic lateral sclerosis,Orphanet:803,Amyotrophic lateral sclerosis,"A neurodegenerative disease characterized by progressive muscular paralysis reflecting degeneration of motor neurons in the primary motor cortex, corticospinal tracts, brainstem and spinal cord.",
110,ieu-a-1085,Amyotrophic lateral sclerosis,DOID:332,amyotrophic lateral sclerosis,"A motor neuron disease that is characterized by muscle spasticity, rapidly progressive weakness due to muscle atrophy, difficulty in speaking, swallowing, and breathing.",
111,ieu-a-1085,Amyotrophic lateral sclerosis,HP:0007354,Amyotrophic lateral sclerosis,,
112,ieu-a-1085,Amyotrophic lateral sclerosis,MONDO:0004976,amyotrophic lateral sclerosis,,
113,ieu-a-1085,Amyotrophic lateral sclerosis,EFO:0000253,amyotrophic lateral sclerosis,,
114,ieu-a-1085,Amyotrophic lateral sclerosis,NA,Amyotrophic lateral sclerosis,"(ALS) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases. -  (ALS1) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases.",
115,ieu-a-1085,Amyotrophic lateral sclerosis,NA,Amyotrophic lateral sclerosis,"(ALS) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases. -  (ALS1) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases.",
116,ieu-a-1085,Amyotrophic lateral sclerosis,NA,Amyotrophic lateral sclerosis,"(ALS) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases. -  (ALS1) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases.",
117,ieu-a-1085,Amyotrophic lateral sclerosis,NA,Amyotrophic lateral sclerosis,"(ALS) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases. -  (ALS1) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases.",
118,ieu-a-1085,Amyotrophic lateral sclerosis,NA,Amyotrophic lateral sclerosis,"(ALS) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases. -  (ALS1) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases.",
119,ieu-a-1085,Amyotrophic lateral sclerosis,NA,Amyotrophic lateral sclerosis,"(ALS) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases. -  (ALS1) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases.",
120,ieu-a-1085,Amyotrophic lateral sclerosis,NA,Amyotrophic lateral sclerosis,"(ALS) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases. -  (ALS1) -  A neurodegenerative disorder affecting upper motor neurons in the brain and lower motor neurons in the brain stem and spinal cord, resulting in fatal paralysis. Sensory abnormalities are absent. The pathologic hallmarks of the disease include pallor of the corticospinal tract due to loss of motor neurons, presence of ubiquitin-positive inclusions within surviving motor neurons, and deposition of pathologic aggregates. The etiology of amyotrophic lateral sclerosis is likely to be multifactorial, involving both genetic and environmental factors. The disease is inherited in 5- 10% of the cases.",
121,ieu-a-1085,Amyotrophic lateral sclerosis,DOID:332,amyotrophic lateral sclerosis,"A motor neuron disease that is characterized by muscle spasticity, rapidly progressive weakness due to muscle atrophy, difficulty in speaking, swallowing, and breathing.",
122,ieu-a-1085,Amyotrophic lateral sclerosis,PW:0000016,amyotrophic lateral sclerosis pathway,"A late onset, mostly sporadic neurodegenerative disease characterized by the loss of motor neurons in the brain stem and spinal cord. Various pathways are thought to be deregulated and contribute to the condition; among them calcium and/or zinc homeostasis, apoptosis, Cdk5 and calcineurin dependent processes, and in the case of the more rare, genetically inherited form of the disease, mutations in the cytosolic Cu, Zn superoxide dismutase (SOD1) and the subsequent changes in the processes that involve SOD1.",
123,ieu-a-1085,Amyotrophic lateral sclerosis,Orphanet:300605,Juvenile amyotrophic lateral sclerosis,"Juvenile amyotrophic lateral sclerosis (JALS) is a very rare severe motor neuron disease characterized by progressive upper and lower motor neuron degeneration causing facial spasticity, dysarthria, and gait disorders with onset before 25 years of age.",
124,ieu-a-1085,Amyotrophic lateral sclerosis,EFO:0001356,familial amyotrophic lateral sclerosis,Familial amyotrophic lateral sclerosis is a amyotrophic lateral sclerosis in which a family history of the disease exists.,
125,ieu-a-1085,Amyotrophic lateral sclerosis,EFO:0001356,familial amyotrophic lateral sclerosis,An instance of amyotrophic lateral sclerosis that is caused by an inherited modification of the individual's genome.,
126,ieu-a-1085,Amyotrophic lateral sclerosis,EFO:0001357,sporadic amyotrophic lateral sclerosis,"Sporadic amyotrophic lateral sclerosis is a amyotrophic lateral sclerosis in which there is no known cause, such as no family history.",
127,ieu-a-31,Inflammatory bowel disease,NCIT:C3138,Inflammatory Bowel Disease,"A spectrum of small and large bowel inflammatory diseases of unknown etiology. It includes Crohn's disease, ulcerative colitis, and colitis of indeterminate type.",
