PROPERTY TYPE,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S),keep
disease,Abnormal findings on diagnostic imaging of other body structures,abnormal result of diagnostic imaging,High,EFO_0009827,
,"PCT where patients GP was registered: WINDSOR, ASCOT AND MAIDENHEAD PCT",N/A,Did not map,N/A,
,3mm asymmetry angle (right),Lower limb asymmetry,Medium,HP_0100559,
,3mm asymmetry angle (right),angle unit,Medium,UO_0000121,
,Length of working week for main job,longevity,Good,EFO_0004300,
,Main speciality of consultant (recoded): Anaesthetics,consultant,Good,EFO_0001732,
,Non-butter spread type details: Polyunsaturated/sunflower oil based spread (eg: Flora),DSM-IV-based  non-social scale,Good,EFO_0004781,
,Other cereal intake,energy intake,Medium,EFO_0003939,
,Other cereal intake,fish consumption measurement,Medium,EFO_0010139,
,Job SOC coding: NCOs and other ranks,N/A,Did not map,N/A,
,Sources of admission to hospital (recoded): Transfer within NHS provider: Medical specialty,Febrile seizure (within the age range of 3 months to 6 years),Medium,HP_0002373,
,Sources of admission to hospital (recoded): Transfer within NHS provider: Medical specialty,material supplier role,Medium,OBI_0000018,
,Trunk fat-free mass,fat body mass,Medium,EFO_0005409,
,Trunk fat-free mass,lean mass-adjusted fat body mass,Medium,EFO_0009890,
,Non-accidental death in close genetic family,Death in early adulthood,Medium,HP_0100613,
,Non-accidental death in close genetic family,genetic vs non-genetic etiology,Medium,MONDO_0021149,
,Stronger worrying (than other people) during period of worst anxiety,anxiety,Medium,EFO_0005230,
,Stronger worrying (than other people) during period of worst anxiety,period of infection,Medium,EFO_0000648,
,Arm predicted mass (right),arm,Medium,UBERON_0001460,
,Arm predicted mass (right),mass,Medium,PATO_0000125,
disease,Long labour,pregnancy disorder,High,EFO_0009682,
,Drive faster than motorway speed limit,information processing speed,Good,EFO_0004363,
disease,Gastro-oesophageal reflux disease,gastroesophageal reflux disease,High,EFO_0003948,
disease,Evacuation of products of conception from uterus NEC,Pseudounicornuate uterus,Medium,Orphanet_180079,
disease,Evacuation of products of conception from uterus NEC,tumor of uterus,Medium,MONDO_0021353,
,"Loneliness, isolation",loneliness measurement,Good,EFO_0007865,
,"Sources of admission to hospital (recoded): Transfer to other NHS provider: General ward, young physically disabled, A&E",Nephropathy secondary to a storage or other metabolic disease,Medium,Orphanet_93593,
,"Sources of admission to hospital (recoded): Transfer to other NHS provider: General ward, young physically disabled, A&E",Hemolytic anemia due to a disorder of glycolytic enzymes,Medium,Orphanet_98372,
,Main speciality of consultant (recoded): Plastic surgery,consultant,Medium,EFO_0001732,
,Main speciality of consultant (recoded): Plastic surgery,prophylactic surgery,Medium,EFO_0009580,
,Other specified and unspecified  disorders of eyelid,glaucoma,Medium,EFO_0000516,
,Other specified and unspecified  disorders of eyelid,schizophrenia,Medium,EFO_0000692,
,Mother's age at death,mother's age at death,High,EFO_0009721,
treatment,diclofenac,diclofenac sodium,High,CHEBI_4509,
,Pain type(s) experienced in last month: Stomach or abdominal pain,pain in abdomen,Good,EFO_0003766,
,3mm index of best keratometry results (left),left ventricular mass index,Medium,EFO_0009290,
,3mm index of best keratometry results (left),activities of daily living score measurement,Medium,EFO_0008451,
,Grape intake,energy intake,Good,EFO_0003939,
,Sausage intake,energy intake,Medium,EFO_0003939,
,Sausage intake,fish consumption measurement,Medium,EFO_0010139,
,PCT where patients GP was registered: OLDHAM PCT,platelet crit,Good,EFO_0007985,
,Shellfish intake,energy intake,Medium,EFO_0003939,
,Shellfish intake,fish consumption measurement,Medium,EFO_0010139,
,"Non-cancer illness code, self-reported: duodenal ulcer",duodenal ulcer,Medium,EFO_0004607,
,"Non-cancer illness code, self-reported: duodenal ulcer","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Number of live births,birth measurement,Good,EFO_0006921,
,Number of live births,fertility measurement,Good,EFO_0006923,
disease,Removal of other organ (partial) (total),Partial duplication of chromosome 10,Medium,Orphanet_262648,
disease,Removal of other organ (partial) (total),Partial deletion of chromosome 10,Medium,Orphanet_261811,
disease,Pain localised to other parts of lower abdomen,cutaneous melanoma,Good,EFO_0000389,
,Haemoglobin concentration,mean corpuscular hemoglobin concentration,Good,EFO_0004528,
,Frequency of travelling from home to job workplace,Recurrent infections,Medium,HP_0002719,
,Frequency of travelling from home to job workplace,Stenosis of the external auditory canal,Medium,HP_0000402,
,Starch,Congenital sucrase-isomaltase deficiency without starch intolerance,Medium,Orphanet_306462,
,Starch,Congenital sucrase-isomaltase deficiency with starch and lactose intolerance,Medium,Orphanet_306474,
,Mouth/teeth dental problems: Painful gums,Dental crowding,Medium,HP_0000678,
,Mouth/teeth dental problems: Painful gums,Dental ankylosis,Medium,Orphanet_1077,
,Gamma glutamyltransferase,gamma-glutamylthreonine,Medium,CHEBI_82968,
,Gamma glutamyltransferase,gamma-glutamylphenylalanine,Medium,CHEBI_82966,
,Job involves shift work,job satisfaction measurement,Medium,EFO_0009723,
,Job involves shift work,job-related exhaustion measurement,Medium,EFO_0007881,
,"Activities undertaken to treat anxiety: Other therapeutic activities such as mindfulness, yoga or art classes",activities of daily living score measurement,Medium,EFO_0008451,
,"Activities undertaken to treat anxiety: Other therapeutic activities such as mindfulness, yoga or art classes",physical activity,Medium,EFO_0003940,
,Average weekly intake of other alcoholic drinks,alcoholic liver cirrhosis,Medium,EFO_1000802,
,Average weekly intake of other alcoholic drinks,alcoholic pancreatitis,Medium,EFO_1002013,
,Index of best refractometry result (right),abnormal result of diagnostic imaging,Medium,EFO_0009827,
,Index of best refractometry result (right),activities of daily living score measurement,Medium,EFO_0008451,
disease,"Gastritis, unspecified",gastritis,Medium,EFO_0000217,
disease,"Gastritis, unspecified",chronic gastritis,Medium,EFO_0000337,
,Workplace had a lot of diesel exhaust: Often,process quality,Medium,PATO_0001236,
,Workplace had a lot of diesel exhaust: Often,ampere,Medium,UO_0000011,
disease,Soft tissue disorders related to use  overuse and pressure,soft tissue disease,High,EFO_0009470,
,Gap coding: Full-time or part-time education,time,Good,EFO_0000721,
,Neck/shoulder pain for 3+ months,"Neck pain, Shoulder pain",High,"HP_0030833, HP_0030834",
disease,One level of spine,"osteoarthritis, spine",Medium,EFO_1000787,
disease,One level of spine,ossification of the posterior longitudinal ligament of the spine,Medium,EFO_0005895,
,"Mean signal-to-noise ratio (SNR), (right)",neutrophil-to-lymphocyte ratio,Medium,EFO_0008447,
,"Mean signal-to-noise ratio (SNR), (right)",platelet-to-lymphocyte ratio,Medium,EFO_0008446,
,Corneal resistance factor (right),corneal resistance factor,Good,EFO_0010067,
,Age stopped smoking,smoking behavior,Medium,EFO_0004318,
,Age stopped smoking,age,Medium,EFO_0000246,
,P duration,P wave duration,Good,EFO_0005094,
,"Non-cancer illness code, self-reported: spine arthritis/spondylitis","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: spine arthritis/spondylitis",self rated health,Medium,EFO_0004778,
,Victim of physically violent crime,"Abnormal aggressive, impulsive or violent behavior",Medium,HP_0006919,
,Victim of physically violent crime,part of,Medium,BFO_0000050,
treatment,eumovate cream,N/A,Did not map,N/A,
disease,Submucous diathermy to turbinate of nose,oral submucous fibrosis,Good,EFO_1001818,
treatment,fexofenadine,N/A,Did not map,N/A,
,Current employment status: None of the above,employment status,Medium,EFO_0005241,
,Current employment status: None of the above,esophageal carcinoma,Medium,EFO_0002916,
,Thickness of butter/margarine spread on bread rolls: medium,Breslow thickness,Medium,EFO_0004955,
,Thickness of butter/margarine spread on bread rolls: medium,F1,Medium,EFO_0007032,
,Workplace had a lot of cigarette smoke from other people smoking: Sometimes,smoking behavior,Medium,EFO_0004318,
,Workplace had a lot of cigarette smoke from other people smoking: Sometimes,nicotine dependence,Medium,EFO_0003768,
,Longest period of depression,depressive episode measurement,High,EFO_0007704,
disease,Seborrhoeic keratosis,seborrheic keratosis,High,EFO_0005584,
,Job SOC coding: Chemists,job satisfaction measurement,Medium,EFO_0009723,
,Job SOC coding: Chemists,job-related exhaustion measurement,Medium,EFO_0007881,
disease,Other intervertebral disk disorders,discitis,High,EFO_1000900,
,Types of transport used (excluding work): Cycle,INTACT,Good,EFO_0010037,
,"Non-cancer illness code, self-reported: pulmonary embolism +/- dvt",pulmonary embolism,Medium,EFO_0003827,
,"Non-cancer illness code, self-reported: pulmonary embolism +/- dvt","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Time spent watching television (TV),time,Good,EFO_0000721,
disease,Varicose veins of lower extremities without ulcer or inflammation,esophageal varices,Good,EFO_0009545,
treatment,cystectomy,N/A,Did not map,N/A,
,"Long-standing illness, disability or infirmity",chronic disease,High,EFO_0009714,
disease,Nausea and vomiting,Nausea and vomiting,High,HP_0002017,
disease,Stomach,stomach,High,UBERON_0000945,
,Pulse wave Arterial Stiffness index,arterial stiffness measurement,High,EFO_0004517,
,Weight,body weight,High,EFO_0004338,
disease,Hip joint,cartilage thickness measurement,Good,EFO_0007873,
disease,"Unspecified as acute or chronic, without haemorrhage or perforation",chronic gastritis,Good,EFO_0000337,
,Trunk fat mass,fat body mass,High,EFO_0005409,
disease,Fever of unknown origin,fever of unknown origin,High,EFO_0003952,
disease,Endometriosis,endometriosis,High,EFO_0001065,
,Traffic intensity on the nearest road,traffic air pollution measurement,Good,EFO_0007908,
,"COPD, early/later onset",Total congenital cataract,Medium,Orphanet_98994,
,"COPD, early/later onset",Early-onset partial cataract,Medium,Orphanet_98992,
,Eye problems/disorders: Glaucoma,glaucoma,Good,EFO_0000516,
treatment,warfarin,response to anticoagulant,Medium,GO_0061476,
treatment,warfarin,cholesterol embolism,Medium,EFO_0005801,
treatment,warfarin,CN236624,Medium,CN236624,
treatment,warfarin,CN236588,Medium,CN236588,
treatment,warfarin,CN236547,Medium,CN236547,
,PCT responsible for patient data: BATH AND NORTH EAST SOMERSET PCT,N/A,Did not map,N/A,
disease,Dyspnoea,N/A,Did not map,N/A,
,"Delivery methods: Ventouse, vacuum extraction",vacuum dryer,Medium,OBI_0400117,
,"Delivery methods: Ventouse, vacuum extraction",Abnormal delivery,Medium,HP_0001787,
,Diseases of the ear and mastoid process,cholesteatoma of middle ear,Medium,EFO_1000678,
,Diseases of the ear and mastoid process,auditory system disease,Medium,EFO_1001455,
,Other bread intake,energy intake,Medium,EFO_0003939,
,Other bread intake,fish consumption measurement,Medium,EFO_0010139,
,Illnesses of father: Chronic bronchitis/emphysema,chronic bronchitis,Medium,EFO_0006505,
,Illnesses of father: Chronic bronchitis/emphysema,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Age when last ate meat,age at last pregnancy measurement,Medium,EFO_0009440,
,Age when last ate meat,age,Medium,EFO_0000246,
,Type of baguette eaten: mixed,mixed cell type cancer,Good,EFO_0007373,
,Main speciality of consultant (recoded): Gastroenterology,consultant,Good,EFO_0001732,
,Lymphocyte percentage,lymphocyte percentage of leukocytes,Good,EFO_0007993,
,Certain infectious and parasitic diseases,parasitic infection,Good,EFO_0001067,
disease,"Asthma, unspecified",asthma,Good,EFO_0000270,
,Current employment status: Unemployed,employment status,Medium,EFO_0005241,
,Current employment status: Unemployed,electrical current,Medium,EFO_0000388,
,Arm fat-free mass (right),lean mass-adjusted fat body mass,Medium,EFO_0009890,
,Arm fat-free mass (right),fat body mass,Medium,EFO_0005409,
,Average weekly fortified wine intake,energy intake,Medium,EFO_0003939,
,Average weekly fortified wine intake,fish consumption measurement,Medium,EFO_0010139,
,Exposure to tobacco smoke at home,environmental tobacco smoke exposure measurement,High,EFO_0008361,
disease,Spondylosis,spondyloarthropathy,High,EFO_0000706,
,Noisy workplace,N/A,Did not map,N/A,
,Dorsalgia,pain,High,EFO_0003843,
,PCT where patients GP was registered: OXFORDSHIRE PCT,platelet crit,Good,EFO_0007985,
,Number of unsuccessful stop-smoking attempts,number of injections,Medium,EFO_0000627,
,Number of unsuccessful stop-smoking attempts,number of teeth measurement,Medium,EFO_0010073,
disease,Diaphragmatic hernia without obstruction or gangrene,congenital diaphragmatic hernia,Medium,EFO_0007216,
disease,Diaphragmatic hernia without obstruction or gangrene,diaphragmatic hernia,Medium,EFO_0008561,
,Wants to stop smoking,smoking behavior,Medium,EFO_0004318,
,Wants to stop smoking,smoking initiation,Medium,EFO_0005670,
,Job SOC coding: Financial and accounting technicians,N/A,Did not map,N/A,
,"Tinnitus: Yes, but not now, but have in the past",Tinnitus,Medium,HP_0000360,
,"Tinnitus: Yes, but not now, but have in the past",maleate (-2),Medium,CHEBI_30780,
,Sleeplessness / insomnia,insomnia,High,EFO_0004698,
disease,"Polyarthrosis, unspecified",unspecified juvenile idiopathic arthritis,Good,EFO_0009734,
treatment,maxillo-facial surgery,rare maxillo-facial surgical disease,Medium,MONDO_0019038,
treatment,maxillo-facial surgery,disease of facial skeleton,Medium,MONDO_0023369,
,Job SOC coding: Senior officials of special interest organisations,Genetic disorder of sex development of gynecological interest,Medium,Orphanet_325665,
,Job SOC coding: Senior officials of special interest organisations,Gonadal dysgenesis of gynecological interest,Medium,Orphanet_98074,
,Job SOC coding: Social workers,job-related exhaustion measurement,Medium,EFO_0007881,
,Job SOC coding: Social workers,social desirability,Medium,EFO_0004366,
,Most recent bowel cancer screening,colorectal cancer,Good,EFO_0005842,
disease,Application of local anaesthetic NEC,Pancreatic Small Cell Neuroendocrine Carcinoma,Medium,EFO_1000444,
disease,Application of local anaesthetic NEC,Pancreatic Large Cell Neuroendocrine Carcinoma,Medium,EFO_1000442,
,Manifestations of mania or irritability: I was more confident than usual,Usual Ductal Breast Hyperplasia,Good,EFO_1000612,
,Alanine aminotransferase,serum alanine aminotransferase measurement,Good,EFO_0004735,
,Weight change compared with 1 year ago,lipoid nephrosis,Medium,EFO_1001020,
,Weight change compared with 1 year ago,AGO-CLIP,Medium,EFO_0008651,
treatment,insulin product,insulin measurement,Good,EFO_0004467,
,Vitamin and mineral supplements: Vitamin D,N/A,Did not map,N/A,
,Age started oral contraceptive pill,contraception,Medium,EFO_0009520,
,Age started oral contraceptive pill,age,Medium,EFO_0000246,
,Dairy smoothie intake,energy intake,Medium,EFO_0003939,
,Dairy smoothie intake,fish consumption measurement,Medium,EFO_0010139,
,Rheumatoid factor,"rheumatoid arthritis, rheumatoid factor seropositivity measurement, rheumatoid factor measurement",Good,"EFO_0000685, EFO_0007791, EFO_0005767",
,Doctor diagnosed hayfever or allergic rhinitis,seasonal allergic rhinitis,Medium,EFO_0003956,
,Doctor diagnosed hayfever or allergic rhinitis,allergic rhinitis,Medium,EFO_0005854,
,Atrophic disorders of skin,skin atrophy,High,EFO_1000766,
,PCT where patients GP was registered: BROXTOWE AND HUCKNALL PCT,N/A,Did not map,N/A,
,Frequency of tenseness / restlessness in last 2 weeks,Pseudohyperaldosteronism type 2,Medium,Orphanet_88660,
,Frequency of tenseness / restlessness in last 2 weeks,establishment of localization in cell,Medium,GO_0051649,
,"Job coding: management information officer, conference/events co-ordinator/organiser, exhibition officer, work study engineer/officer/analyst, contract adviser/agent, election agent, business system analyst",data analyst,Medium,EFO_0001734,
,"Job coding: management information officer, conference/events co-ordinator/organiser, exhibition officer, work study engineer/officer/analyst, contract adviser/agent, election agent, business system analyst",job satisfaction measurement,Medium,EFO_0009723,
treatment,doxazosin,N/A,Did not map,N/A,
,Hearing difficulty/problems with background noise,hearing loss,High,EFO_0004238,
,Plays computer games,data file,Good,EFO_0004095,
,Sitting height,sitting height ratio,High,EFO_0007118,
,Weight change during worst episode of depression: Lost weight,body weight,Good,EFO_0004338,
disease,Unstable angina,intermediate coronary syndrome,Good,EFO_1000985,
,"Non-cancer illness code, self-reported: rectal or colon adenoma/polyps","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: rectal or colon adenoma/polyps",Colorectal Adenosquamous Carcinoma,Medium,EFO_1000190,
,Duration of moderate activity,duration,Good,EFO_0000433,
,Job SOC coding: Registrars and senior administrators of educational establishments,N/A,Did not map,N/A,
disease,Diagnostic endoscopic examination of lower bowel and biopsy of lesion of lower bowel using fibreoptic sigmoidoscope,N/A,Did not map,N/A,
,Fractured heel (left),Plantar Fasciitis,Good,EFO_1001909,
,Impedance of arm (left),Terminal transverse defects of arm,Medium,Orphanet_93937,
,Impedance of arm (left),Limb hypertonia,Medium,HP_0002509,
,Transport type for commuting to job workplace: Public transport,transport,Medium,GO_0006810,
,Transport type for commuting to job workplace: Public transport,rare male fertility disorder with obstructive azoospermia,Medium,MONDO_0018396,
,Tinnitus severity/nuisance,Tinnitus,High,HP_0000360,
treatment,betahistine,N/A,Did not map,N/A,
,White rice intake,Oryza sativa,Medium,NCBITaxon_4530,
,White rice intake,Oryza rufipogon,Medium,NCBITaxon_4529,
,Substances taken for depression: Drugs or alcohol (more than once),"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",Medium,EFO_0009821,
,Substances taken for depression: Drugs or alcohol (more than once),"seeing a general practitioner for nerves, anxiety, tension or depression, self-reported",Medium,EFO_0009820,
,Pace-maker,artificial cardiac pacemaker,High,EFO_0009719,
disease,Fracture of shoulder and upper arm,bone fracture,High,EFO_0003931,
disease,"Viral infection, unspecified",viral disease,Good,EFO_0000763,
,Headaches for 3+ months,headache disorder,Good,EFO_0009550,
,Headaches for 3+ months,Headache,Good,HP_0002315,
treatment,loratadine,N/A,Did not map,N/A,
,Diseases of the digestive system,digestive system disease,Good,EFO_0000405,
,Sensitivity / hurt feelings,emotional symptom measurement,High,EFO_0007803,
,Ever sought or received professional help for mental distress,mental health,Medium,EFO_0003935,
,Ever sought or received professional help for mental distress,HELP-Seq,Medium,EFO_0008761,
disease,Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract,N/A,Did not map,N/A,
disease,Other diseases of digestive system,digestive system disease,High,EFO_0000405,
,PCT responsible for patient data: HOUNSLOW PCT,platelet crit,Good,EFO_0007985,
disease,Polyp of stomach and duodenum,N/A,Did not map,N/A,
,Scone intake,energy intake,Medium,EFO_0003939,
,Scone intake,fish consumption measurement,Medium,EFO_0010139,
,"Non-cancer illness code, self-reported: eye/eyelid problem","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: eye/eyelid problem",self rated health,Medium,EFO_0004778,
disease,Calculus of gallbladder without cholecystitis,acalculous cholecystitis,Good,EFO_1000790,
,Destinations on discharge from hospital (recoded): Usual Place of residence,place of residence measurement,Medium,EFO_0009583,
,Destinations on discharge from hospital (recoded): Usual Place of residence,eye discharge,Medium,EFO_0010678,
disease,Embedded and impacted teeth,Impacted tooth,High,HP_0011079,
